"Figure 2. Age of Arctic Sea Ice at Minimum September Week, 1983-2015",,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,
"Data source: NSIDC, 2015",,,,,
Web update: December 2015,,,,,
Units: Square miles,,,,,
,,,,,
Year,1YI,2YI,3YI,4YI,5+YI
1983,617763.4544,362936.0295,285715.5977,262549.4681,606180.3896
1984,544404.0442,339769.8999,274132.5329,250966.4034,637068.5624
1985,528959.9578,378380.1158,285715.5977,254827.4249,687261.843
1986,660234.6919,285715.5977,297298.6624,247105.3818,702705.9294
1987,602319.368,370658.0726,243244.3602,258688.4465,729733.0805
1988,745177.1669,301159.684,274132.5329,208495.1659,795370.4475
1989,826258.6203,332047.8567,200773.1227,200773.1227,637068.5624
1990,559848.1306,397685.2238,235522.317,162162.9068,579153.2385
1991,733594.1021,285715.5977,301159.684,204634.1443,555987.109
1992,880312.9225,382241.1374,208495.1659,223939.2522,525098.9362
1993,652512.6487,374519.0942,247105.3818,154440.8636,525098.9362
1994,957533.3543,335908.8783,301159.684,196912.1011,440156.4613
1995,598458.3465,413129.3101,231661.2954,220078.2306,420851.3533
1996,1169889.542,285715.5977,274132.5329,185329.0363,474905.6556
1997,741316.1453,509654.8499,185329.0363,208495.1659,440156.4613
1998,787648.4044,332047.8567,359075.0079,166023.9284,471044.634
1999,590736.3033,362936.0295,258688.4465,277993.5545,463322.5908
2000,822397.5987,266410.4897,235522.317,193051.0795,517376.8931
2001,918923.1384,424712.3749,189190.0579,177606.9931,505793.8283
2002,583014.2601,382241.1374,262549.4681,166023.9284,463322.5908
2003,706566.951,297298.6624,266410.4897,189190.0579,482627.6988
2004,687261.843,359075.0079,189190.0579,185329.0363,432434.4181
2005,610041.4112,347491.9431,247105.3818,119691.6693,436295.4397
2006,818536.5771,312742.7488,243244.3602,142857.7988,378380.1158
2007,521237.9147,289576.6193,119691.6693,96525.53975,231661.2954
2008,949811.3111,185329.0363,111969.6261,73359.41021,196912.1011
2009,1000004.592,320464.792,88803.49657,61776.34544,189190.0579
2010,837841.685,451739.526,115830.6477,54054.30226,131274.7341
2011,768343.2964,370658.0726,235522.317,34749.19431,88803.49657
2012,494210.7635,274132.5329,162162.9068,115830.6477,42471.23749
2013,934367.2248,262549.4681,227800.2738,138996.7772,123552.6909
2014,764482.2748,424712.3749,166023.9284,162162.9068,127413.7125
2015,652512.6487,301159.684,262549.4681,108108.6045,123552.6909
