"Figure 3. Arctic Sea Ice Melt Season, 1979-2015",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: NASA, 2016",,,
Web update: August 2016,,,
Units: Julian days (start date and end date); days (duration),,,
,,,
Year,Start date,Duration,End date
1979,169.282,88.408,257.69
1980,166.438,91.916,258.354
1981,164.916,91.946,256.862
1982,168.784,87.819,256.603
1983,169.449,87.884,257.333
1984,169.777,94.342,264.119
1985,162.981,95.597,258.578
1986,167.253,87.131,254.384
1987,169.933,89.181,259.114
1988,167.189,94.338,261.527
1989,166.974,97.893,264.867
1990,162.392,102.502,264.894
1991,167.042,97.836,264.878
1992,167.531,92.477,260.008
1993,159.173,106.109,265.282
1994,161.599,101.182,262.781
1995,156.293,117.695,273.988
1996,167.815,91.3,259.115
1997,161.082,103.812,264.894
1998,158.666,110.794,269.46
1999,158.98,107.384,266.364
2000,161.872,103.592,265.464
2001,162.268,101.556,263.824
2002,162.109,107.647,269.756
2003,159.811,110.656,270.467
2004,161.179,109.285,270.464
2005,155.992,117.306,273.298
2006,158.258,115.57,273.828
2007,156.918,132.022,288.94
2008,160.993,118.835,279.828
2009,161.971,120.604,282.575
2010,161.971,118.685,280.656
2011,156.959,124.921,281.88
2012,157.355,128.456,285.811
2013,164.193,106.358,270.551
2014,161.215,115.148,276.363
2015,155.583,124.051,279.634
