"Figure 1. Peak Bloom Date for Cherry Trees Around Washington, D.C.'s Tidal Basin, 1921-2016",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: National Cherry Blossom Festival, 2016;  National Park Service, 2015",,,
Web update: April 2016,,,
Units: Days from January 1; days from January 1; days duration,,,
,,,
Year,Yoshino peak bloom date,Cherry Blossom Festival Start Date,Cherry Blossom Festival Duration
1921,79,,
1922,97,,
1923,99,,
1924,104,,
1925,86,,
1926,101,,
1927,79,,
1928,99,,
1929,90,,
1930,91,,
1931,101,,
1932,106,,
1933,99,,
1934,105,109,2
1935,91,93,1
1936,98,99,1
1937,104,100,1
1938,84,85,1
1939,89,90,1
1940,104,104,1
1941,102,102,1
1942,95,,
1943,94,,
1944,100,,
1945,79,,
1946,82,,
1947,102,102,1
1948,88,101,1
1949,88,92,1
1950,99,98,1
1951,96,97,1
1952,100,96,1
1953,86,101,1
1954,96,93,1
1955,92,92,1
1956,97,98,1
1957,98,96,1
1958,108,88,1
1959,96,97,5
1960,105,96,5
1961,92,94,5
1962,97,93,5
1963,93,92,5
1964,102,98,5
1965,105,96,5
1966,95,102,5
1967,96,94,5
1968,90,92,6
1969,99,98,5
1970,106,97,5
1971,98,89,5
1972,102,94,5
1973,101,96,7
1974,93,89,6
1975,93,90,5
1976,83,96,5
1977,85,87,5
1978,102,93,5
1979,92,92,5
1980,97,84,5
1981,93,89,5
1982,97,87,6
1983,97,94,6
1984,94,92,6
1985,97,97,6
1986,92,96,6
1987,87,95,6
1988,91,94,7
1989,88,92,7
1990,74,91,7
1991,88,90,7
1992,98,96,7
1993,101,87,7
1994,95,93,7
1995,92,85,14
1996,95,91,14
1997,85,89,14
1998,86,88,14
1999,95,87,14
2000,77,86,14
2001,96,84,14
2002,92,82,16
2003,92,81,16
2004,91,87,15
2005,99,85,15
2006,89,84,15
2007,91,90,15
2008,89,89,15
2009,91,87,15
2010,90,86,15
2011,88,85,15
2012,80,80,38
2013,99,79,25
2014,100,79,24
2015,100,79,23
2016,85,80,28
