"Figure 2. Average Number of Coastal Flood Events per Year, 1950–2015",,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,
"Data source: NOAA, 2016",,,,
Web update: August 2016,,,,
Units: average number of flood events per year,,,,
,,,,
Site name,1950-1969,1970-1989,1990-2009,2010-2015
"Boston, MA",1.65,1.55,2.35,6.833333333
"Providence, RI",1.25,1.25,1.25,2.333333333
New London,1.052631579,0.941176471,1.45,1.5
"Montauk, NY",0.888888889,0.8125,1.5,2
"Kings Point, NY",4.684210526,4.666666667,8.3,16.66666667
"Battery, NY",1.157894737,0.947368421,2.117647059,4
"Sandy Hook, NJ",2.65,4.473684211,13.1,25
"Atlantic City, NJ",2.368421053,4.75,13.10526316,24.5
"Philadelphia, PA",2.111111111,4,5.65,13
"Lewes, DE",4.9375,6.111111111,11.75,22.5
"Baltimore, MD",1.8,3.4,6.45,15.66666667
"Annapolis, MD",3.888888889,10.36842105,21.84210526,46.33333333
"Washington, DC",5.7,11.6,19.27777778,32.16666667
"Sewells Point, VA",1.45,1.95,5.05,7.5
"Wilmington, NC",1,6.3,21.75,49.16666667
"Charleston, SC",2.736842105,6.368421053,17.55,26.33333333
"Fort Pulaski, GA",2.55,4.8125,11.45,19
"Fernandina Beach, FL",0.5,0.578947368,1.444444444,2.5
"Mayport, FL",0.3,0.5,2.55,6.5
"Key West, FL",0.105263158,0.2,1.5,3.833333333
"St. Petersburg, FL",0.055555556,0.15,0.1,0
"Galveston Bay, TX",0.3,0.058823529,0.4,0
"Port Isabel, TX",0.9,1.6,10.15,10.33333333
"La Jolla, CA",0.5,2.235294118,4.75,6.333333333
"San Francisco, CA",3.95,7.55,9.55,11.66666667
"Seattle, WA",1.05,1.3,1.5,3.333333333
"Honolulu, HI",3.8,7.842105263,14.5,5.333333333
