"Figure 1. Number of Hurricanes in the North Atlantic, 1878-2015",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: NOAA, 2016; Vecchi and Knutson, 2011",,,
Web update: August 2016,,,
Units: Number of hurricanes,,,
,,,
Year,Total hurricanes (adjusted),Total hurricanes (unadjusted),Hurricanes reaching the United States
1880,9.63874,6.6,2.6
1881,8.24872,5.2,2.4
1882,7.82772,4.8,1.8
1883,7.23736,4.2,1.2
1884,8.38944,5.4,2.2
1885,9.7223,6.8,2.6
1886,10.20804,7.4,3
1887,10.43916,7.8,3.2
1888,9.49582,7,3
1889,8.84482,6.4,2
1890,7.589,5.2,1.2
1891,8.3433,6,1.6
1892,8.21306,5.8,1.8
1893,8.23152,5.8,2
1894,7.97938,5.6,2.2
1895,7.5356,5.2,2.4
1896,6.46862,4.2,2
1897,6.43264,4.2,2.2
1898,6.62844,4.4,2.2
1899,6.66464,4.4,2
1900,6.67938,4.4,1.8
1901,7.14486,4.8,1.6
1902,6.87034,4.6,1.4
1903,6.33056,4.2,1.2
1904,6.19772,4.2,1.6
1905,5.47598,3.6,1.6
1906,5.13668,3.4,1.4
1907,5.4591,3.8,2
1908,5.81044,4.2,2.4
1909,5.15556,3.6,2
1910,5.8964,4.4,2.4
1911,5.36032,4,2.8
1912,4.1679,2.8,1.8
1913,4.55718,3.2,2.2
1914,6.0257,4.6,2.6
1915,5.84202,4.2,2.4
1916,6.1842,4.2,2.2
1917,6.62338,4.6,2.4
1918,6.4119,4.4,1.8
1919,5.26592,3.4,1.4
1920,5.20796,3.6,1.2
1921,4.87144,3.6,1
1922,5.30032,4.2,1.4
1923,4.62592,3.6,1.2
1924,5.17576,4.2,1.6
1925,5.32514,4.4,1.6
1926,5.3125,4.4,1.8
1927,4.89324,4,1.6
1928,5.06812,4.2,1.6
1929,4.08822,3.2,0.8
1930,4.54568,3.6,1.2
1931,5.97882,5,1.8
1932,6.8203,5.8,2
1933,7.42614,6.4,2.4
1934,8.199,7.2,3
1935,7.72284,6.8,2.6
1936,6.26074,5.4,2
1937,5.5374,4.6,1.6
1938,5.90118,4.8,1.6
1939,5.49464,4.2,1.4
1940,5.91232,4.2,1.8
1941,6.40042,4.4,1.6
1942,7.47134,5.4,2
1943,7.41478,5.2,2.2
1944,7.2462,5,2
1945,7.2019,5.2,2.2
1946,7.25388,5.4,2.6
1947,6.86364,5.2,2.6
1948,7.75086,6.4,2.6
1949,8.49848,7.4,2.4
1950,8.302,7.4,2
1951,8.34138,7.6,2
1952,8.30516,7.6,2
1953,7.86162,7.2,1.8
1954,7.03774,6.4,2
1955,6.60828,6,2
1956,6.58736,6,1.6
1957,6.56382,6,1.6
1958,5.53962,5,1.6
1959,6.32076,5.8,1.6
1960,6.32586,5.8,1.4
1961,6.32194,5.8,1.4
1962,6.10684,5.6,1.6
1963,6.09758,5.6,1.4
1964,5.79868,5.4,1.6
1965,6.28954,6,1.8
1966,5.58426,5.4,1.8
1967,6.693,6.6,1.4
1968,6.8,6.8,1.4
1969,6.6,6.6,1.6
1970,6,6,1.6
1971,6,6,1.4
1972,4.4,4.4,1.2
1973,4.6,4.6,1.2
1974,4.6,4.6,0.8
1975,5,5,0.8
1976,5.2,5.2,0.8
1977,5.4,5.4,1.2
1978,6,6,1.2
1979,6.2,6.2,1
1980,5.6,5.6,0.8
1981,5.2,5.2,1
1982,5.2,5.2,0.6
1983,4.8,4.8,1.6
1984,4.2,4.2,2
1985,4.4,4.4,2.2
1986,4.8,4.8,2.2
1987,5.2,5.2,2.6
1988,5.4,5.4,1.4
1989,5.4,5.4,1.2
1990,5.6,5.6,1.2
1991,5.4,5.4,1.2
1992,4.6,4.6,0.6
1993,5.2,5.2,1
1994,6.2,6.2,1.2
1995,6,6,1.2
1996,7.2,7.2,1.6
1997,8.2,8.2,2.2
1998,7.6,7.6,1.8
1999,7.6,7.6,1.4
2000,7.8,7.8,1.4
2001,7.2,7.2,1.2
2002,7.4,7.4,1.8
2003,8.8,8.8,3
2004,8,8,3
2005,8.4,8.4,3
2006,8.6,8.6,3.2
2007,7.4,7.4,2
2008,6.8,6.8,0.8
2009,7.2,7.2,1
2010,8,8,1.2
2011,6.8,6.8,0.6
2012,7.4,7.4,0.8
2013,5.8,5.8,0.8
