"Figure 2. North Atlantic Tropical Cyclone Activity According to the Accumulated Cyclone Energy Index, 1950-2015",
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,
"Data source: NOAA, 2016",
Web update: August 2016,
Units: Accumulated Cyclone Energy index,
,
Year,ACE Index (Percent of median)
1950,228.1081081
1951,136.2162162
1952,74.59459459
1953,107.027027
1954,120
1955,170.8108108
1956,58.37837838
1957,90.81081081
1958,130.8108108
1959,83.24324324
1960,95.13513514
1961,221.6216216
1962,38.91891892
1963,127.5675676
1964,183.7837838
1965,90.81081081
1966,156.7567568
1967,131.8918919
1968,48.64864865
1969,179.4594595
1970,43.24324324
1971,104.8648649
1972,38.91891892
1973,51.89189189
1974,73.51351351
1975,82.16216216
1976,90.81081081
1977,27.02702703
1978,68.10810811
1979,100.5405405
1980,161.0810811
1981,108.1081081
1982,34.59459459
1983,18.37837838
1984,90.81081081
1985,95.13513514
1986,38.91891892
1987,36.75675676
1988,111.3513514
1989,145.9459459
1990,104.8648649
1991,38.91891892
1992,82.16216216
1993,42.16216216
1994,34.59459459
1995,246.4864865
1996,179.4594595
1997,44.32432432
1998,196.7567568
1999,191.3513514
2000,128.6486486
2001,118.9189189
2002,72.43243243
2003,190.2702703
2004,245.4054054
2005,270.2702703
2006,85.40540541
2007,80
2008,157.8378378
2009,57.2972973
2010,178.3783784
2011,136.2162162
2012,139.4594595
2013,38.91891892
2014,72.43243243
2015,68.10810811
