"Figure 2. U.S. Lands Under Drought Conditions, 2000-2015",,,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,,
"Data source: National Drought Mitigation Center, 2016",,,,,,,
Web update: August 2016,,,,,,,
Units: Percent of U.S. land area,,,,,,,
,,,,,,,
MONTH,DAY,YEAR,D4 Exceptional drought,D3 Extreme drought,D2 Severe drought,D1 Moderate drought,D0 Abnormally dry
12,29,2015,2.26,2.99,4.42,6.03,13.66
12,22,2015,2.26,3.25,5.07,5.6,13.82
12,15,2015,2.26,3.25,5.46,5.45,14.26
12,8,2015,2.26,4.41,5.33,4.88,14.25
12,1,2015,2.26,4.72,5.3,4.95,15.18
11,24,2015,2.26,4.78,5.37,5.93,17.54
11,17,2015,2.26,4.82,5.37,6.62,21.14
11,10,2015,2.26,4.82,5.67,8.32,20.39
11,3,2015,2.27,5.12,5.55,8.96,22.08
10,27,2015,2.51,6.14,5.75,10.93,23.34
10,20,2015,3.14,8.92,7.38,9.66,23.92
10,13,2015,2.73,8.35,7.76,8.46,21.39
10,6,2015,2.56,7.5,7.9,8.46,20.5
9,29,2015,2.51,7.07,7.24,10,26.16
9,22,2015,2.51,6.98,7.08,10.36,25.82
9,15,2015,2.51,6.84,7.05,11.6,24.48
9,8,2015,2.51,6.63,7.3,11.7,23.86
9,1,2015,2.51,6.46,6.72,12.71,21.48
8,25,2015,2.51,6.67,5.96,12.84,21.24
8,18,2015,2.51,5.37,7.38,12.66,21.57
8,11,2015,2.51,5.18,7.28,12.55,20.83
8,4,2015,2.36,5.01,7.25,11.4,21.01
7,28,2015,2.36,5,7.02,10.44,19.37
7,21,2015,2.36,3.89,7.76,10.9,14.49
7,14,2015,2.36,3.89,8.39,10.48,14.28
7,7,2015,2.39,3.85,8.11,10.24,15.94
6,30,2015,2.39,3.25,7.36,10.25,18.46
6,23,2015,2.39,3.25,6.32,10.01,21.07
6,16,2015,2.39,3.25,5.74,9.29,20.23
6,9,2015,2.56,3.21,5.68,8.07,19.62
6,2,2015,2.62,3.31,5.93,8.73,21.2
5,26,2015,2.62,3.17,6.07,10.21,24.35
5,19,2015,2.62,3.17,6.88,13.73,21.23
5,12,2015,2.62,3.38,8.77,14.19,21.72
5,5,2015,2.83,3.74,10.44,14.6,19
4,28,2015,2.85,3.92,9.96,14.57,17.21
4,21,2015,2.97,4.19,8.69,15.21,17.56
4,14,2015,2.97,4.62,8.4,15.35,21.76
4,7,2015,3.02,4.61,8.38,14.88,24.07
3,31,2015,2.79,4.7,8.05,15.28,23.14
3,24,2015,2.79,4.57,6.82,14.75,22.39
3,17,2015,2.65,4.55,6.37,15.49,21.05
3,10,2015,2.65,4.36,6.13,13.31,22.57
3,3,2015,2.68,4.37,6.03,13.65,22.71
2,24,2015,2.76,4.6,6.36,13.8,22.37
2,17,2015,2.81,4.38,6.55,13.18,23.5
2,10,2015,2.73,4.36,6.43,10.79,19.72
2,3,2015,2.61,4.8,5.99,10.45,17.82
1,27,2015,2.63,4.85,6.58,9.91,19.42
1,20,2015,2.43,4.99,6.76,9.45,15.32
1,13,2015,2.42,4.97,6.52,9.46,14.04
1,6,2015,2.07,5.32,6.61,9.48,13.54
12,30,2014,2.12,5.37,6.65,9.82,15.2
12,23,2014,2.11,5.28,6.96,10.69,16.97
12,16,2014,2.08,5.31,7.04,10.68,16.48
12,9,2014,3.08,4.39,6.81,10.65,15.8
12,2,2014,3.07,4.29,6.76,10.22,15.58
11,25,2014,3.07,4.21,6.76,10.11,15.36
11,18,2014,3.17,4.2,6.94,10.3,14.85
11,11,2014,3.17,4.2,7.06,10.29,14.38
11,4,2014,3.18,4.26,7.34,10.17,12.89
10,28,2014,3.33,4.33,7.39,9.69,11.62
10,21,2014,3.24,4.35,7.48,9.83,11.76
10,14,2014,3.24,4.53,7.38,9.74,12.28
10,7,2014,3.24,4.66,7.69,9.91,13.85
9,30,2014,3.22,4.64,7.73,9.95,14.57
9,23,2014,3.11,4.63,7.63,10.22,12.6
9,16,2014,3.11,4.68,8.88,9.33,11.87
9,9,2014,3.09,4.82,9.06,9.15,12.42
9,2,2014,3.18,5.1,9.2,9.91,11.76
8,26,2014,3.18,5.24,9.59,10.28,11.64
8,19,2014,3.18,5.27,9.61,9.98,12.16
8,12,2014,3.17,5.38,9.86,9.68,11.36
8,5,2014,3.21,5.31,10.02,9.82,11.45
7,29,2014,3.26,5.59,10.17,9.45,11.32
7,22,2014,2.33,7.07,10.53,8.17,10.59
7,15,2014,2.39,7.53,10.23,8.4,9.47
7,8,2014,2.45,7.59,10.8,7.78,9.47
7,1,2014,2.49,7.52,10.88,7.53,8.77
6,24,2014,2.43,6.95,11.35,8.53,12.16
6,17,2014,2.62,7.09,11.54,8.45,11.66
6,10,2014,2.24,7.93,11.53,8.5,11.85
6,3,2014,2.53,8.53,11.73,8.39,12.39
5,27,2014,2.8,8.6,11.76,8.52,8.84
5,20,2014,4.17,7.91,11.56,8.21,8.48
5,13,2014,3.73,7.96,11.73,8.39,9.46
5,6,2014,3.72,8.39,11.57,9.79,9.37
4,29,2014,3.24,7.42,11.69,9.76,9.18
