Figure 1. Global Atmospheric Concentrations of Carbon Dioxide Over Time,,,,,,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,,,,,
Data source: Compilation of 10 underlying datasets,,,,,,,,,,
Web update: April 2016,,,,,,,,,,
Units: parts per million (ppm) of CO2,,,,,,,,,,
,,,,,,,,,,
Year (negative values = BC),"EPICA Dome C and  Vostok Station,  Antarctica","Law Dome, Antarctica (75-year smoothed)","Siple Station, Antarctica","Mauna Loa, Hawaii","Barrow, Alaska","Cape Matatula,  American Samoa","South Pole, Antarctica","Cape Grim, Australia","Lampedusa Island, Italy","Shetland Islands, Scotland"
Ice Core Measurements,,,,,,,,,,
-796562,191,,,,,,,,,
-795149,188.4,,,,,,,,,
-794517,189.3,,,,,,,,,
-793252,195.2,,,,,,,,,
-792658,199.4,,,,,,,,,
-791310,209,,,,,,,,,
-790993,204,,,,,,,,,
-790131,205.1,,,,,,,,,
-789541,215.4,,,,,,,,,
-788588,221.3,,,,,,,,,
-788203,218.2,,,,,,,,,
-787431,226.3,,,,,,,,,
-786937,229.5,,,,,,,,,
-786083,247.9,,,,,,,,,
-785855,248.1,,,,,,,,,
-785126,256.9,,,,,,,,,
-784637,260.3,,,,,,,,,
-783839,255.4,,,,,,,,,
-783463,253.3,,,,,,,,,
-782742,250.7,,,,,,,,,
-782197,246.9,,,,,,,,,
-781313,252.1,,,,,,,,,
-780109,246.2,,,,,,,,,
-779585,248.7,,,,,,,,,
-778662,242.8,,,,,,,,,
-778318,248.5,,,,,,,,,
-777414,243.9,,,,,,,,,
-776848,245.8,,,,,,,,,
-775950,246.1,,,,,,,,,
-775606,246.3,,,,,,,,,
-774686,243.9,,,,,,,,,
-774087,238.8,,,,,,,,,
-773101,240.5,,,,,,,,,
-772598,236.9,,,,,,,,,
-771730,233.3,,,,,,,,,
-771093,230,,,,,,,,,
-770126,230.9,,,,,,,,,
-769758,229.5,,,,,,,,,
-769310,237.7,,,,,,,,,
-769044,235.6,,,,,,,,,
-768774,238.2,,,,,,,,,
-768497,235.6,,,,,,,,,
-768183,231.5,,,,,,,,,
-767837,226,,,,,,,,,
-767564,228.1,,,,,,,,,
-767100,221.4,,,,,,,,,
-766705,222.4,,,,,,,,,
-765787,217.7,,,,,,,,,
-765146,213.5,,,,,,,,,
-764160,215.7,,,,,,,,,
-763785,216.8,,,,,,,,,
-762883,222.6,,,,,,,,,
-762299,224.1,,,,,,,,,
-761984,221.4,,,,,,,,,
-761736,225.7,,,,,,,,,
-761369,215,,,,,,,,,
-760921,216,,,,,,,,,
-760114,212,,,,,,,,,
-759503,206.1,,,,,,,,,
-758550,206.9,,,,,,,,,
-758252,208.8,,,,,,,,,
-757356,214.9,,,,,,,,,
-756933,217.9,,,,,,,,,
-756525,217.6,,,,,,,,,
-756309,215.3,,,,,,,,,
-756012,219.2,,,,,,,,,
-755611,215,,,,,,,,,
-754921,210.7,,,,,,,,,
-754407,206,,,,,,,,,
-753545,201.9,,,,,,,,,
-753291,200.5,,,,,,,,,
-752444,195.8,,,,,,,,,
-752034,191.5,,,,,,,,,
-751028,196.5,,,,,,,,,
-750655,188,,,,,,,,,
-749880,190.1,,,,,,,,,
-749351,186.2,,,,,,,,,
-748526,184,,,,,,,,,
-748244,184.8,,,,,,,,,
-747451,182.9,,,,,,,,,
-746963,181.4,,,,,,,,,
-746151,180.4,,,,,,,,,
-745809,180.8,,,,,,,,,
-745160,180.8,,,,,,,,,
-744693,183.1,,,,,,,,,
-743886,180.2,,,,,,,,,
-742893,182,,,,,,,,,
-742404,181.2,,,,,,,,,
-741639,180.4,,,,,,,,,
-741283,181.7,,,,,,,,,
-740608,182.3,,,,,,,,,
-740125,177.9,,,,,,,,,
-739357,176.6,,,,,,,,,
-739071,178.6,,,,,,,,,
-738327,178.9,,,,,,,,,
-737892,185,,,,,,,,,
-737187,197.8,,,,,,,,,
-736894,200.3,,,,,,,,,
-736322,206.5,,,,,,,,,
-735939,210.6,,,,,,,,,
-735316,211.3,,,,,,,,,
-735084,208.1,,,,,,,,,
-734510,209.7,,,,,,,,,
-734129,204.1,,,,,,,,,
-733509,201.3,,,,,,,,,
-733217,201.7,,,,,,,,,
-732654,207.4,,,,,,,,,
-732273,205.3,,,,,,,,,
-731593,204.4,,,,,,,,,
-731311,203.9,,,,,,,,,
-730598,205.9,,,,,,,,,
-730191,203.8,,,,,,,,,
-729379,204.9,,,,,,,,,
-728999,204.1,,,,,,,,,
-728349,204,,,,,,,,,
-726971,205.4,,,,,,,,,
-726618,205.1,,,,,,,,,
-725782,205.5,,,,,,,,,
-725242,204.5,,,,,,,,,
-724372,208.1,,,,,,,,,
-723987,206.6,,,,,,,,,
-723109,206.3,,,,,,,,,
-722495,210.3,,,,,,,,,
-721514,213.2,,,,,,,,,
-721183,213.4,,,,,,,,,
-720089,211.3,,,,,,,,,
-719368,206.3,,,,,,,,,
-718387,195.2,,,,,,,,,
-717844,187.8,,,,,,,,,
-716829,184.3,,,,,,,,,
-716114,192.9,,,,,,,,,
-715115,205,,,,,,,,,
-714754,208.1,,,,,,,,,
-713800,222.1,,,,,,,,,
-713230,217.7,,,,,,,,,
-712338,221.7,,,,,,,,,
-711893,222.3,,,,,,,,,
-710883,218.5,,,,,,,,,
-709471,218.7,,,,,,,,,
-709154,218.9,,,,,,,,,
-708287,220.2,,,,,,,,,
-707730,219.7,,,,,,,,,
-704459,228.1,,,,,,,,,
-704191,228.6,,,,,,,,,
-703460,228.5,,,,,,,,,
-703023,233.9,,,,,,,,,
-702261,231.2,,,,,,,,,
-701984,231.2,,,,,,,,,
-701434,232.8,,,,,,,,,
-701038,232.4,,,,,,,,,
-700431,230.3,,,,,,,,,
-700208,229.3,,,,,,,,,
-699656,228.8,,,,,,,,,
-699292,228.2,,,,,,,,,
-698794,227.6,,,,,,,,,
-698439,228.7,,,,,,,,,
-697959,226,,,,,,,,,
-697683,227.6,,,,,,,,,
-697152,227.7,,,,,,,,,
-696930,226.4,,,,,,,,,
-696436,228,,,,,,,,,
-696170,231,,,,,,,,,
-695710,232.2,,,,,,,,,
-695381,232.4,,,,,,,,,
-695013,232.9,,,,,,,,,
-694767,235.4,,,,,,,,,
-694337,234.8,,,,,,,,,
-694112,234.6,,,,,,,,,
-693668,237.6,,,,,,,,,
-693433,236.7,,,,,,,,,
-692991,236.9,,,,,,,,,
-692722,235.8,,,,,,,,,
-692350,234.4,,,,,,,,,
-692118,235.4,,,,,,,,,
-691689,234.1,,,,,,,,,
-691483,234.1,,,,,,,,,
-691040,234.8,,,,,,,,,
-690815,232.9,,,,,,,,,
-690388,235.9,,,,,,,,,
-690107,235.5,,,,,,,,,
-689722,236.6,,,,,,,,,
-689482,235.6,,,,,,,,,
-689049,234,,,,,,,,,
-688821,240,,,,,,,,,
-688344,234.8,,,,,,,,,
-688107,235.6,,,,,,,,,
-687653,239.9,,,,,,,,,
-687354,235.8,,,,,,,,,
-686931,234.9,,,,,,,,,
-686702,235.8,,,,,,,,,
-686245,233,,,,,,,,,
-685999,232.3,,,,,,,,,
-685520,228.8,,,,,,,,,
-685277,228.7,,,,,,,,,
-684776,227.3,,,,,,,,,
-684475,224.3,,,,,,,,,
-684030,224.4,,,,,,,,,
-683766,223.5,,,,,,,,,
-683267,219.7,,,,,,,,,
-682999,219.5,,,,,,,,,
-682469,219.4,,,,,,,,,
-682192,217.5,,,,,,,,,
-681662,217.5,,,,,,,,,
-681312,218.7,,,,,,,,,
-680812,221.3,,,,,,,,,
-680496,222.6,,,,,,,,,
-679899,219.7,,,,,,,,,
-679581,217.3,,,,,,,,,
-678970,216.2,,,,,,,,,
-678658,218.4,,,,,,,,,
-678131,225,,,,,,,,,
-677782,223,,,,,,,,,
-677302,230.3,,,,,,,,,
-676964,230.8,,,,,,,,,
-676341,230,,,,,,,,,
-676034,226.5,,,,,,,,,
-675430,217.4,,,,,,,,,
-675118,215.6,,,,,,,,,
-674574,214,,,,,,,,,
-674220,217.4,,,,,,,,,
-673639,220,,,,,,,,,
-672571,213.7,,,,,,,,,
