"Figure 4. Global Atmospheric Concentrations of Selected Halogenated Gases, 1978-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: AGAGE, 2016; Rigby, 2016; NOAA, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web update: August 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units: parts per trillion (ppt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,HCFC-22,HCFC-141b,HFC-23,HFC-125,HFC-134a,HFC-152a,CFC-12,Methyl chloroform,Sulfur hexafluoride,PFC-116,Halon-1211,Nitrogen trifluoride,PFC-14,,,,,,,,,,,,,,,,
1978.04,,,,,,,264.3,,,,,,,,,,,,,,,,,,,,,,
1978.04,,,,,,,,,,,,0.019,,,,,,,,,,,,,,,,,
1978.04163,,,,,,,,,,,,,49.27525,,,,,,,,,,,,,,,,
1978.12,,,,,,,263.1,,,,,,,,,,,,,,,,,,,,,,
1978.13,,,,,,,,,,,,0.019,,,,,,,,,,,,,,,,,
1978.125,,,,,,,,,,,,,49.54696,,,,,,,,,,,,,,,,
1978.21,,,,,,,,,,,,0.019,,,,,,,,,,,,,,,,,
1978.20825,,,,,,,,,,,,,49.75582,,,,,,,,,,,,,,,,
1978.21,,,,,,,261.6,,,,,,,,,,,,,,,,,,,,,,
1978.29,,,3.13,,,,,,,,,,,,,,,,,,,,,,,,,,
1978.29,,,,,,,,,,,,0.019,,,,,,,,,,,,,,,,,
1978.29163,,,,,,,,,,,,,49.92353,,,,,,,,,,,,,,,,
1978.38,,,,,,,,,,,,0.020,,,,,,,,,,,,,,,,,
1978.375,,,,,,,,,,,,,50.08714,,,,,,,,,,,,,,,,
1978.38,,,3.06809,,,,,,,,,,,,,,,,,,,,,,,,,,
1978.46,,,,,,,,,,,,0.020,,,,,,,,,,,,,,,,,
1978.45825,,,,,,,,,,,,,50.26694,,,,,,,,,,,,,,,,
1978.46,,,3.04221,,,,273.6,,,,,,,,,,,,,,,,,,,,,,
1978.54,,,2.95,,,,268.552,71.805,,,,,,,,,,,,,,,,,,,,,
1978.54,,,,,,,,,,,,0.020,,,,,,,,,,,,,,,,,
1978.54163,,,,,,,,,,,,,50.48689,,,,,,,,,,,,,,,,
1978.62,,,3.01894,,,,269.862,71.088,,,,,,,,,,,,,,,,,,,,,
1978.63,,,,,,,,,,,,0.020,,,,,,,,,,,,,,,,,
1978.625,,,,,,,,,,,,,50.72669,,,,,,,,,,,,,,,,
1978.71,,,,,,,,,,,,0.020,,,,,,,,,,,,,,,,,
1978.70825,,,,,,,,,,,,,50.97459,,,,,,,,,,,,,,,,
1978.71,,,3.02155,,,,271.445,69.845,,,,,,,,,,,,,,,,,,,,,
1978.79,,,3.1,,,,273.775,70.845,,,,,,,,,,,,,,,,,,,,,
1978.79,,,,,,,,,,,,0.020,,,,,,,,,,,,,,,,,
1978.79163,,,,,,,,,,,,,51.1127,,,,,,,,,,,,,,,,
1978.88,,,,,,,,,,,,0.020,,,,,,,,,,,,,,,,,
1978.875,,,,,,,,,,,,,51.18464,,,,,,,,,,,,,,,,
1978.88,,,3.08389,,,,276.78,71.945,,,,,,,,,,,,,,,,,,,,,
1978.96,,,,,,,,,,,,0.020,,,,,,,,,,,,,,,,,
1978.95825,,,,,,,,,,,,,51.25907,,,,,,,,,,,,,,,,
1978.96,,,3.11568,,,,280.265,74.768,,,,,,,,,,,,,,,,,,,,,
1979.04,,,3.14912,,,,283.425,74.405,,,,,,,,,,,,,,,,,,,,,
1979.04,,,,,,,,,,,,0.021,,,,,,,,,,,,,,,,,
1979.04163,,,,,,,,,,,,,51.39258,,,,,,,,,,,,,,,,
1979.12,,,3.16,,,,283.455,74.29,,,,,,,,,,,,,,,,,,,,,
1979.13,,,,,,,,,,,,0.021,,,,,,,,,,,,,,,,,
1979.125,,,,,,,,,,,,,51.55297,,,,,,,,,,,,,,,,
1979.21,,,,,,,,,,,,0.021,,,,,,,,,,,,,,,,,
1979.20825,,,,,,,,,,,,,51.70161,,,,,,,,,,,,,,,,
1979.21,,,3.3256,,,,284.052,74.815,,,,,,,,,,,,,,,,,,,,,
1979.29,,,3.38176,,,,285.533,75.941,,,,,,,,,,,,,,,,,,,,,
1979.29,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,
1979.29163,,,,,,,,,,,,,51.81591,,,,,,,,,,,,,,,,
1979.375,,,,,,,,,,,,0.02104,,,,,,,,,,,,,,,,,
1979.375,,,,,,,,,,,,,51.91731,,,,,,,,,,,,,,,,
1979.38,,,3.43631,,,,286.657,76.582,,,,,,,,,,,,,,,,,,,,,
1979.46,,,,,,,,,,,,0.02114,,,,,,,,,,,,,,,,,
1979.45825,,,,,,,,,,,,,52.03055,,,,,,,,,,,,,,,,
1979.46,,,3.48924,,,,286.92,76.62,,,,,,,,,,,,,,,,,,,,,
1979.54,,,3.54056,,,,289.312,76.863,,,,,,,,,,,,,,,,,,,,,
1979.54,,,,,,,,,,,,0.02122,,,,,,,,,,,,,,,,,
