"Figure 2. Cumulative Mass Balance of Three U.S. Glaciers, 1958-2014",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: O'Neel et al., 2014; USGS, 2015",,,
Web update: June 2015,,,
Units: m of water equivalent,,,
,,,
Year,South Cascade Glacier,Gulkana Glacier,Wolverine Glacier
1958,0.97,,
1959,1.67,,
1960,1.17,,
1961,0.07,,
1962,0.27,,
1963,-1.03,,
1964,0.17,,
1965,0,0,0
1966,-1.03,-0.23,-0.62
1967,-1.66,-0.07,-2.32
1968,-1.65,-0.34,-3.49
1969,-2.38,-1.35,-3.53
1970,-3.58,-0.94,-2.03
1971,-2.98,-1.08,-1.88
1972,-1.55,-1.46,-3.04
1973,-2.59,-1.03,-2.71
1974,-1.57,-2.38,-4.19
1975,-1.62,-2.68,-4.46
1976,-0.67,-3.4,-5.44
1977,-1.97,-3.76,-4.02
1978,-2.35,-4.06,-3.57
1979,-3.91,-4.68,-5.02
1980,-4.93,-4.34,-3.35
1981,-5.77,-4.36,-0.1
1982,-5.69,-4.72,-0.4
1983,-6.46,-4.83,-0.78
1984,-6.34,-5.26,-1.12
1985,-7.54,-5,-0.71
1986,-8.15,-5,-0.89
1987,-10.21,-5.14,0.52
1988,-11.55,-5.33,1.62
1989,-12.46,-6.04,-0.01
1990,-12.57,-6.68,-2.3
1991,-12.5,-6.84,-2.75
1992,-14.51,-7.16,-2.98
1993,-15.74,-8.91,-3.64
1994,-17.34,-9.5,-4.06
1995,-18.03,-10.4,-4.62
1996,-17.93,-10.9,-6.07
1997,-17.3,-12.6,-7.98
1998,-19.16,-13.14,-7.15
1999,-18.14,-14.32,-7.84
2000,-17.76,-14.3,-7.36
2001,-19.33,-14.98,-6.75
2002,-18.78,-15.95,-7.26
2003,-20.88,-15.87,-7.65
2004,-22.53,-18.21,-9.89
2005,-24.98,-18.88,-11.6
2006,-26.56,-19.15,-12.31
2007,-26.76,-20.4,-13.23
2008,-27.05,-20.49,-12.04
2009,-28.91,-21.28,-13.94
2010,-29.72,-22.9,-13.81
2011,-28.51,-24.19,-15.16
2012,-29.327,-24.93,-14.66
2013,-29.142,-26.21,-16.92
2014,-30.622,-26.38,-18.67
