"Figure 1. Water Levels of the Great Lakes, 1860-2015",,,,,,,,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,,,,,,,
"Data source: NOAA, 2016",,,,,,,,,,,,
Web update: August 2016,,,,,,,,,,,,
Units: feet,,,,,,,,,,,,
,,,,,,,,,,,,
,Lake Erie,Lake Michigan-Huron,Lake Ontario,Lake Superior,Lake Erie upper bound,Lake Michigan-Huron upper bound,Lake Ontario upper bound,Lake Superior upper bound,Lake Erie lower bound,Lake Michigan-Huron lower bound,Lake Ontario lower bound,Lake Superior lower bound
1860,1.225938056,2.887680248,0.745295983,0.136465497,1.932629556,3.339888333,1.676505833,0.504154722,0.594049556,2.152226667,0.396980833,-0.414478611
1861,1.291554722,2.876743918,1.357991608,0.178568103,2.031054556,3.5728275,2.299864167,0.701004722,0.049431222,2.040678333,0.2657475,-0.381670278
1862,1.389979722,2.8247975,1.376036191,-0.104132119,2.136041222,3.221778333,2.660755833,0.274496389,0.695755389,2.381885,0.396980833,-0.611328611
1863,1.127513056,2.377510665,0.967299017,-0.484710426,1.702971222,2.670598333,1.971780833,-0.086395278,0.092082056,2.050520833,0.3641725,-0.873795278
1864,0.504154722,1.77356371,0.739007708,-0.679648028,1.358483722,2.221124167,1.971780833,-0.348861944,-0.199912111,0.971126667,-0.0295275,-1.037836944
1865,0.143263056,1.477195208,0.707019583,-0.419643627,0.758091222,2.152226667,1.4468475,0.241688056,-0.862640444,0.751310833,-0.5216525,-1.333111944
1866,0.274496389,1.150752292,-0.000820208,-0.535567936,0.882762889,1.712595,0.626639167,0.012029722,-0.675632944,0.419946667,-0.784119167,-1.497153611
1867,0.307304722,1.579994543,0.626365775,-0.276657036,1.269901222,2.270336667,2.267055833,0.143263056,-0.678913778,0.790680833,-1.3090525,-0.939411944
1868,-0.053586944,1.096345248,-0.681046309,-0.433318468,0.997263972,1.69291,0.3641725,-0.152011944,-1.263230194,0.531495,-1.8011775,-1.267495278
1869,0.340113056,1.214181627,0.326169525,-0.239477649,1.272853972,2.112856667,1.1515725,0.536963056,-0.725173528,0.242781667,-0.948160833,-1.333111944
1870,0.963471389,2.1161375,1.388339316,-0.014468584,1.450018972,2.742776667,2.791989167,0.733813056,0.350939806,1.292648333,-0.0295275,-0.676945278
1871,0.372921389,2.04040504,-0.014490358,-0.011736306,1.036633972,2.880571667,0.9547225,0.569771389,-0.643152694,0.652885833,-1.276244167,-1.234686944
1872,-0.578520278,0.908243918,-1.377403184,0.139727301,-0.046041028,1.502621667,-0.8169275,0.865046389,-1.056537694,0.301836667,-1.833985833,-0.742561944
1873,0.110454722,1.521759752,-0.325349316,0.698287536,0.961174806,2.201439167,0.790680833,1.357171389,-1.148401028,0.331364167,-1.8996025,0.044838056
1874,0.602579722,1.923661835,0.41721265,0.68215535,1.148182306,2.3326725,1.118764167,1.193129722,-0.541446861,1.282805833,-1.145010833,0.176071389
1875,-0.086395278,1.684161002,-0.881177142,0.76089371,0.583878972,2.171911667,-0.2263775,1.258746389,-0.944989361,1.082675,-1.768369167,0.340113056
1876,1.291554722,2.725005377,0.940232142,1.155138656,2.119308972,3.641725,2.201439167,2.013338056,-0.039479361,1.7027525,-0.849735833,0.274496389
1877,0.438538056,2.434925248,-0.220909434,0.522209804,0.948051472,2.752619167,0.396980833,0.832238056,-0.052602694,2.142384167,-0.9153525,0.176071389
1878,0.865046389,2.176286002,0.353783184,-0.032799584,1.345032306,2.582015833,0.8562975,0.405729722,0.393590639,1.81102,-0.652885833,-0.480095278
1879,0.077646389,1.306591875,0.056047559,-0.491024062,0.580598139,1.571519167,0.6594475,-0.152011944,-0.669399361,0.980969167,-1.046585833,-0.873795278
1880,0.340113056,1.473914375,-0.308671725,-0.142163867,0.885387556,2.171911667,0.4625975,0.536963056,-0.364609944,0.961284167,-1.046585833,-1.169070278
1881,0.176071389,1.85531125,-0.644410358,0.310863114,0.934600056,2.250651667,0.134514167,1.061896389,-0.807522444,1.14173,-1.440285833,-0.381670278
1882,1.061896389,2.198431627,0.420766875,0.243331097,1.659664222,2.660755833,1.414039167,0.536963056,-0.029964944,1.7027525,-0.5216525,-0.086395278
1883,0.865046389,2.475935665,0.52548015,-0.018590623,1.758089222,3.382539167,1.873355833,0.307304722,-0.121828278,1.660101667,-0.849735833,-0.348861944
1884,0.930663056,2.68508879,1.144190625,-0.152285894,1.735123389,3.1003875,2.0373975,0.504154722,0.042213389,2.181754167,0.003280833,-0.709753611
1885,0.832238056,2.840654752,0.678312292,0.139159717,1.571081722,3.372696667,1.4468475,0.635388056,-0.489281611,2.3622,-0.554460833,-0.381670278
1886,0.930663056,3.065391835,1.451221934,-0.260283381,1.498903389,3.720465,2.496714167,0.012029722,0.216097556,2.4114125,0.298555833,-0.611328611
1887,0.897854722,2.40840496,0.905236608,-0.196855359,1.653102556,2.95275,2.0373975,0.176071389,0.012685889,1.430443333,-0.390419167,-0.611328611
1888,0.208879722,1.765635248,-0.334918392,0.213247168,0.839455889,2.3523575,0.200130833,0.996279722,-0.420384111,1.2303125,-0.849735833,-0.611328611
1889,-0.053586944,1.260933502,-0.119750417,0.066428235,0.727907556,1.791335,0.6594475,0.602579722,-0.663165778,0.692255833,-0.980969167,-0.447286944
1890,0.635388056,1.0925175,0.918086517,-0.04621524,1.564520056,1.69291,2.004589167,0.536963056,-0.046369111,0.6200775,0.101705833,-0.709753611
1891,-0.283245278,0.52466004,-0.031988125,-0.475185839,0.320756139,0.941599167,1.315614167,-0.250436944,-1.217954694,-0.1082675,-1.7027525,-0.676945278
1892,-0.283245278,0.357610833,-0.767715,-0.445386686,0.947395306,1.020339167,0.1673225,-0.020778611,-1.332783861,-0.1476375,-1.669944167,-0.939411944
1893,-0.348861944,0.542704623,-0.21270735,-0.094885746,0.793196139,1.332018333,1.184380833,0.569771389,-1.267167194,-0.229658333,-1.4074775,-0.939411944
1894,-0.348861944,0.742015248,-0.403269108,0.582057782,0.409338639,1.450128333,0.626639167,1.094704722,-0.880028861,0.209973333,-1.6043275,-0.283245278
1895,-1.267495278,-0.114282252,-1.9006961,0.624706975,-0.873467194,0.242781667,-1.177819167,1.160321389,-1.742888028,-0.928475833,-2.7854275,0.012029722
1896,-1.037836944,-0.424321002,-1.573432975,0.609941584,-0.427273861,0.062335833,-0.751310833,1.127513056,-1.614935528,-0.859578333,-2.3917275,-0.053586944
1897,-0.480095278,0.178532123,-1.386152083,0.605019022,0.189522806,0.892386667,-0.554460833,1.193129722,-1.359030528,-0.587269167,-2.358919167,0.110454722
1898,-0.316053611,0.33273129,-0.825949792,0.163471677,0.356845306,0.872701667,-0.062335833,0.766621389,-0.932522194,-0.288713333,-1.538710833,-0.545711944
