"Figure 2. Surface Water Temperatures of the Great Lakes, 1995-2015",,,,,,,,,,,,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,,,,,,,,,,,
"Data source: NOAA, 2016",,,,,,,,,,,,,,,,
Web update: August 2016,,,,,,,,,,,,,,,,
Units: °F,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Year,Lake Erie,Lake Huron,Lake Michigan,Lake Ontario,Lake Superior,Julian Day,"Lake Erie, 2006-2015","Lake Huron, 2006-2015","Lake Michigan, 2006-2015","Lake Ontario, 2006-2015","Lake Superior, 2006-2015","Lake Erie, 1995-2004","Lake Huron, 1995-2004","Lake Michigan, 1995-2004","Lake Ontario, 1995-2004","Lake Superior, 1995-2004"
1995,52.24482192,47.75335342,49.08170411,49.89195068,43.19516164,1,37.3622,38.1848,39.1982,39.9074,37.8374,38.0876,40.4024,39.7724,39.8876,38.0192
1996,50.70740984,45.30283607,45.96908197,47.68498361,40.4277377,2,37.1228,38.066,39.0326,39.7598,37.7222,37.3874,40.1036,39.3224,39.8948,37.832
1997,51.43792877,45.95650959,47.10076712,48.33872329,41.57008219,3,36.9248,37.931,38.9318,39.6212,37.634,37.4216,40.1468,39.0812,39.9434,37.841
1998,53.88780274,49.68823014,51.6242411,51.45316712,46.53315068,4,36.8204,37.7852,38.9066,39.5492,37.607,37.4,40.1342,39.0686,39.902,37.868
1999,52.74250959,48.77955068,50.06583562,50.88436712,43.91886027,5,36.7466,37.7078,38.8022,39.3692,37.5458,37.0868,39.8408,38.9372,39.6518,37.8716
2000,52.6152623,48.04144262,49.86627869,49.61580328,43.71062295,6,36.5414,37.6052,38.6618,39.3008,37.4828,37.0706,39.8102,38.7302,39.6518,37.8248
2001,52.93794521,47.25798356,48.21839452,49.21145205,42.64189589,7,36.3758,37.4684,38.5394,39.1154,37.3928,37.013,39.668,38.4314,39.1262,37.6934
2002,52.06916164,48.43385205,49.78153425,50.89856986,43.37343562,8,36.1868,37.3316,38.3504,38.966,37.3028,36.698,38.5178,38.6114,38.6996,37.724
2003,50.6941589,45.96025753,47.29314521,47.57907397,42.03334795,9,36.05,37.283,38.2856,38.9354,37.247,36.788,38.3054,38.498,38.6762,37.7312
2004,53.40662295,48.0897377,49.09581967,50.05336066,43.10998361,10,35.9402,37.2326,38.2532,38.8562,37.1768,36.6674,37.472,38.3216,38.3234,37.7312
2005,53.49160548,49.42587397,51.10924384,51.69564932,45.53368219,11,35.8772,37.193,38.2478,38.7986,37.1048,36.8312,37.463,38.1164,38.1308,37.7456
2006,52.81169863,49.03791233,50.31966027,51.36888767,46.19115068,12,35.8304,37.1732,38.1974,38.8508,37.022,36.9986,37.3244,38.1902,37.9634,37.7456
2007,53.56350685,48.70158356,50.49995616,51.0459726,44.23630137,13,35.708,37.0958,38.1038,38.7464,36.9446,36.8348,37.4018,37.9706,37.9256,37.715
2008,52.04796721,47.99998361,48.93942623,50.23060656,43.71583607,14,35.555,36.9806,37.9832,38.5394,36.8816,36.8276,37.4684,37.661,37.7762,37.2218
2009,52.16941918,47.36918904,48.40608767,49.81526575,42.78061918,15,35.402,36.8564,37.8068,38.3738,36.7898,36.8276,37.5188,37.6502,37.589,37.1912
2010,53.84139726,50.0153863,51.5702411,52.07014795,46.43161096,16,35.2994,36.7358,37.7186,38.3,36.7322,36.8042,37.5224,37.283,37.4378,36.905
2011,52.98972603,48.24527123,49.53934795,51.23805479,44.37729315,17,35.2328,36.662,37.6286,38.192,36.6674,36.7646,36.9968,37.3838,37.337,36.338
2012,54.94601639,50.66290164,52.38091803,53.70642623,47.14803279,18,35.1626,36.5684,37.5116,38.1362,36.5558,36.7628,37.004,37.2362,37.3604,36.4028
2013,52.26420274,48.48528767,49.72033425,51.3797863,43.5792274,19,35.0546,36.4118,37.4126,38.0174,36.4532,36.7718,36.9914,36.851,37.3118,36.2822
2014,51.08833425,45.8796274,46.33692603,48.52118904,40.74425205,20,34.9034,36.2462,37.319,37.823,36.3146,36.6746,37.0742,36.6998,37.0022,35.987
2015,52.37059016,47.62714754,48.63814754,49.48198361,43.16885246,21,34.7324,36.0212,37.1912,37.6466,36.1688,36.6314,36.8492,36.7304,36.8528,35.933
,,,,,,22,34.6442,35.8628,37.0796,37.5458,36.0806,36.5216,36.5612,36.5468,36.9428,35.6558
,,,,,,23,34.547,35.7728,37.0184,37.454,35.9654,36.5306,36.4748,36.527,36.86,35.6342
,,,,,,24,34.4768,35.7152,36.851,37.4054,35.8664,36.5324,36.4352,36.41,36.6548,35.5748
,,,,,,25,34.3868,35.6468,36.788,37.3478,35.8268,36.725,36.5324,36.572,36.6368,35.4722
,,,,,,26,34.3076,35.6018,36.7142,37.2398,35.7584,36.7628,36.5072,36.5342,36.653,35.4146
,,,,,,27,34.2212,35.546,36.6584,37.1408,35.6648,36.059,36.437,36.5774,36.2462,35.3084
,,,,,,28,34.1708,35.4254,36.4946,37.04,35.5208,35.9654,36.2858,36.3506,36.3668,35.2796
,,,,,,29,34.1492,35.3426,36.3506,36.986,35.3876,35.9816,36.0662,36.2408,36.4172,35.1752
,,,,,,30,34.1132,35.2454,36.248,36.905,35.321,35.8952,35.5406,36.0446,36.2282,35.0708
,,,,,,31,34.0844,35.1068,36.0896,36.7124,35.177,35.924,35.4812,35.5802,36.2012,35.0618
,,,,,,32,34.0682,35.1194,36.1472,36.851,35.1536,35.9618,35.4506,35.4722,36.2246,34.907
,,,,,,33,34.0448,35.0276,36.0842,36.7844,35.0798,35.843,35.3156,35.4524,36.0806,34.8296
,,,,,,34,33.9998,34.9322,35.9996,36.7052,35.0456,35.8448,35.2454,35.4776,35.9438,34.8602
,,,,,,35,33.9818,34.8386,35.9564,36.7088,34.9844,35.9096,35.0474,35.4416,35.9978,35.0294
,,,,,,36,33.9566,34.7864,35.906,36.6494,34.9088,35.6702,34.8062,35.3912,35.8844,34.9952
,,,,,,37,33.9458,34.745,35.8916,36.572,34.8746,35.7908,34.7756,35.0906,35.9474,34.7072
,,,,,,38,33.9332,34.6028,35.7656,36.2228,34.8188,35.8916,34.9088,34.9466,36.0752,34.8062
,,,,,,39,33.8702,34.52,35.6774,36.1058,34.772,35.8286,34.718,34.9178,35.9492,34.3994
,,,,,,40,33.8306,34.493,35.6342,36.23,34.7234,35.6558,34.565,34.6802,35.9186,34.4696
,,,,,,41,33.8108,34.448,35.6072,36.1616,34.6838,35.7062,34.5794,34.5776,35.7638,34.439
,,,,,,42,33.7622,34.3958,35.5352,36.0608,34.583,35.4866,34.4354,34.7612,35.8268,34.4984
,,,,,,43,33.7082,34.313,35.4812,35.9528,34.547,35.4074,34.4318,34.9088,35.6972,34.502
,,,,,,44,33.6398,34.259,35.429,35.9204,34.5056,35.285,34.3022,34.7774,35.5334,34.4372
,,,,,,45,33.6038,34.2248,35.4002,35.8736,34.4804,35.1014,34.16,34.7468,35.2814,34.349
,,,,,,46,33.584,34.1744,35.2886,35.8448,34.4228,35.0528,34.1222,34.9466,35.2436,34.3418
,,,,,,47,33.5822,34.1294,35.2598,35.7728,34.3796,35.0546,34.0844,35.069,35.0726,34.3256
,,,,,,48,33.5786,34.106,35.2688,35.7332,34.3274,35.2112,34.1204,34.4012,35.231,34.2356
,,,,,,49,33.5678,34.0772,35.204,35.7458,34.25,34.9754,33.8468,34.5452,35.1266,34.187
,,,,,,50,33.5444,34.0214,35.1968,35.7746,34.1564,35.0744,33.926,34.6208,35.0528,34.2536
,,,,,,51,33.5246,33.9944,35.1356,35.7638,34.0898,34.9142,33.8792,34.9412,35.15,34.1654
,,,,,,52,33.5228,33.9476,35.096,35.7476,34.0412,34.8458,33.9638,34.8116,35.1032,34.286
,,,,,,53,33.53,33.9152,35.069,35.7278,34.043,34.8152,33.755,34.7036,35.2058,34.2356
,,,,,,54,33.539,33.8666,34.9916,35.7152,34.0466,34.7198,33.8936,34.8836,34.9214,34.3004
,,,,,,55,33.5552,33.8342,35.0132,35.7098,34.034,34.3544,33.8792,34.7252,34.8638,34.286
,,,,,,56,33.5858,33.8108,34.9862,35.6522,34.0232,34.52,33.8432,34.8314,35.132,34.223
,,,,,,57,33.6074,33.791,34.9808,35.5802,33.9998,34.5614,33.818,34.8008,35.2148,34.2266
,,,,,,58,33.6524,33.7892,34.9448,35.5388,33.9656,34.5848,33.6146,34.727,35.1554,34.0844
,,,,,,59,33.6704,33.7874,34.8818,35.528,33.9386,34.5596,33.5876,34.8584,35.1806,34.1636
,,,,,,60,33.683,33.764,34.871,35.3912,33.9152,34.4876,33.4886,34.7612,35.0294,34.1654
,,,,,,61,33.6812,33.7658,34.9124,35.411,33.9242,34.439,33.5462,34.637,35.1428,34.1168
,,,,,,62,33.7028,33.782,34.9628,35.5136,33.9512,34.4498,33.4868,34.5722,35.1662,34.0898
,,,,,,63,33.827,33.8288,34.9862,35.5586,33.971,34.5146,33.4904,34.6604,35.06,34.1132
,,,,,,64,33.9062,33.854,35.0384,35.5748,33.9422,34.52,33.4706,34.7036,34.8278,34.2626
