"Figure 1. Length of Growing Season in the Contiguous 48 States, 1895-2015",
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,
"Data source: Kunkel, 2016",
Web update: August 2016,
Units: days,
,
Year,Deviation from average length of growing season
1895,-3.53
1896,-3.905454545
1897,-4.001818182
1898,-4.447272727
1899,-4.486363636
1900,-3.988181818
1901,-3.629090909
1902,-4.833636364
1903,-5.579090909
1904,-6.103636364
1905,-6.003636364
1906,-6.37
1907,-6.05
1908,-6.573636364
1909,-5.838181818
1910,-6.02
1911,-7.312727273
1912,-7.970909091
1913,-6.999090909
1914,-5.931818182
1915,-5.815454545
1916,-5.377272727
1917,-4.487272727
1918,-4.684545455
1919,-4.394545455
1920,-4.873636364
1921,-4.760909091
1922,-3.432727273
1923,-2.395454545
1924,-2.410909091
1925,-3.021818182
1926,-1.779090909
1927,-1.961818182
1928,-2.082727273
1929,-1.436363636
1930,-1.086363636
1931,-0.360909091
1932,-0.031818182
1933,0.037272727
1934,0.573636364
1935,0.86
1936,2.040909091
1937,1.003636364
1938,0.666363636
1939,0.316363636
1940,-0.164545455
1941,0.503636364
1942,0.14
1943,0.629090909
1944,0.386363636
1945,-0.091818182
1946,-0.482727273
1947,-1.541818182
1948,-1.275454545
1949,-1.058181818
1950,-1.287272727
1951,-1.351818182
1952,-1.707272727
1953,-1.28
1954,-1.726363636
1955,-1.84
1956,-1.617272727
1957,-1.183636364
1958,-0.76
1959,-1.255454545
1960,-1.104545455
1961,-1.922727273
1962,-1.686363636
1963,-2.009090909
1964,-2.365454545
1965,-2.39
1966,-2.38
1967,-2.219090909
1968,-2.003636364
1969,-2.984545455
1970,-2.460909091
1971,-2.925454545
1972,-1.665454545
1973,-1.312727273
1974,-0.929090909
1975,-0.899090909
1976,-0.715454545
1977,-0.629090909
1978,-1.016363636
1979,-1.24
1980,0.072727273
1981,0.570909091
1982,1.635454545
1983,1.525454545
1984,0.77
1985,1.344545455
1986,1.793636364
1987,1.885454545
1988,1.763636364
1989,3.423636364
1990,3.681818182
1991,3.260909091
1992,3.466363636
1993,4.947272727
1994,5.323636364
1995,6.233636364
1996,6.234545455
1997,6.105454545
1998,6.634545455
1999,7.922727273
2000,7.764545455
2001,8.005454545
2002,8.85
2003,8.54
2004,7.547272727
2005,7.93
2006,8.397272727
2007,9.083636364
2008,9.14
2009,9.138181818
2010,9.650909091
2011,9.604848485
2012,10.06515152
2013,10.04818182
2014,10.66484848
2015,10.86333333
