"Figure 3. Change in Length of Growing Season by State, 1895-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Kunkel, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web update: August 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units: days change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year/Trend,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
Trend,-4.9967,11.4441,41.9656,40.2558,9.3028,19.2539,21.9345,15.9278,-11.6061,7.8155,18.7365,6.6165,10.4286,11.7811,4.2611,14.3684,7.307,16.323,11.4526,9.4126,15.5928,8.0599,-0.3864,8.8627,2.5806,24.5801,7.1608,16.6555,11.9272,8.5,6.9127,7.9618,12.1716,5.1955,18.0317,14.3399,8.1967,1.351,13.5455,2.2817,5.6684,27.1735,8.7862,10.5689,26.7077,11.291,3.1448,27.027
1895,0.708181818,-5.449090909,-25.03090909,-5.471818182,-10.73727273,-14.63636364,-1.5,-4.003636364,5.534545455,-7.293636364,-20.18909091,-10.94545455,-13.35181818,-3.969090909,-2.471818182,-6.361818182,-6.710909091,-10.63636364,-0.334545455,-8.654545455,-5.556363636,2.713636364,-2.112727273,-8.011818182,-5.426363636,-14.40818182,3.497272727,-2.893636364,-10.02727273,-9.120909091,-7.454545455,-4.167272727,-13.27909091,-7.369090909,-22.12363636,-10.81090909,2.5,-3.777272727,-15.89181818,-14.59272727,0.606363636,-25.86454545,-2.331818182,7.545454545,-22.02,-14.10090909,2.151818182,-1
1896,1.708181818,-4.638181818,-22.62181818,-8.275454545,-8.691818182,-9.363636364,-1.428571429,-6.731818182,5.84,-7.264545455,-18.99818182,-9.815454545,-12.46272727,-4.637272727,-2.569090909,-7.180909091,-4.499090909,-9.681818182,0.847272727,-8.327272727,-6.317272727,1.808181818,-1.155454545,-7.007272727,-4.445454545,-14.08,1.597272727,-0.196363636,-7.895454545,-7.639090909,-8.272727273,-1.615454545,-10.82272727,-7.426363636,-18.49545455,-8.527272727,5.625,-3.539090909,-15.79454545,-11.08454545,-1.161818182,-23.93454545,-1.604545455,8,-20.37,-12.84363636,2.485454545,-8.166666667
1897,2.565454545,-2.874545455,-21.80363636,-10.49090909,-7.68,-9.818181818,-1.333333333,-5.895454545,7.862727273,-6.595454545,-17.80090909,-7.253636364,-9.438181818,-3.406363636,-1.588181818,-6.300909091,-3.893636364,-7.272727273,-0.000909091,-7.689090909,-6.552727273,1.630909091,0.521818182,-6.95,-1.901818182,-15.17727273,-0.023636364,0.985454545,-6.087272727,-7.896363636,-7.348181818,-0.605454545,-8.383636364,-3.891818182,-16.93090909,-5.889090909,5.5,-1.891818182,-17.13727273,-7.233636364,-0.782727273,-23.73181818,-0.886363636,6.227272727,-19.33818182,-11.57181818,2.667272727,-13.875
1898,3.929090909,-3.211818182,-20.25818182,-12.56454545,-8.526363636,-6.727272727,-1.2,-6.578181818,9.041818182,-5.485454545,-16.29181818,-5.380909091,-7.864545455,-3.960909091,-0.954545455,-6.824545455,-3.03,-5.772727273,-0.553636364,-6.224545455,-6.919090909,0.512727273,1.364545455,-6.28,-1.678181818,-16.62727273,-1.719090909,1.000909091,-4.364545455,-7.214545455,-6.636363636,1.556363636,-5.226363636,-4.156363636,-15.89818182,-2.823636364,5.166666667,-0.721818182,-16.17636364,-5.349090909,-2.471818182,-22.99454545,-0.301818182,5.681818182,-17.84545455,-11.07909091,3.212727273,-15.9
1899,5.264545455,-3.467272727,-18.35818182,-13.92909091,-7.356363636,-5.818181818,-1,-4.250909091,10.20272727,-3.653636364,-16.51909091,-2.852727273,-6.216363636,-3.475454545,-0.239090909,-5.745454545,-2.211818182,-4.818181818,-1.072727273,-6.294545455,-6.860909091,0.49,2.240909091,-7.234545455,-2.010909091,-15.09636364,-2.305454545,3.198181818,-4.48,-8.108181818,-0.227272727,2.191818182,-3.533636364,-4.027272727,-12.53909091,-1.667272727,4.285714286,0.764545455,-14.32454545,-2.877272727,-3.270909091,-21.50727273,-0.262727273,6.666363636,-14.83272727,-9.676363636,3.734,-15.08333333
1900,6.680909091,-0.760909091,-15.53272727,-16.58272727,-6.636363636,-4.363636364,-0.666666667,-0.989090909,11.53636364,-1.972727273,-13.43545455,-0.605454545,-4.047272727,-2.671818182,0.128181818,-3.922727273,-1.47,-3.340909091,-1.228181818,-4.815454545,-5.933636364,0.107272727,4.45,-5.685454545,-1.882727273,-14.33363636,-2.408181818,2.759090909,-3.666363636,-7.705454545,2.545454545,3.73,-0.613636364,-0.898181818,-10.01181818,0.061818182,4.75,1.788181818,-11.30090909,-0.737272727,-1.207272727,-19.58909091,1.134545455,5.893636364,-13.69,-7.286363636,5.084,-10.5
1901,5.259090909,-1.84,-15.46454545,-20.31090909,-3.951818182,-3.090909091,0,-3.401818182,10.41818182,-1.591818182,-10.67818182,0.557272727,-2.462727273,-2.101818182,-0.131818182,-4.916363636,-0.91,-3.068181818,-1.47,-4.291818182,-5.444545455,-0.87,3.800909091,-4.685454545,-3.086363636,-12.30454545,-3.611818182,2.410909091,-2.832727273,-7.303636364,5.5,5.014545455,1.070909091,0.174545455,-7.310909091,1.518181818,4.5,1.344545455,-9.089090909,0.969090909,-2.964545455,-17.97181818,0.819090909,4.916363636,-11.66545455,-6.207272727,4.084,-9.5
1902,4.820909091,-0.650909091,-13.01727273,-18.39545455,-3.643636364,-5.090909091,-15.5,-3.393636364,10.38636364,-4.626363636,-9.886363636,-1.834545455,-4.304545455,-5.572727273,-1.967272727,-4.252727273,-2.107272727,-4.886363636,-2.429090909,-6.270909091,-7.426363636,-3.684545455,3.740909091,-4.803636364,-4.488181818,-15.65636364,-6.454545455,0.380909091,-4.670909091,-7.419090909,7.681818182,3.753636364,-1.497272727,-0.5,-6.515454545,-0.5,3.5,0.44,-11.03363636,-1.545454545,-1.470909091,-18.17181818,-1.396363636,3.552727273,-9.734545455,-7.59,-0.616,-10.55555556
1903,3.281818182,-1.818181818,-15.29,-20.73636364,-6.493636364,-3.454545455,-11.66666667,-5.028181818,7.089090909,-5.085454545,-9.660909091,-3.345454545,-4.650909091,-7.878181818,-3.730909091,-6.72,-2.114545455,-6.545454545,-2.046363636,-5.794545455,-6.363636364,-6.589090909,2.538181818,-5.996363636,-5.209090909,-16.33272727,-7.053636364,-2.028181818,-4.767272727,-8.142727273,3.454545455,4.326363636,-1.776363636,-1.011818182,-9.04,-1.254545455,3.2,-0.156363636,-9.397272727,-2.773636364,0.591818182,-18.40454545,-1.138181818,0.961818182,-12.51909091,-6.026363636,-1.783,-8.3
