"Figure 4. Timing of the Last Spring Frost and First Fall Frost in the Contiguous 48 States, 1895-2015",,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
"Data source: Kunkel, 2016",,
Web update: August 2016,,
Units: days,,
,,
Year,Deviation from average date of last spring frost,Deviation from average date of first fall frost
1895,0.131666667,-3.396666667
1896,0.454242424,-3.448787879
1897,0.612272727,-3.388181818
1898,0.983030303,-3.463030303
1899,1.190151515,-3.295151515
1900,1.088181818,-2.899090909
1901,1.119090909,-2.509090909
1902,2.561818182,-2.270909091
1903,2.618181818,-2.959090909
1904,3.088181818,-3.014545455
1905,3.612727273,-2.39
1906,3.608181818,-2.760909091
1907,3.280909091,-2.77
1908,3.457272727,-3.117272727
1909,3.302727273,-2.536363636
1910,3.431818182,-2.589090909
1911,3.83,-3.482727273
1912,4.108181818,-3.863636364
1913,3.315454545,-3.684545455
1914,3.107272727,-2.826363636
1915,3.348181818,-2.468181818
1916,2.982727273,-2.395454545
1917,2.58,-1.907272727
1918,3.096363636,-1.588181818
1919,3.287272727,-1.106363636
1920,3.221818182,-1.65
1921,3.069090909,-1.69
1922,2.788181818,-0.643636364
1923,2.350909091,-0.043636364
1924,2.216363636,-0.193636364
1925,2.406363636,-0.614545455
1926,2.056363636,0.278181818
1927,2.079090909,0.119090909
1928,2.14,0.058181818
1929,1.517272727,0.082727273
1930,0.849090909,-0.235454545
1931,0.597272727,0.237272727
1932,0.267272727,0.236363636
1933,0.189090909,0.227272727
1934,-0.205454545,0.369090909
1935,-0.032727273,0.828181818
1936,-0.783636364,1.257272727
1937,-1.112727273,-0.109090909
1938,-1.001818182,-0.337272727
1939,-0.507272727,-0.192727273
1940,-0.331818182,-0.498181818
1941,-0.413636364,0.087272727
1942,0.179090909,0.316363636
1943,-0.008181818,0.618181818
1944,-0.158181818,0.225454545
1945,0.498181818,0.403636364
1946,0.393636364,-0.092727273
1947,0.722727273,-0.821818182
1948,0.99,-0.288181818
1949,1.126363636,0.066363636
1950,0.768181818,-0.520909091
1951,1.052727273,-0.300909091
1952,1.078181818,-0.63
1953,0.384545455,-0.895454545
1954,0.565454545,-1.160909091
1955,1.014545455,-0.825454545
1956,0.500909091,-1.116363636
1957,0.334545455,-0.848181818
1958,0.909090909,0.15
1959,0.797272727,-0.457272727
1960,0.452727273,-0.651818182
1961,1.190909091,-0.731818182
1962,1,-0.686363636
1963,1.495454545,-0.513636364
1964,1.795454545,-0.570909091
1965,1.851818182,-0.539090909
1966,2.039090909,-0.341818182
1967,2.088181818,-0.131818182
1968,2.347272727,0.342727273
1969,1.991818182,-0.994545455
1970,1.849090909,-0.613636364
1971,2.087272727,-0.838181818
1972,1.030909091,-0.633636364
1973,0.763636364,-0.548181818
1974,0.367272727,-0.561818182
1975,0.207272727,-0.691818182
1976,0.124545455,-0.591818182
1977,-0.437272727,-1.067272727
1978,-0.077272727,-1.094545455
1979,-0.399090909,-1.64
1980,-0.972727273,-0.9
1981,-0.95,-0.379090909
1982,-1.778181818,-0.143636364
1983,-1.406363636,0.117272727
1984,-1.208181818,-0.44
1985,-1.411818182,-0.068181818
1986,-2.200909091,-0.407272727
1987,-2.198181818,-0.310909091
1988,-2.444545455,-0.679090909
1989,-3.274545455,0.150909091
1990,-3.63,0.053636364
1991,-2.877272727,0.385454545
1992,-2.971818182,0.496363636
1993,-3.175454545,1.773636364
1994,-3.844545455,1.480909091
1995,-4.533636364,1.701818182
1996,-4.67,1.566363636
1997,-3.578181818,2.529090909
1998,-3.903636364,2.731818182
1999,-4.031818182,3.891818182
2000,-4.050909091,3.714545455
2001,-4.137272727,3.869090909
2002,-4.767272727,4.083636364
2003,-4.516363636,4.024545455
2004,-4.213636364,3.334545455
2005,-3.994545455,3.935454545
2006,-3.850909091,4.547272727
2007,-4.541818182,4.542727273
2008,-4.597272727,4.543636364
2009,-4.258181818,4.880909091
2010,-4.487272727,5.164545455
2011,-4.545,4.961666667
2012,-4.44,5.427878788
2013,-4.432272727,5.319545455
2014,-4.990909091,5.278484848
2015,-5.035,5.333787879
