"Figure 5. Change in Timing of Last Spring Frost by State, 1895-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Kunkel, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web update: August 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units: days change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year/Trend,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
Trend,2.4479,-4.4016,-24.1389,-24.7023,-4.3333,-10,-15.4906,-6.5537,8.3204,-5.7309,-9.5228,-5.5775,-6.6099,-6.4313,-1.4877,-4.7588,-1.6943,-8.0484,-6.6667,-4.1703,-9.6,-4.8987,1.5196,-3.189,-2.0169,-13.2201,-3.3107,-6.4155,-4.4878,-4.1774,0,-2.73,-7.3714,-2.0593,-10.2717,-4.7825,-2.3529,-0.1559,-7.8688,-0.3943,-3.1775,-15.0088,-2.5137,-3.9946,-16.9258,-6.792,0.7083,-16.3101
1895,-2.092727273,12.19727273,-2.019090909,4.16,2.74,11.36363636,3.75,1.392727273,-3.19,11.40363636,6.027272727,6.131818182,3.208181818,-3.440909091,-6.21,1.222727273,-0.376363636,5.5,1.680909091,3.256363636,1.912727273,-1.526363636,-8.147272727,-0.79,-6.568181818,-1.515454545,-1.560909091,1.863636364,0.484545455,-2.884545455,1.501818182,6.144545455,6.738181818,-2.870909091,6.830909091,2.131818182,-6.166666667,2.491818182,6.679090909,4.552727273,-1.772727273,9.27,-5.545454545,-6.339090909,9.143636364,-9.961818182,9.742727273,-8.5
1896,-2.371818182,11.79909091,-1.433636364,6.447272727,1.830909091,6.909090909,4,3.16,-2.962727273,11.89272727,4.666363636,4.896363636,2.686363636,-2.554545455,-4.902727273,2.136363636,-1.255454545,3.818181818,0.59,2.667272727,2.804545455,-1.422727273,-6.615454545,-0.694545455,-5.548181818,-0.106363636,-2.954545455,0.434545455,0.648181818,-4.409090909,1.143636364,6.521818182,4.617272727,-1.68,6.78,0.460909091,-7.25,2.209090909,6.987272727,3.244545455,-0.413636364,8.711818182,-6.409090909,-6.583636364,10.34272727,-9.78,8.522727273,-3.666666667
1897,-1.969090909,12.23090909,-1.266363636,7.750909091,0.672727273,7.454545455,4.333333333,3.632727273,-3.388181818,10.92,2.876363636,3.158181818,1.232727273,-2.601818182,-4.581818182,2.395454545,-0.740909091,2.227272727,0.756363636,2.651818182,2.120909091,-1.888181818,-5.881818182,-0.160909091,-5.261818182,-0.197272727,-2.909090909,-0.191818182,1.223636364,-4.216363636,0.24,7.211818182,3.214545455,-1.786363636,6.151818182,-0.493636364,-5.5,2.587272727,7.943636364,1.575454545,-0.125454545,10.09090909,-5.090909091,-6.182727273,10.31363636,-8.734545455,7.072727273,2.375
1898,-3.105454545,11.91272727,-0.160909091,9.726363636,0.717272727,5.727272727,4.8,3.172727273,-4.859090909,10.33636364,2.173636364,2.648181818,0.571818182,-1.226363636,-4.045454545,2.002727273,-0.051818182,1.590909091,0.710909091,1.69,2.332727273,-2.929090909,-3.507272727,-0.132727273,-4.377272727,0.439090909,-2.560909091,-0.302727273,0.769090909,-4.655454545,0.536363636,8.854545455,1.506363636,0.107272727,6.265454545,-1.957272727,-3.916666667,0.941818182,7.090909091,1.151818182,1.160909091,10.51,-4.742727273,-5.587272727,10.75636364,-7.734545455,6.190909091,6.3
1899,-3.554545455,10.58545455,0.892727273,11.21909091,0.615454545,3.363636364,5.5,2.146363636,-5.459090909,11.31818182,1.041818182,2.162727273,-0.302727273,-0.234545455,-2.746363636,0.870909091,-0.84,0.75,-0.516363636,0.91,2.143636364,-3.147272727,-2.076363636,1.230909091,-3.176363636,-1.924545455,-4.272727273,-0.494545455,2.375454545,-5.002727273,1.460909091,7.934545455,0.221818182,1.569090909,5.592727273,-3.157272727,-4.571428571,0.461818182,6.001818182,0.41,1.319090909,10.27,-6.045454545,-5.322727273,10.96363636,-7.408,4.838181818,5.583333333
1900,-3.297272727,9.244545455,-0.565454545,11.91727273,0.387272727,0.818181818,6.666666667,1.56,-5.79,9.602727273,-0.506363636,0.700909091,-1.008181818,-0.146363636,-1.901818182,-0.328181818,-0.741818182,-0.181818182,-0.546363636,0.083636364,2.306363636,-4.146363636,-1.041818182,1.429090909,-2.503636364,-3.015454545,-3.333636364,-0.241818182,2.427272727,-5.100909091,2.026363636,7.86,-1.398181818,-0.499090909,4.890909091,-3.611818182,-4.75,0.010909091,5.155454545,0.03,0.335454545,10.13,-5.484545455,-5.458181818,10.82090909,-7.258,3.418181818,2.642857143
1901,-2.530909091,8.562727273,0.270909091,13.43818182,-0.967272727,-0.181818182,9,3.269090909,-5.49,7.894545455,-1.134545455,-0.574545455,-0.976363636,-0.175454545,-1.053636364,0.62,-0.075454545,0.136363636,-0.470909091,0.070909091,2.328181818,-3.756363636,0.199090909,1.332727273,-1.088181818,-4.651818182,-2.454545455,-0.514545455,2.593636364,-4.85,2.754545455,7.413636364,-2.279090909,-1.338181818,4.080909091,-3.575454545,-3.555555556,0.216363636,4.492727273,-0.796363636,1.374545455,10.06,-4.78,-4.271818182,10.45727273,-5.191,2.784545455,3.4375
1902,-2.671818182,6.706363636,-0.488181818,12.59363636,-0.227272727,1.727272727,15,1.816363636,-4.908181818,7.076363636,1.45,1.801818182,2.355454545,3.342727273,0.285454545,-0.534545455,0.959090909,3.113636364,1.12,2.965454545,5.03,-3.242727273,2.479090909,1.683636364,2.104545455,-6.515454545,-0.650909091,1.405454545,2.814545455,-3.149090909,4.08,9.959090909,0.715454545,-0.156363636,4.009090909,-0.870909091,-2.45,1.371818182,7.068181818,1.012727273,-0.085454545,10.86818182,-4.052727273,-1.608181818,9.007272727,-0.341,4.711818182,3.833333333
1903,-2.191818182,6.942727273,-0.072727273,14.88909091,1.522727273,1.454545455,12.66666667,4.061818182,-4.415454545,6.903636364,1.403636364,1.454545455,2.187272727,4.24,0.743636364,0.29,1.216363636,3.704545455,1.506363636,2.100909091,3.745454545,-2.487272727,3.481818182,2.596363636,2.127272727,-1.879090909,1.228181818,0.966363636,2.479090909,-3.384545455,3.314545455,9.68,0.594545455,-0.542727273,5.720909091,-0.525454545,-1.65,1.099090909,5.763636364,1.112727273,-2.488181818,10.22090909,-2.234545455,-1.410909091,9.962727273,0.442,3.240909091,2.8
