"Figure 6. Change in Timing of First Fall Frost by State, 1895-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: Kunkel, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web update: August 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units: days change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year/Trend,AL,AR,AZ,CA,CO,CT,DE,FL,GA,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
Trend,-2.3412,7.2082,16.8708,13.8224,4.3706,8.6479,5.7692,9.6556,-3.7962,2.125,8.6159,0.9001,3.0526,4.6244,2.7102,9.6338,4.9047,10,4.9205,5.0051,4.9935,3.1989,1.2869,6.1349,1.3599,12.3126,2.5925,9.171,7.5937,4.7279,5.2632,5.6758,7,3.9232,8.8465,11.5382,5.3333,0.4739,4.9678,2.7372,2.0047,11.6889,5.363,6.6016,11.9087,4.1912,4.8923,11.1111
1895,-1.386363636,-7.462727273,-12.83272727,-1.310909091,-7.990909091,-3.272727273,2.25,-2.61,2.345454545,-4.090909091,-8.784545455,-4.917272727,-7.219090909,-7.409090909,-8.687272727,-5.139090909,-5.029090909,-5.136363636,-0.712727273,-5.398181818,-3.643636364,-5.433636364,-3.633636364,-8.800909091,-3.924545455,-8.262727273,-3.071818182,-4.455454545,-8.164545455,-8.637272727,-8.97,-7.051818182,-6.537272727,-10.24,-15.29272727,-8.679090909,-3.666666667,-1.290909091,-9.213636364,-10.04,-1.166363636,-16.58909091,-8.669090909,2,-12.87727273,-4.365454545,-7.810909091,-9.5
1896,-0.665454545,-6.066363636,-10.82181818,-1.827272727,-6.854545455,-2.454545455,2.571428571,-3.570909091,2.878181818,-4.582727273,-7.104545455,-5.148181818,-7.565454545,-7.190909091,-7.477272727,-5.043636364,-3.908181818,-5.863636364,-0.41,-5.66,-3.512727273,-4.807272727,-2.574545455,-7.700909091,-3.302727273,-7.556363636,-3.951818182,-3.152727273,-7.461818182,-6.991818182,-8.379090909,-6.024545455,-6.202727273,-9.106363636,-11.71454545,-8.066363636,-1.625,-1.334545455,-8.809090909,-7.839090909,-1.575454545,-15.21818182,-8.186363636,1.590909091,-10.02818182,-4.327272727,-7.295454545,-11.83333333
1897,0.594545455,-4.135454545,-9.571818182,-2.739090909,-7.002727273,-2.363636364,3,-2.261818182,4.475454545,-5.366363636,-6.880909091,-4.376363636,-6.279090909,-6.007272727,-6.173636364,-3.904545455,-3.135454545,-5.045454545,-0.743636364,-5.037272727,-4.431818182,-4.250909091,-1.363636364,-7.11,-1.662727273,-7.963636364,-5.286363636,-1.925454545,-6.28,-6.673636364,-7.545454545,-4.821818182,-5.167272727,-5.678181818,-10.77818182,-6.382727273,0,0.691818182,-9.195454545,-5.657272727,-0.909090909,-13.63727273,-7.067272727,1.136363636,-9.025454545,-4.504545455,-6.068181818,-11.5
1898,0.821818182,-3.369090909,-8.344545455,-2.836363636,-7.804545455,-1,3.6,-3.404545455,4.183636364,-4.916363636,-5.955454545,-3.206363636,-5.215454545,-5.186363636,-5.002727273,-4.820909091,-2.317272727,-4.181818182,-0.607272727,-4.534545455,-4.587272727,-2.994545455,-1.563636364,-6.410909091,-1.142727273,-7.770909091,-6.097272727,-1.561818182,-4.668181818,-6.446363636,-6.197272727,-3.099090909,-3.719090909,-4.049090909,-9.631818182,-4.780909091,1.25,0.217272727,-9.087272727,-4.196363636,-1.311818182,-12.48181818,-5.887272727,0.939090909,-7.09,-4.892727273,-4.522727273,-9.6
1899,1.708181818,-2.571818182,-7.771818182,-2.708181818,-6.737272727,-2.454545455,4.5,-2.103636364,4.744545455,-3.958181818,-5.200909091,-1.81,-4.053636364,-3.709090909,-2.987272727,-4.873636364,-2.726363636,-4.068181818,-1.914545455,-5.384545455,-4.718181818,-1.586363636,-0.906363636,-6.001818182,-0.550909091,-7.16,-5.482727273,-1.077272727,-4.976363636,-5.734545455,-2.151818182,-2.810909091,-3.310909091,-2.458181818,-6.945454545,-4.824545455,-0.285714286,1.224545455,-8.324545455,-2.466363636,-1.952727273,-11.23545455,-5.582727273,0.620909091,-3.870909091,-4.841818182,-3.675,-9.5
1900,3.382727273,-1.323636364,-6.287272727,-4.663636364,-6.246363636,-3.545454545,6,0.571818182,5.746363636,-2.981818182,-3.832727273,-1.110909091,-3.346363636,-2.817272727,-1.773636364,-4.25,-2.014545455,-3.522727273,-1.970909091,-4.731818182,-3.628181818,-0.934545455,0.302727273,-4.255454545,0.143636364,-6.471818182,-4.912727273,-0.577272727,-3.91,-5.28,-0.47,-1.370909091,-2.011818182,-1.397272727,-5.12,-3.55,0,1.798181818,-6.147272727,-0.706363636,-0.872727273,-9.459090909,-4.320909091,0.409090909,-2.870909091,-3.870909091,-2.175,-7.857142857
1901,2.727272727,-1.567272727,-6.900909091,-6.870909091,-4.917272727,-3.272727273,9,-0.131818182,4.928181818,-2.568181818,-2.782727273,-0.576363636,-3.037272727,-2.276363636,-1.184545455,-4.295454545,-1.378181818,-2.931818182,-1.546363636,-4.220909091,-3.117272727,-0.670909091,0.042727273,-3.351818182,-0.331818182,-4.89,-4.7,-0.047272727,-3.349090909,-4.711818182,0.848181818,0.164545455,-1.209090909,-1.163636364,-3.229090909,-2.057272727,0.944444444,1.56,-4.598181818,0.173636364,-1.590909091,-7.911818182,-3.450909091,0.136363636,-1.21,-3.424545455,-1.108,-6.0625
1902,2.147272727,-1.137272727,-6.31,-5.8,-3.869090909,-3.363636364,-0.5,-1.576363636,5.478181818,-2.270909091,-2.81,-0.383636364,-2.502727273,-2.23,-1.68,-4.786363636,-0.984545455,-1.772727273,-1.470909091,-3.305454545,-2.397272727,-1.204545455,0.496363636,-3.119090909,-0.409090909,-5.697272727,-4.35,-0.274545455,-3.268181818,-4.605454545,1.166363636,0.604545455,-0.781818182,-0.655454545,-2.505454545,-1.370909091,1.05,1.810909091,-3.966363636,-0.531818182,-1.557272727,-7.303636364,-3.003636364,-0.5,-0.729090909,-2.88,-0.958,-6.722222222
1903,1.089090909,-1.888181818,-8.346363636,-5.845454545,-4.969090909,-2,1,-0.965454545,2.673636364,-2.898181818,-2.757272727,-1.940909091,-3.196363636,-3.638181818,-2.985454545,-6.429090909,-0.605454545,-2.840909091,-0.83,-3.693636364,-2.618181818,-3.106363636,0.049090909,-3.4,-1.894545455,-6.652727273,-4.925454545,-0.804545455,-3.803636364,-5.663636364,1.575454545,0.941818182,-1.180909091,-1.553636364,-3.318181818,-1.78,1.55,0.941818182,-3.634545455,-1.660909091,-1.897272727,-8.184545455,-2.549090909,-1.272727273,-2.557272727,-2.786363636,-1.341,-5.5
1904,0,-1.557272727,-8.21,-5.489090909,-3.325454545,-2.272727273,-6,-0.166363636,1.669090909,-2.710909091,-3.111818182,-2.631818182,-4.335454545,-4.07,-4.069090909,-5.022727273,-1.075454545,-4.954545455,-0.466363636,-4.268181818,-1.706363636,-3.900909091,0.871818182,-3.591818182,-2.252727273,-5.431818182,-4.428181818,-2.243636364,-4.9,-5.481818182,1.575454545,-0.174545455,-2.86,-1.133636364,-3.683636364,-3.325454545,1,1.691818182,-2.399090909,-2.312727273,0.526363636,-7.901818182,-3.776363636,-3.393636364,-2.514545455,-2.752727273,-3.133,-4.545454545
1905,-1.439090909,-1.340909091,-6.034545455,-4.476363636,-3.393636364,-1.272727273,-4.5,-2.166363636,0.501818182,-0.963636364,-4.709090909,-0.419090909,-1.920909091,-3.711818182,-2.085454545,-5.335454545,0.182727273,-4.318181818,0.765454545,-2.329090909,-1.559090909,-2.226363636,0.767272727,-6.591818182,-2.168181818,-6.933636364,-2.758181818,-1.546363636,-3.303636364,-5.596363636,2.818181818,0.684545455,-0.399090909,-0.308181818,-1.960909091,-1.743636364,2.090909091,-0.227272727,-3.050909091,-1.063636364,-0.478181818,-6.829090909,-2.070909091,-2.757272727,-3.578181818,-0.866363636,-1.45,-4.818181818
1906,-1.520909091,-2.193636364,-5.631818182,-5.367272727,-3.047272727,-2.090909091,-2.8,-4.016363636,-0.685454545,-0.258181818,-5.88,-0.410909091,-1.981818182,-4.504545455,-2.554545455,-6.739090909,-1.104545455,-3.977272727,-0.320909091,-2.431818182,-1.38,-3.046363636,-0.913636364,-7.113636364,-2.556363636,-7.979090909,-2.539090909,-2.333636364,-3.924545455,-5.558181818,1.393636364,-0.596363636,-0.014545455,-2.052727273,-1.919090909,-1.970909091,0.272727273,-0.950909091,-2.107272727,-1.956363636,-0.957272727,-6.17,-2.429090909,-4.196363636,-3.654545455,-0.608181818,-0.816,-5.227272727
1907,-2.040909091,-2.828181818,-7.756363636,-5.822727273,-4.3,-2.363636364,-1.5,-2.175454545,-1.025454545,0.182727273,-7.350909091,0.715454545,-0.796363636,-4.569090909,-2.09,-7.478181818,-1.710909091,-2.977272727,-0.543636364,-1.612727273,-1.647272727,-3.073636364,-1.57,-7.400909091,-1.819090909,-7.638181818,-2.105454545,-1.666363636,-3.248181818,-6.684545455,0.984545455,0.047272727,0.551818182,-2.966363636,-3.433636364,-1.027272727,-0.5,-0.300909091,-1.711818182,-1.94,-1.371818182,-6.811818182,-2.043636364,-2.923636364,-5.591818182,-0.105454545,-0.3,-3.5
