"Figure 1. Deaths Classified as ""Heat-Related"" in the United States, 1979-2014",,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
"Data source: CDC, 2016",,
Web update: August 2016,,
Units: deaths per million population,,
,,
Year,Underlying cause of death (all year),Underlying and contributing causes of death (May-Sept)
1979,0.24038954,
1980,2.87259485,
1981,0.48804399,
1982,0.32369244,
1983,0.87260877,
1984,0.39419784,
1985,0.47477852,
1986,0.57038206,
1987,0.62295006,
1988,0.85836222,
1989,0.38056409,
1990,0.59054617,
1991,0.39116818,
1992,0.2611002,
1993,0.46149473,
1994,0.38367814,
1995,1.36643512,
1996,0.45262168,
1997,0.35193625,
1998,0.81512038,
1999,2.12872578,3.612383146
2000,1.06956848,1.620342945
2001,1.05274625,1.730013011
2002,1.21686142,1.967838749
2003,0.94102908,1.299516342
2004,0.77184396,0.898207791
2005,1.57689958,2.219841465
2006,2.08459074,3.173806151
2007,1.02579013,1.656534876
2008,0.97338334,1.443632722
2009,1.14743373,1.603799419
2010,1.53524486,2.257522504
2011,1.88387429,3.084162161
2012,1.50996751,2.507055753
2013,1.17673541,1.939082818
2014,0.76523318,1.088261945
