"Figure 1. Heating and Cooling Degree Days in the Contiguous 48 States, 1895-2015",,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
"Data source: NOAA, 2016",,
Web update: August 2016,,
Units: degree days (Fahrenheit),,
,,
Year,Heating degree days (colder than 65°F),Cooling degree days (warmer than 65°F)
1895,5142,1131
1896,4708,1258
1897,4765,1186
1898,4749,1244
1899,4889,1219
1900,4572,1296
1901,4990,1235
1902,4797,1144
1903,4903,990
1904,5110,1059
1905,4994,1166
1906,4713,1177
1907,4859,1059
1908,4604,1152
1909,4796,1113
1910,4730,1119
1911,4644,1286
1912,5124,1088
1913,4560,1143
1914,4854,1164
1915,4742,1050
1916,4933,1127
1917,5330,1039
1918,4775,1184
1919,4708,1195
1920,4935,1056
1921,4166,1328
1922,4583,1239
1923,4711,1115
1924,5072,1051
1925,4687,1274
1926,4915,1152
1927,4470,1111
1928,4680,1105
1929,4839,1129
1930,4686,1225
1931,4251,1330
1932,4586,1201
1933,4485,1336
1934,4518,1371
1935,4802,1187
1936,4808,1364
1937,4825,1245
1938,4335,1232
1939,4441,1308
1940,4945,1088
1941,4494,1233
1942,4675,1148
1943,4824,1241
1944,4723,1236
1945,4684,1147
1946,4277,1132
1947,4777,1231
1948,4758,1201
1949,4443,1268
1950,4710,1080
1951,4743,1168
1952,4586,1272
1953,4274,1278
1954,4425,1276
1955,4721,1284
1956,4587,1187
1957,4536,1189
1958,4891,1161
1959,4580,1299
1960,4899,1177
1961,4699,1129
1962,4834,1161
1963,4865,1182
1964,4676,1162
1965,4678,1129
1966,4834,1124
1967,4731,1068
1968,4812,1105
1969,4859,1170
1970,4784,1211
1971,4671,1171
1972,4805,1132
1973,4446,1214
1974,4515,1108
1975,4583,1155
1976,4817,1016
1977,4683,1277
1978,5029,1220
1979,4861,1102
1980,4770,1299
1981,4577,1198
1982,4686,1131
1983,4688,1237
1984,4564,1206
1985,4692,1196
1986,4325,1248
1987,4373,1261
1988,4661,1280
1989,4716,1162
1990,4050,1265
1991,4224,1329
1992,4441,1054
1993,4707,1212
1994,4478,1227
1995,4519,1292
1996,4682,1197
1997,4531,1164
1998,3985,1425
1999,4153,1306
2000,4422,1259
2001,4199,1275
2002,4309,1379
2003,4494,1280
2004,4308,1221
2005,4320,1388
2006,4021,1361
2007,4257,1388
2008,4488,1274
2009,4480,1233
2010,4471,1445
2011,4321,1457
2012,3778,1480
2013,4491,1289
2014,4591,1272
2015,4126,1459
