"Figure 2. Change in Annual Heating Degree Days by State, 1955-2015 Versus 1895-1954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: NOAA, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web update: August 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units: heating degree days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year/Trend,AL,AZ,AR,CA,CO,CT,DE,FL,GA,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
TREND,80.7057377,-188.0836066,33.55027322,-349.7237705,-304.4953552,-347.9748634,-239.1371585,-52.1579235,1.842349727,-176.7953552,-163.786612,-92.5363388,-90.55874317,-104.4371585,13.28060109,55.08114754,-421.8863388,-200.3814208,-324.8374317,-303.6284153,-374.223224,91.29699454,-68.56256831,-302.5311475,-175.1281421,-201.2685792,-349.0213115,-366.165847,-186.2002732,-321.3699454,-26.91557377,-405.1172131,-134.4562842,8.64863388,-286.7502732,-179.1546448,-392.279235,-29.12650273,-255.2808743,47.58306011,-49.02978142,-252.8478142,-335.2669399,-87.92568306,-200.2540984,9.696448087,-218.4521858,-364.8778689
1895,3287,2308,4049,3483,8321,6842,5526,1011,3391,7626,7198,6570,7613,5685,5348,2236,8612,5652,7035,7939,9507,3014,5766,9569,7050,4087,8325,6315,5353,7019,4248,10374,6738,4387,6089,6686,6598,3319,8594,4510,2581,8338,8817,5223,6174,5900,8505,9649
1896,2713,1942,3297,3253,7513,6801,5134,902,2823,7287,6251,5808,7056,4993,4555,1788,8902,5086,7077,7330,9463,2458,4991,9311,6778,3741,8295,6064,4666,6848,3585,10698,6022,3686,5891,6217,6655,2759,8522,3793,2080,7753,8746,4588,6299,5192,7917,9003
1897,2587,2462,3388,3641,7697,6554,5059,713,2770,7276,6540,5994,7439,5301,4529,1632,8675,5109,6844,7548,9611,2327,5316,9264,7054,4088,8174,5893,4931,6651,3520,10424,6024,3819,5736,6150,6583,2700,8680,3711,2085,8061,8632,4511,6183,5195,8102,9088
1898,2934,2471,3590,3524,8168,6396,4935,784,3034,7751,6522,5894,7373,5496,4647,1910,8329,4971,6688,7337,9159,2658,5429,9365,7073,4120,7941,5739,5133,6423,3641,9949,5941,3951,5906,5944,6292,2861,8262,3943,2177,8424,8259,4512,6034,5267,7910,9337
1899,2989,2329,3796,3444,8067,6686,5284,736,3054,7650,6606,6060,7431,5558,4892,2012,8612,5319,6897,7550,9671,2759,5628,9777,7244,3820,8283,6080,5021,6738,3779,10676,6086,4110,6066,6308,6598,2953,8879,4143,2386,7908,8587,4831,6213,5443,8239,9575
1900,2831,1996,3344,3032,7162,6365,4943,887,2996,6687,6368,5814,6932,5029,4623,1851,8504,4977,6727,7289,8766,2552,5147,8417,6379,3470,8143,5745,4663,6538,3669,9354,6008,3555,5404,6045,6384,2893,7515,3909,1963,7025,8614,4537,5599,5190,7792,8201
1901,3361,2258,3671,3302,7441,6995,5594,1132,3573,7054,6965,6484,7271,5331,5237,2068,8719,5615,7237,7784,9253,2919,5440,8803,6804,3595,8360,6390,4746,7124,4242,9558,6636,3790,5755,6656,6975,3404,7758,4543,2041,7253,8816,5150,5966,5878,8203,8700
1902,2971,2338,3761,3664,7445,6516,5121,925,3192,7374,6557,5977,7204,5375,4737,1897,8502,5154,6780,7261,9021,2616,5421,9284,6901,3786,8113,5873,4827,6683,3845,9914,6164,3867,5889,6237,6513,3022,8185,4089,1998,7513,8703,4724,6023,5410,7804,8916
1903,3021,2446,3860,3519,8056,6608,5139,889,3229,7746,6789,6227,7315,5452,4875,2038,8620,5159,6885,7524,9690,2712,5533,9326,6913,4052,8196,5905,5202,6690,3771,10243,6255,4014,5934,6240,6617,3029,8452,4128,2280,8202,8666,4780,6266,5510,8213,9351
