"Figure 2. Area of the Contiguous 48 States with Unusually Hot Summer Temperatures, 1910-2015",,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,
"Data source: NOAA, 2015",,,,
Web update: August 2016,,,,
Units: Percent of land area,,,,
,,,,
Year,Hot Highs,9-pt High,Hot Lows,9-pt Low
1910,0.082,0.072789063,0.029,0.027992188
1911,0.068,0.070222656,0.032,0.028234375
1912,0.002,0.0760625,0.008,0.0316875
1913,0.16,0.082714844,0.043,0.036492188
1914,0.124,0.075972656,0.079,0.036582031
1915,0.007,0.05996875,0.007,0.031097656
1916,0.002,0.05696875,0.011,0.028171875
1917,0.065,0.075378906,0.019,0.034261719
1918,0.159,0.096578125,0.066,0.047335938
1919,0.15,0.101308594,0.071,0.064242188
1920,0.006,0.091742188,0.006,0.08246875
1921,0.135,0.079324219,0.222,0.091871094
1922,0.07,0.069570313,0.071,0.082003906
1923,0.012,0.065871094,0.033,0.059335938
1924,0.076,0.068644531,0.021,0.040355469
1925,0.12,0.068214844,0.04,0.030691406
1926,0.063,0.056121094,0.033,0.024578125
1927,0.005,0.042402344,0.009,0.019042969
1928,0.011,0.049125,0.007,0.018910156
1929,0.02,0.085070313,0.011,0.030253906
1930,0.195,0.133910156,0.031,0.053070313
1931,0.261,0.175738281,0.128,0.082722656
1932,0.058,0.209941406,0.074,0.116578125
1933,0.306,0.240847656,0.115,0.151582031
1934,0.412,0.260523438,0.339,0.178941406
1935,0.034,0.260046875,0.032,0.18896875
1936,0.494,0.235570313,0.345,0.175058594
1937,0.125,0.188863281,0.128,0.137050781
1938,0.075,0.137898438,0.036,0.091007813
1939,0.063,0.103316406,0.02,0.061710938
1940,0.176,0.084816406,0.051,0.058515625
1941,0.009,0.075214844,0.098,0.071253906
1942,0.008,0.075792969,0.023,0.083351563
1943,0.181,0.079347656,0.222,0.079945313
1944,0.095,0.06909375,0.005,0.057695313
1945,0.004,0.0450625,0.005,0.030992188
1946,0.004,0.026453125,0.004,0.018058594
1947,0.008,0.025960938,0.014,0.023871094
1948,0.03,0.038496094,0.005,0.039175781
1949,0.107,0.056089844,0.15,0.051003906
1950,0.008,0.082828125,0,0.056433594
1951,0.069,0.124535156,0.025,0.0643125
1952,0.3,0.168507813,0.138,0.079851563
1953,0.149,0.189578125,0.044,0.095195313
1954,0.288,0.175207031,0.175,0.097339844
1955,0.083,0.135734375,0.1,0.08234375
1956,0.092,0.094867188,0.013,0.062617188
1957,0.011,0.073644531,0.008,0.054363281
1958,0.077,0.07859375,0.113,0.058863281
1959,0.093,0.099753906,0.063,0.066902344
1960,0.126,0.115753906,0.014,0.072714844
1961,0.23,0.106980469,0.181,0.072378906
1962,0.01,0.074144531,0.004,0.061796875
1963,0.012,0.038535156,0.077,0.043464844
1964,0.013,0.018835938,0.002,0.026101563
1965,0,0.016390625,0.003,0.016804688
1966,0.016,0.021804688,0.003,0.015988281
1967,0.068,0.026160156,0.05,0.018386719
1968,0.002,0.027464844,0.004,0.019742188
1969,0.006,0.028316406,0.011,0.020679688
1970,0.08,0.027929688,0.039,0.023128906
1971,0.005,0.023488281,0.018,0.027511719
1972,0.006,0.017414063,0.012,0.032171875
1973,0.017,0.01515625,0.089,0.03309375
1974,0.014,0.01909375,0.004,0.029777344
1975,0.007,0.027394531,0.013,0.029449219
1976,0.068,0.035546875,0.004,0.036628906
1977,0.044,0.043640625,0.123,0.046027344
1978,0.02,0.061375,0.016,0.054863281
1979,0.01,0.091195313,0.003,0.067644531
1980,0.31,0.113199219,0.173,0.08225
1981,0.079,0.109519531,0.1,0.090425781
1982,0.002,0.090074219,0.005,0.090871094
1983,0.155,0.072976563,0.194,0.085089844
1984,0.019,0.062414063,0.05,0.073828125
1985,0.059,0.06178125,0.014,0.067492188
1986,0.031,0.080570313,0.053,0.078195313
1987,0.054,0.111214844,0.12,0.098238281
1988,0.366,0.123179688,0.195,0.108253906
1989,0.011,0.100414063,0.038,0.10475
1990,0.018,0.065117188,0.083,0.100261719
1991,0.048,0.048652344,0.147,0.101992188
1992,0.027,0.059785156,0.069,0.108648438
1993,0.053,0.086339844,0.122,0.119683594
1994,0.215,0.108078125,0.116,0.131390625
1995,0.081,0.111140625,0.22,0.13590625
1996,0.133,0.100382813,0.089,0.135457031
1997,0.01,0.091953125,0.049,0.1400625
1998,0.152,0.095550781,0.289,0.147230469
1999,0.05,0.112199219,0.113,0.149652344
2000,0.165,0.142011719,0.094,0.158644531
2001,0.119,0.178949219,0.132,0.187152344
2002,0.302,0.201984375,0.333,0.220746094
2003,0.298,0.195484375,0.289,0.240421875
2004,0.032,0.179058594,0.104,0.255976563
2005,0.103,0.184296875,0.31,0.279453125
2006,0.324,0.202011719,0.408,0.289535156
2007,0.302,0.195101563,0.341,0.268550781
2008,0.082,0.164480469,0.08,0.253753906
2009,0.043,0.157949219,0.092,0.295421875
2010,0.133,0.203761719,0.572,0.374035156
2011,0.364,0.265222656,0.598,0.417546875
2012,0.483,0.280855469,0.305,0.397457031
2013,0.178,0.238289063,0.37,0.356339844
2014,0.077,0.182476563,0.197,0.344207031
2015,0.159,0.154066406,0.427,0.367308594
