"Figure 4. Change in Unusually Hot Temperatures in the Contiguous 48 States, 1948-2015",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: NOAA, 2016",,,
Web update: August 2016,,,
Units: Change in number of days hotter than 95th percentile,,,
,,,
State,Lat,Long,Change in 95 percent Days
AL,31.0583,-87.055,-12.64705882
AL,30.5467,-87.8808,0
AL,32.8347,-88.1342,16.59491218
AL,32.7019,-87.5814,0
AL,31.8814,-86.2503,0
AL,34.1736,-86.8133,0
AL,34.6736,-86.0536,0
AL,32.4111,-87.0144,0
AL,33.4164,-86.135,0
AL,31.9172,-87.7347,0
AL,31.8075,-85.9722,0
AL,32.0142,-85.7464,-19.24008407
AL,34.5686,-85.6064,-18.17263427
AZ,32.3697,-112.86,0
AZ,33.3761,-112.5828,11.33622876
AZ,33.2058,-111.6819,12.04708802
AZ,34.3494,-111.6981,0
AZ,35.2681,-111.7428,0
AZ,34.9094,-110.1544,0
AZ,36.8644,-111.6022,0
AZ,33.4044,-110.87,24.41711587
AZ,34.1547,-114.2897,-4.927224951
AZ,31.9356,-109.8378,-8.098439142
AZ,34.5706,-112.4322,11.41943734
AZ,33.6731,-111.1508,13.73657289
AZ,33.0722,-111.7661,0
AZ,32.815,-109.6808,0
AZ,34.5172,-109.4028,0
AZ,35.3322,-112.8797,0
AZ,31.7119,-110.0686,8.363237623
AZ,32.2292,-110.9536,-8.408974715
AZ,33.8214,-109.9839,-8.101292824
AZ,33.9792,-112.7403,0
AZ,35.2414,-112.1928,13.56674658
AZ,32.6114,-114.635,-6.950700854
AR,34.8822,-91.2153,-21.05314075
AR,35.0833,-92.4294,0
AR,36.4197,-90.5858,-13.80690537
AR,36.4164,-93.7917,0
AR,36.1006,-94.1744,0
AR,36.4261,-94.4481,0
AR,36.4947,-91.535,-10.75258501
AR,34.5731,-94.2494,0
AR,35.6042,-91.2744,-14.0230179
AR,34.2256,-92.0189,0
AR,36.2642,-90.9683,-15.0741688
AR,33.8203,-93.3878,-13.8758029
AR,33.8103,-91.2778,0
AR,35.3028,-93.6369,0
CA,37.8744,-122.2606,20.24007847
CA,33.6131,-114.5972,0
