"Figure 5. Change in Unusually Cold Temperatures in the Contiguous 48 States, 1948-2015",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: NOAA, 2016",,,
Web update: August 2016,,,
Units: Change in number of days colder than 5th percentile,,,
,,,
State,Lat,Long,Change in 5 percent Days
AL,31.0583,-87.055,0
AL,30.5467,-87.8808,9.308184143
AL,32.8347,-88.1342,-14.42265219
AL,32.7019,-87.5814,0
AL,31.8814,-86.2503,18.19031593
AL,34.1736,-86.8133,0
AL,34.6736,-86.0536,0
AL,32.4111,-87.0144,0
AL,33.4164,-86.135,0
AL,31.9172,-87.7347,-7.885314685
AL,31.8075,-85.9722,0
AL,32.0142,-85.7464,13.35038363
AL,34.5686,-85.6064,0
AZ,32.3697,-112.86,-23.81074169
AZ,33.3761,-112.5828,-15.05900257
AZ,33.2058,-111.6819,-18.76031248
AZ,34.3494,-111.6981,0
AZ,35.2681,-111.7428,-17.34251909
AZ,34.9094,-110.1544,-18.24231951
AZ,36.8644,-111.6022,-16.60262467
AZ,33.4044,-110.87,-14.22470131
AZ,34.1547,-114.2897,-34.39455785
AZ,31.9356,-109.8378,9.238218058
AZ,34.5706,-112.4322,-18.74936061
AZ,33.6731,-111.1508,-20.42327366
AZ,33.0722,-111.7661,-29.50175944
AZ,32.815,-109.6808,-17.18181818
AZ,34.5172,-109.4028,-20.46242328
AZ,35.3322,-112.8797,-9.923699645
AZ,31.7119,-110.0686,-14.10872913
AZ,32.2292,-110.9536,-44.09824951
AZ,33.8214,-109.9839,-12.91933937
AZ,33.9792,-112.7403,-21.12299465
AZ,35.2414,-112.1928,-6.199830466
AZ,32.6114,-114.635,-32.93973533
AR,34.8822,-91.2153,-10.28427918
AR,35.0833,-92.4294,0
AR,36.4197,-90.5858,0
AR,36.4164,-93.7917,-9.385270979
AR,36.1006,-94.1744,-13.62659847
AR,36.4261,-94.4481,-9.991048593
AR,36.4947,-91.535,0
AR,34.5731,-94.2494,9.39258312
AR,35.6042,-91.2744,0
AR,34.2256,-92.0189,0
AR,36.2642,-90.9683,0
AR,33.8203,-93.3878,0
AR,33.8103,-91.2778,-17.35909091
AR,35.3028,-93.6369,0
CA,37.8744,-122.2606,0
CA,33.6131,-114.5972,-17.80434783
CA,32.9544,-115.5581,-13.29016393
CA,41.5306,-120.1803,0
CA,39.6911,-121.8211,-12.91048593
CA,32.64,-117.0858,-24.60741688
CA,39.0911,-120.9481,0
CA,32.9897,-116.5872,-20.62148338
CA,38.535,-121.7761,-8.588235294
CA,36.4622,-116.8669,0
CA,34.705,-118.4297,0
CA,39.5092,-123.7567,0
CA,36.3158,-119.6369,-18.62531969
CA,41.8042,-123.3758,0
CA,38.6175,-122.8731,-16.1965472
CA,36.7981,-118.2036,-10.30818414
CA,33.7086,-116.2153,-44.48716837
CA,39.3183,-120.6392,-17.01103896
CA,36.3817,-119.0264,0
CA,37.6922,-121.7692,-34.80818414
CA,38.1061,-121.2878,-22.49198295
CA,39.1458,-121.5853,-19.80027785
CA,37.2858,-120.5117,-15.22506394
CA,41.3206,-122.3081,0
CA,38.2778,-122.2647,-18.47442455
CA,33.6025,-117.8803,-48.14450128
CA,34.4478,-119.2275,0
CA,39.7458,-122.1997,-19.80179028
CA,41.3089,-123.5317,-15.11253197
CA,34.1483,-118.1447,-33.56521739
CA,35.6278,-120.6856,-18.85294118
CA,38.2578,-122.6078,0
CA,39.9367,-120.9475,-22.27692457
CA,34.0528,-117.1894,-24.31818182
CA,35.3056,-120.6619,-9.253196931
CA,34.4167,-119.6844,-43.47442455
CA,36.9906,-121.9911,-32.78644501
CA,38.4381,-122.6978,-36.17062937
CA,40.4167,-120.6631,-19.01869183
CA,39.1678,-120.1428,-8.993606138
CA,35.0233,-118.7497,18.11892583
CA,33.7025,-117.7539,-44.68116883
CA,39.1467,-123.2103,-18.39278846
CA,38.3956,-121.9608,-29.06015965
CA,35.5892,-119.3519,-10.59335038
CA,40.7222,-122.9331,-23.84038581
CA,39.5231,-122.3058,-15.56777494
CA,37.75,-119.5897,-21.88235294
CA,41.7036,-122.6408,0
CO,39.9919,-105.2667,0
CO,38.46,-105.2256,6.141118474
CO,39.2203,-105.2783,0
CO,38.8219,-102.3508,-14.84526854
CO,37.6908,-106.3083,0
CO,39.6261,-106.0353,-19.40792839
CO,38.4758,-102.7769,0
CO,40.6147,-105.1314,-18.60741688
CO,40.26,-103.8156,-7.203814014
CO,39.1653,-108.7331,-14.24335664
CO,38.5253,-106.9672,-9.533634626
CO,37.7717,-107.1097,-16.47058824
CO,38.0517,-102.1317,0
CO,38.0936,-102.6306,0
CO,38.0636,-103.2153,-9.076032743
CO,37.1742,-105.9392,-10.67761199
CO,38.4858,-107.8792,-15.12659847
CO,38.0392,-103.6933,-7.429667519
CO,38.0858,-106.1444,0
CO,40.4883,-106.8233,-17.26598465
CO,37.9492,-107.8736,7.633687521
CO,37.1786,-104.4869,0
CO,40.0714,-102.2325,0
CT,41.95,-73.3667,0
CT,41.3511,-72.0389,-23.88292059
CT,41.1247,-73.5475,-8.507462081
CT,41.795,-72.2286,-6.84388594
DE,39.2583,-75.5167,0
DE,39.6694,-75.7514,0
DE,39.7739,-75.5414,0
FL,29.7258,-85.0206,12.99616368
FL,27.2181,-81.8739,0
FL,27.8986,-81.8433,-15.6342711
FL,26.6928,-80.6711,-10.18471085
FL,30.7244,-86.0939,0
FL,25.8489,-81.3897,0
FL,29.755,-81.5389,-7.570178635
FL,30.6669,-81.4525,-7.193084743
FL,26.1019,-80.2011,-12.24296675
FL,27.4419,-80.3508,0
FL,28.8028,-82.3125,16.99488491
FL,30.1853,-82.5942,-6.369565217
FL,30.4653,-83.4022,9.379462556
FL,29.1639,-82.0778,0
FL,28.3378,-82.26,0
FL,28.1522,-82.7539,-10.69948849
FL,28.6242,-80.8158,-12.45906948
GA,31.5339,-84.1489,0
GA,31.1681,-81.5022,0
GA,31.1903,-84.2036,6.751918159
GA,33.5972,-83.8436,0
GA,34.5292,-83.99,0
GA,32.2003,-83.2058,0
