"Figure 1. Date of First Freeze for Selected U.S. Lakes, 1850-2015",,,,,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,,,,
Data source: Various organizations,,,,,,,,,
Web update: August 2016,,,,,,,,,
Units: days from January 1,,,,,,,,,
,,,,,,,,,
Year,Detroit Lake,Lake George,Lake Mendota,Lake Monona,Mirror Lake,Otsego Lake,Shell Lake,Lake Superior at Bayfield,Geneva Lake
1849,,,,,,13,,,
1850,,,,,,10.33333333,,,
1851,,,,,,9.444444444,,,
1852,,,,,,6.555555556,,,
1853,,,,,,9.111111111,,,
1854,,,,,,6.555555556,,,
1855,,,-21.95555556,-22.24444444,,6.333333333,,,
1856,,,-21.15555556,-23.46666667,,8,,,
1857,,,-21.68888889,-24.06666667,,6.666666667,,-5.8,
1858,,,-21.8,-25.62222222,,5.888888889,,-5.155555556,
1859,,,-20.55555556,-25.11111111,,7.444444444,,-5.733333333,
1860,,,-21.66666667,-26.11111111,,7.777777778,,-6.088888889,
1861,,,-20.77777778,-25,,10,,-6.333333333,
1862,,,-18.22222222,-22.88888889,,6.333333333,,-7.222222222,-9.6
1863,,,-17.77777778,-22.55555556,,6,,-7.333333333,-8.533333333
1864,,,-17.44444444,-22.11111111,,5.888888889,,-7.555555556,-9.688888889
1865,,,-18.77777778,-23,,5.888888889,,-6.666666667,-9.733333333
1866,,,-16.33333333,-20.66666667,,5.777777778,,-6.111111111,-9.444444444
1867,,,-17.11111111,-21.44444444,,2.777777778,,-7.888888889,-12.66666667
1868,,,-19.11111111,-22.88888889,,1.666666667,,-9,-14.22222222
1869,,,-20.11111111,-24,,3.666666667,,-10.77777778,-12.77777778
1870,,,-20.55555556,-24.22222222,,2.888888889,,-10.44444444,-12.33333333
1871,,,-18,-21,,4,,-11.66666667,-12.33333333
1872,,,-18.44444444,-22,,1.777777778,,-12.44444444,-15.11111111
1873,,,-15.44444444,-19,,5.444444444,,-8.555555556,-12.11111111
1874,,,-13.33333333,-16.55555556,,4.888888889,,-8.444444444,-11.88888889
1875,,,-14.11111111,-17.22222222,,8.222222222,,-9.555555556,-12.55555556
1876,,,-17,-18.11111111,,9.111111111,,-11.11111111,-14.33333333
1877,,,-13.33333333,-14.33333333,,10.44444444,,-8.333333333,-11.11111111
1878,,,-12.11111111,-13.44444444,,8.222222222,,-6.111111111,-11.66666667
1879,,,-11.22222222,-12.88888889,,8.888888889,,-6.888888889,-11.77777778
1880,,,-13.88888889,-15.55555556,,9.555555556,,-6.777777778,-11.33333333
1881,,,-13.44444444,-15.33333333,,12.33333333,,-4.222222222,-7.333333333
1882,,,-17,-18.88888889,,9.333333333,,-9,-9.444444444
1883,,,-16.66666667,-20.88888889,,8.888888889,,-8.666666667,-8.888888889
1884,,,-14.88888889,-19.44444444,,7.222222222,,-5.888888889,-6.222222222
1885,,,-9.111111111,-13.55555556,,13.33333333,,-2.111111111,-0.111111111
1886,,,-9.888888889,-14.44444444,,12.11111111,,-1.222222222,0
1887,,,-8,-12.22222222,,13.66666667,,-0.111111111,2
1888,,,-8.222222222,-12.88888889,,12.66666667,,0,2.111111111
1889,,,-9.666666667,-14.55555556,,12,,-0.666666667,-0.555555556
1890,,,-7.888888889,-12.55555556,,10.55555556,,-0.777777778,-2
1891,,,-4.444444444,-12.66666667,,11,,0.555555556,-3.625
1892,,,-4.777777778,-12.11111111,,13.11111111,,0.444444444,-1
1893,,,-6.555555556,-13.66666667,,14.11111111,,-2.111111111,-4.125
1894,,,-10.55555556,-17.88888889,,9.333333333,,-3,-9.125
1895,,,-10.44444444,-17.77777778,,11,,-4.222222222,-9.75
1896,,,-10.66666667,-19.22222222,,10.88888889,,-4.666666667,-11.57142857
1897,,,-10.77777778,-18.88888889,,13.11111111,,-4.777777778,-7.285714286
1898,,,-8.444444444,-16.22222222,,13.77777778,,-3.222222222,-1.285714286
1899,,,-10.11111111,-19.33333333,,13.77777778,,-5.888888889,-3
1900,,,-12.55555556,-18.33333333,,15.66666667,,-5.222222222,0.75
1901,,,-11.33333333,-17.11111111,,17.44444444,,-4,1.375
1902,,,-11,-17.88888889,,13.77777778,,-1.777777778,6
1903,,,-8.444444444,-17.44444444,-39.5,14,,1.777777778,12.375
1904,,,-9,-19.22222222,-39.5,13.88888889,,2.222222222,13.5
1905,,,-9.777777778,-18.77777778,-38.85714286,11.66666667,-27.8,1.888888889,11.66666667
1906,,,-10.44444444,-19.44444444,-39.07142857,10.22222222,-28.37777778,3.625,9.888888889
1907,,,-10.11111111,-20.33333333,-38.85714286,8.888888889,-30.28888889,4.125,8.111111111
1908,-47.25,,-8.888888889,-17.88888889,-37.85714286,14.55555556,-29.75555556,6.875,10.66666667
1909,-44.21875,,-5.666666667,-16.33333333,-34.28571429,13.55555556,-28.11111111,9.625,14.11111111
1910,-44.0625,,-7.444444444,-16.22222222,-34.75,9.222222222,-29.44444444,7.75,10.77777778
1911,-44.03125,20.55555556,-6.555555556,-15.44444444,-35.75,10.66666667,-32.88888889,8.875,9.666666667
1912,-45.25,18.44444444,-8.333333333,-14.88888889,-34.42857143,14.11111111,-33.55555556,3.875,6
