"Figure 2. Date of Ice Thaw for Selected U.S. Lakes, 1840-2015",,,,,,,,,,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,,,,,,,,,
Data source: Various organizations,,,,,,,,,,,,,,
Web update: August 2016,,,,,,,,,,,,,,
Units: days from January 1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Year,Detroit Lake,Lake George,Lake Mendota,Lake Monona,Mirror Lake,Otsego Lake,Shell Lake,Superior at Bayfield,Geneva Lake,Lake Osakis,Damariscotta Lake,Cobbosseecontee Lake,Sebago Lake,Moosehead Lake
1836,,,,,,,,,,,109.6,,,
1837,,,,,,,,,,,109.3111111,,,
1838,,,,,,,,,,,110.5777778,,,
1839,,,,,,,,,,,110.0666667,113.6,114.6,
1840,,,,,,,,,,,110.6666667,114.5333333,114.6222222,
1841,,,,,,,,,,,109,113.8,112.7333333,
1842,,,,,,104.6,,,,,110.4444444,115.4,112.6,
1843,,,,,,104.2,,,,,110.1111111,115.625,112.4285714,
1844,,,,,,103.3555556,,,,,109.5555556,117,113.7142857,
1845,,,,,,104.4,,,,,109.8888889,117.4285714,112.8333333,
1846,,,,,,102.6666667,,,,,109.7777778,118.1428571,112.8333333,
1847,,,,,,102.7777778,,,,,109.4444444,118,113.3333333,130.8
1848,,,,,,102.2222222,,,,,109.2222222,117.5714286,113.6666667,130.8222222
1849,,,,,,104.3333333,,,,,110.2222222,118.4285714,113.6,131.8444444
1850,,,,,,106.2222222,,,,,110.7777778,119.5714286,116.2,132.5333333
1851,,,,,,106.4444444,,,,,110.1111111,118,116.5,132.4444444
1852,,,,,,105.8888889,,,,,110.3333333,116.625,114.7142857,133.6666667
1853,,,,,,105.6666667,,,,,112.6666667,115.6666667,112.8571429,133.7777778
1854,,,,,,102.8888889,,,,,110.6666667,115.5555556,112.8571429,134.3333333
1855,,,96.95238095,93,,103.8888889,,,,,111.7777778,115.8888889,113.3333333,134.1111111
1856,,,95.71428571,94.66666667,,102.4444444,,,,,110.6666667,114.8888889,111,133.4444444
