"Figure 1. First Leaf and Bloom Dates in the Contiguous 48 States, 1900-2015",,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,
"Data source: Schwartz, 2016",,,,
Web update: August 2016,,,,
Units: days deviation from 1981-2010 average,,,,
,,,,
Year,Leaf Mean,Leaf 9-yr normal curve,Bloom Mean,Bloom 9-yr normal curve
1900,3.694143,4.031480663,1.492408,2.348331843
1901,5.899344,3.797986273,3.037199,2.356888442
1902,2.760331,3.418622401,3.241736,2.320215145
1903,-0.3885714,3.22554999,-0.3828571,2.296967775
1904,7.656028,3.121477691,5.163121,2.251468443
1905,1.840136,2.573179922,1.028912,2.069112044
1906,3.423408,1.472611885,2.010327,1.63930859
1907,-4.335017,0.503942775,1.3367,1.045282783
1908,1.769357,-0.049022667,-0.4678748,0.160477373
1909,2.837004,-0.49386934,4.343612,-1.056164407
1910,-5.838068,-0.527719657,-10.86364,-1.651788504
1911,-3.732493,0.505148799,-2.630252,-0.801478125
1912,9.86921,2.072742443,7.408719,0.770313149
1913,1.612903,3.030250513,1.051075,1.6481272
1914,2.047375,3.148696447,1.409731,1.664478524
1915,5.79625,2.958026196,0.43125,1.749195959
1916,-1.107579,2.690318827,0.4547677,2.21034177
1917,7.075812,2.230244698,8.377858,2.528319783
1918,-2.10219,1.731288814,-1.624088,2.449323543
1919,1.752126,1.162549694,2.065614,1.991542113
1920,5.284644,0.631552941,7.785268,1.23593008
1921,-8.820238,0.635634205,-8.17381,0.618085091
1922,4.950688,1.524762952,1.708716,0.826128852
1923,3.141553,2.532394154,2.646119,1.446162494
1924,8.86584,2.398263908,8.240135,1.194532958
1925,-5.418367,1.380877544,-7.461451,0.229940041
1926,3.02854,0.468588604,1.046103,-0.353015897
1927,-1.958333,0.153552323,-1.301282,-0.183252595
1928,0.2797872,0.084520355,1.802128,0.008190264
1929,3.428721,-0.239836827,2.110063,-0.311927038
1930,-4.352098,-0.847774237,-5.116684,-0.870194284
1931,-0.2916266,-1.421560917,0.8229066,-1.190578877
1932,-2.840716,-1.693986833,-2.96984,-1.178743418
1933,0.0212373,-1.748564369,1.89566,-1.099197808
1934,-4.548713,-1.363346226,-5.054228,-0.853222416
1935,-1.78774,-0.363420727,1.287283,-0.389037145
1936,4.217626,0.626170167,0.8102518,-0.13629202
1937,4.393386,0.851713399,2.874674,-0.513998378
1938,-5.339255,0.847870587,-6.304569,-0.922643916
1939,-0.4333868,1.580596349,-2.301766,-0.566328776
1940,8.532096,2.644629079,4.916473,0.241019939
1941,2.964396,2.869505502,-0.1764706,0.648748086
1942,2.37679,2.168457761,0.4853052,0.513619983
1943,-2.124242,1.309133167,-1.133333,0.17212136
1944,5.763961,0.464337501,4.126582,-0.530287792
1945,-2.947368,-0.146515308,-3.675188,-1.307123145
1946,-5.95585,0.18325018,-8.078734,-1.232715449
1947,5.361427,1.435204082,5.177677,-0.233256599
1948,5.713687,2.421753997,1.89176,0.736029797
1949,1.396606,2.396620578,-1.374607,1.147177921
1950,0.4439809,1.838518936,3.011323,1.209755499
1951,3.05251,1.104100875,2.314484,0.946294209
1952,1.460718,0.163068374,-1.189113,0.376752023
1953,-3.799672,-0.451914497,0.7230432,-0.102812561
1954,-3.622294,0.10904366,-2.669372,-0.008743104
1955,4.129747,1.695425612,0.0806962,0.689642279
1956,5.229576,3.315463319,4.976215,1.628439158
1957,2.733467,4.312175049,-1.126754,2.459217955
1958,7.677661,4.722505928,6.494253,3.083917657
1959,2.291667,4.744569156,1.329412,3.498539983
1960,7.262879,4.463839799,5.964372,3.498136725
1961,2.399719,4.067199679,3.404395,3.06977173
1962,4.034672,3.851515601,1.447536,2.634354919
1963,1.479029,4.056920109,-0.2988962,2.777084434
1964,7.267568,4.345639541,5.690991,3.48092873
1965,5.247602,4.073732447,4.632956,4.007162691
1966,3.795522,3.21621734,6.004647,3.863157887
1967,-0.9627615,2.633872069,1.141004,3.409973792
1968,1.238927,3.05623055,2.026831,3.316794331
1969,6.026574,4.031952411,3.796402,3.67176562
1970,7.654849,4.346544815,6.45436,3.792727859
1971,4.046323,3.495763764,4.026006,3.197033728
1972,0.0703538,2.089572931,0.4030094,2.127289786
1973,1.213254,1.118135129,2.07774,1.213933844
1974,-3.466315,0.999200177,-3.350244,0.73854124
1975,8.120292,1.406935063,7.234103,0.374433208
1976,-4.160434,2.333704738,-5.02694,0.25563185
1977,2.567984,3.978830451,-2.649012,0.967208416
1978,9.871578,5.754889969,5.816425,2.336737217
1979,10.0964,6.229380002,6.694613,3.074545988
1980,5.877778,5.125969353,3.015873,2.714759376
1981,-2.02337,3.827357846,-3.244629,2.42281355
1982,4.980186,3.338895251,3.376457,2.955850807
1983,2.969652,3.382915383,6.956538,3.441745077
1984,5.570185,2.877571995,6.799092,2.52153453
1985,4.884702,1.429183928,-1.25471,0.401883117
1986,-7.248604,-0.095913044,-6.636025,-1.313232324
1987,-0.6847458,-0.782463088,-1.919397,-1.703844042
1988,2.112765,-0.993244025,1.627093,-1.514947594
1989,-0.11875,-1.594950162,-0.7621324,-1.709196846
1990,-6.259424,-2.283222093,-5.167775,-2.116208128
1991,-2.684613,-2.094661877,-1.622044,-1.971631244
1992,-3.559179,-0.895411893,-4.03701,-1.03374897
1993,5.866667,0.301086187,4.267766,0.161823596
1994,1.116091,0.648819435,-0.2406319,1.105654122
1995,-2.530348,0.332391996,1.42302,1.643788684
1996,1.626488,-0.164427224,3.872768,1.66012286
1997,0.2077009,-0.855579477,2.131433,0.961905119
1998,-1.823182,-1.82217887,-1.218531,-0.271815035
1999,-4.186202,-2.322047219,-1.389095,-1.293292586
2000,-7.383918,-1.637259053,-5.790109,-1.412474055
2001,6.19872,-0.294878563,1.039142,-0.727509833
2002,0.4613073,0.50875035,2.158152,-0.098609629
2003,0.6591422,0.223215103,0.1666667,-0.199374083
2004,0.2112782,-0.689241556,-1.628195,-0.822333463
2005,-2.630137,-1.487850351,-0.8770928,-1.371379945
2006,-4.948516,-1.35443406,-3.725667,-1.257737495
2007,-1.403979,-0.05661984,-2.858072,-0.243748943
2008,6.678824,1.457089916,5.759216,1.003221716
2009,0.3769904,2.246655338,1.206608,1.5883959
2010,4.024754,1.992210593,1.952849,1.076609704
2011,4.67635,1.155967028,4.252046,-0.064358358
2012,-9.725201,0.812070388,-11.90713,-0.652111222
2013,6.059956,1.349258272,4.473961,-0.261549408
2014,5.720839,1.903192272,4.174312,0.238468094
2015,-1.048155,1.711032639,-2.963996,0.053332801
