Figure 2. Change in First Leaf Date Between 1951-1960 and 2006-2015,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
"Data source: Schwartz, 2016",,
Web update: August 2016,,
Units: days,,
,,
LAT,LONG,Change in first leaf date
31.31,-86.52,4.911111111
30.88,-87.79,1.7
34.69,-86.88,11.4
32.82,-86.65,3.175
30.55,-87.88,5.244444444
31.79,-86.61,8.8
34.23,-87.64,1.486111111
32.91,-85.43,11.275
32.47,-87.23,9.144444444
33.69,-86.69,4.9
30.57,-87.7,2.822222222
34.17,-86.81,0.275
34.29,-85.97,9.833333333
34.67,-86.05,4.6
32.01,-85.75,7.325
34.57,-85.61,5.638888889
33.94,-114.02,-0.925
34.31,-112.17,-2.733333333
32.75,-109.12,-3.877777778
32.95,-112.71,-2.444444444
33.27,-113.97,-0.7
33.34,-112.15,-3.7
34.11,-109.86,-2.2
34.61,-111.84,-1.666666667
31.96,-112.8,-1.433333333
34.8,-109.89,-0.344444444
34.57,-112.43,-4
33.67,-111.15,-1.5
32.82,-109.68,-2.8
34.51,-110.08,-4.844444444
34.13,-109.28,-3.4
33.43,-111.92,-4.027777778
32.28,-110.94,-1.694444444
31.57,-111.05,-1.9
34.93,-112.81,-4.388888889
33.98,-112.74,-5.333333333
35.24,-112.19,-5.083333333
35.52,-111.37,3.477777778
34.8,-92.84,9
35.83,-91.79,3.788888889
33.59,-92.82,4.725
36.42,-90.59,2.633333333
33.11,-91.95,9.188888889
35.23,-93.17,0.233333333
34.05,-94.35,5.8
34.98,-91.5,-1.9
33.89,-91.49,6.95
35.99,-92.72,7.611111111
36.43,-94.45,-9.011111111
34.52,-90.59,7.075
33.71,-93.56,2.7
34.51,-93.05,7.5
35.85,-90.66,12.7
34.6,-91.99,5.6
36.42,-92.92,11.875
34.39,-92.84,9.7
34.74,-90.77,-1.4
33.93,-93.86,-3.3
35.6,-91.27,9.194444444
34.96,-93.16,-7.425
34.23,-92.02,6.2
36.26,-90.97,10.25
33.25,-91.51,6.180555556
33.82,-93.39,5.375
35.27,-91.72,10.9
34.47,-91.42,-1.9
35.3,-93.64,8.2
34.92,-94.09,7.477777778
35.25,-90.8,4.988888889
36.49,-118.83,-3.225
37.09,-119.51,-5.088888889
38.91,-121.08,-5.355555556
39.39,-120.09,-5.7
34.19,-118.35,-3.055555556
35.4,-119.47,-3.152777778
32.63,-116.47,-3.55
39.09,-120.95,-2.777777778
36.1,-119.58,-2.655555556
41.8,-124.21,3.375
32.99,-116.59,-10.74444444
38.54,-121.78,-1.311111111
39.56,-120.82,-19.13333333
33.81,-115.45,-0.3
32.77,-115.56,-1.888888889
38.27,-122.07,-1.511111111
37,-119.71,-3.5
36.74,-118.96,-13.9
38.43,-122.86,-3.1
36.32,-119.64,-0.888888889
33.7,-115.63,-1.275
33.24,-116.76,1.911111111
37.96,-119.78,-10.375
32.85,-115.57,0.35
34.15,-115.12,-2.7
36.21,-121.14,-2.422222222
36.38,-119.03,-1.3
36.2,-119.05,-2.777777778
37.69,-121.77,-2.7
37.06,-120.87,-2.5
36.59,-121.91,-3.35
37.34,-121.64,-24.55
