"Figure 1. Change in Latitude and Depth of Marine Species, 1982–2015",,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
"Data source: NOAA and Rutgers University, 2016",,
Web update: August 2016,,
Units: miles (average distance moved); feet (average change in depth),,
,,
Year,Latitude (miles),Depth (feet)
1982,0,0
1983,9.920103485,8.387923495
1984,5.315387376,15.38211858
1985,10.48477422,19.13732883
1986,10.95025547,15.93009178
1987,7.545165081,13.38434246
1988,13.5858894,12.15370393
1989,9.776698808,24.90315624
1990,9.354888619,20.86238952
1991,12.76334793,22.48326906
1992,8.876574029,23.87418327
1993,14.51390525,22.33973645
1994,10.84885084,18.56483191
1995,16.70310167,17.00408918
1996,12.96725424,31.77012373
1997,9.998920317,9.446559209
1998,10.05105981,30.21259518
1999,13.92287644,28.48178492
2000,21.29593729,32.53471565
2001,12.18599896,26.62578306
2002,12.38397457,20.62747854
2003,9.650646458,21.08343107
2004,9.294761758,25.923865
2005,5.655713059,26.19204438
2006,16.25099296,21.39790633
2007,13.62593674,26.9758929
2008,7.742192597,18.08702173
2009,15.73822578,31.67868717
2010,7.209292547,30.92649349
2011,13.48589235,31.1381045
2012,18.73143539,21.56678832
2013,21.73524039,29.29702466
2014,20.33170302,31.19076617
2015,24.95211152,44.01409304
