"Figure 3. Average Location of Three Fish and Shellfish Species in the Bering Sea, 1982–2015",,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,
"Data source: NOAA and Rutgers University, 2016",,,,
Web update: August 2016,,,,
Units: square miles,,,,
,,,,
Year,Latitude,Longitude,Common name,Change in latitude (miles)
1982,58.62335608,-168.8386635,Snow crab,0
1983,58.47773574,-170.4324488,Snow crab,-10.04780336
1984,58.44541382,-170.2796034,Snow crab,-12.27801617
1985,58.57299714,-170.6632424,Snow crab,-3.474767316
1986,58.41767346,-169.7744904,Snow crab,-14.19210093
1987,58.6613065,-171.1664476,Snow crab,2.618578581
1988,58.44967428,-168.7688414,Snow crab,-11.98404459
1989,58.39861914,-170.5179355,Snow crab,-15.50684882
1990,58.45734065,-170.597618,Snow crab,-11.45506518
1991,58.56775388,-171.435213,Snow crab,-3.83655208
1992,58.92306443,-169.9777457,Snow crab,20.67987604
1993,58.8276445,-170.6743945,Snow crab,14.09590049
1994,58.41931501,-168.0897459,Snow crab,-14.07883391
1995,58.59271762,-170.6481335,Snow crab,-2.114054198
1996,58.34245675,-170.2052912,Snow crab,-19.38205378
1997,58.44737394,-170.7701141,Snow crab,-12.14276812
1998,58.63938964,-171.2052829,Snow crab,1.106315563
1999,58.52942465,-170.9473097,Snow crab,-6.481268717
2000,58.85443919,-172.2360861,Snow crab,15.94473419
2001,59.01603795,-171.8449848,Snow crab,27.09504881
2002,59.00205397,-171.7243983,Snow crab,26.13015432
2003,58.95939051,-172.3114173,Snow crab,23.18637568
2004,59.00281324,-171.8653924,Snow crab,26.18254399
2005,58.94387371,-171.3960328,Snow crab,22.11571638
2006,59.09285613,-171.75847,Snow crab,32.39550339
2007,58.85867153,-171.2676684,Snow crab,16.23676565
2008,58.86180686,-171.2367079,Snow crab,16.45310366
2009,58.64514591,-171.3449443,Snow crab,1.503498202
2010,58.78817722,-171.5093355,Snow crab,11.37265848
2011,58.65677777,-172.5698094,Snow crab,2.306096458
2012,58.50027751,-172.0417264,Snow crab,-8.49242138
2013,58.2535221,-171.2363093,Snow crab,-25.51854505
2014,58.29353523,-170.5651607,Snow crab,-22.75763908
2015,58.36503074,-170.568638,Snow crab,-17.82444866
1982,58.14698028,-169.4406341,Alaska pollock,0
1983,57.90871891,-168.8920269,Alaska pollock,-16.44003501
1984,57.86813911,-168.989944,Alaska pollock,-19.24004078
1985,57.82087685,-169.8754252,Alaska pollock,-22.50113698
1986,57.93284334,-170.0465491,Alaska pollock,-14.77544951
1987,58.19733567,-171.0150445,Alaska pollock,3.474521475
1988,58.27923121,-171.60247,Alaska pollock,9.125313957
1989,58.20633633,-171.1099374,Alaska pollock,4.095566967
1990,58.27930079,-172.0992065,Alaska pollock,9.130114979
1991,57.87436624,-170.2254766,Alaska pollock,-18.81036941
1992,58.08516558,-170.9584409,Alaska pollock,-4.265214955
1993,57.75171185,-168.5993372,Alaska pollock,-27.27352228
1994,57.64208659,-168.7969027,Alaska pollock,-34.83766508
1995,57.61053468,-168.6528057,Alaska pollock,-37.01474665
1996,57.75905693,-168.7800482,Alaska pollock,-26.76671138
1997,58.12974371,-170.1954702,Alaska pollock,-1.189323362
1998,58.20103086,-168.7909564,Alaska pollock,3.72948972
1999,58.45960676,-172.1637402,Alaska pollock,21.57122683
2000,58.18858102,-170.280047,Alaska pollock,2.87045074
2001,58.24152723,-170.5097437,Alaska pollock,6.523738997
2002,58.2866482,-170.3332766,Alaska pollock,9.63708586
2003,58.03133312,-169.3017899,Alaska pollock,-7.979654078
2004,57.87667581,-169.5004248,Alaska pollock,-18.65100865
2005,58.11850535,-170.781418,Alaska pollock,-1.964770711
2006,57.97992149,-170.5390218,Alaska pollock,-11.52705708
2007,58.05900628,-171.308674,Alaska pollock,-6.070206382
2008,58.26519244,-171.4331657,Alaska pollock,8.156639061
2009,58.32691385,-172.1689802,Alaska pollock,12.41541567
2010,58.3280086,-171.6723143,Alaska pollock,12.49095401
2011,58.06133383,-170.8819255,Alaska pollock,-5.909605407
2012,57.93662643,-169.3445168,Alaska pollock,-14.51441607
2013,58.3017275,-171.2266235,Alaska pollock,10.67755792
2014,57.98797247,-169.6168862,Alaska pollock,-10.97153936
1982,57.66631676,-167.6747444,Pacific halibut,0
1983,57.94113482,-167.3879871,Pacific halibut,18.9624466
1984,57.73315731,-167.0033559,Pacific halibut,4.611998286
1985,57.8507869,-167.9875431,Pacific halibut,12.72843988
1986,57.81990474,-168.5262036,Pacific halibut,10.59757083
1987,57.82315632,-168.8211929,Pacific halibut,10.82192961
1988,57.81033441,-168.6509982,Pacific halibut,9.937217967
1989,57.84164796,-169.0186977,Pacific halibut,12.09785331
1990,57.96173859,-168.7939432,Pacific halibut,20.38410647
1991,57.93211285,-167.4398953,Pacific halibut,18.3399301
1992,57.79223077,-167.7758239,Pacific halibut,8.688067072
1993,58.21327352,-168.2676915,Pacific halibut,37.74001665
1994,57.86864052,-167.8398375,Pacific halibut,13.96033928
1995,57.96518111,-168.2431237,Pacific halibut,20.6216401
1996,58.02218426,-169.130211,Pacific halibut,24.55485758
1997,57.83958718,-168.2591019,Pacific halibut,11.95565937
1998,58.02871764,-169.2052928,Pacific halibut,25.00566058
1999,58.01271128,-169.3135819,Pacific halibut,23.90122223
2000,58.15116193,-169.5072309,Pacific halibut,33.45431702
2001,58.04010581,-168.6652065,Pacific halibut,25.79144487
2002,58.14098006,-168.8646323,Pacific halibut,32.75176809
