"Figure 1. Ocean Carbon Dioxide Levels and Acidity, 1983-2015",,,,,,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,,,,,
"Data source: Bates, 2016; González-Dávila, 2012; Dore, 2015",,,,,,,,,,
Web update: August 2016,,,,,,,,,,
Units: pH; partial pressure in micro-atmospheres,,,,,,,,,,
,,,,,,,,,,
Hawaii Year,Hawaii pH,Hawaii pCO2,,Canary Islands Year,Canary Islands pH,Canary Islands pCO2,,Bermuda Year,Bermuda pH,Bermuda pCO2
1988.833333,8.1097,330.9,,1995.7507,8.0765,377.6526,,1983.6959,8.07,363.187
1988.920765,8.1092,330.6,,1995.7562,8.0743,380.0385,,1983.7726,8.088,343.941
1989.021918,8.1168,324.3,,1995.7644,8.0713,383.1138,,1984.0712,8.146,299.199
1989.156164,8.1316,310.9,,1995.9014,8.0837,370.4347,,1984.1836,8.145,301.419
1989.235616,8.1218,317.7,,1996.0656,8.1117,343.0605,,1984.326,8.144,302.309
1989.378082,8.1158,326.2,,1996.0956,8.1117,343.7156,,1984.4877,8.112,327.279
1989.479452,8.1018,334.3,,1996.1038,8.1149,340.432,,1984.5589,8.031,406.914
1989.575342,8.0991,340.4,,1996.2049,8.1254,330.2408,,1984.6219,8.038,397.747
1989.646575,8.093,343.8,,1996.3142,8.1082,347.1527,,1984.6932,8.086,350.505
1989.726027,8.099,337.8,,1996.3716,8.1013,354.1248,,1984.7534,8.091,346.313
1989.79726,8.0858,350.5,,1996.377,8.1019,353.4874,,1984.8767,8.131,311.384
1989.906849,8.1101,329.7,,1996.3907,8.1037,351.5631,,1984.9607,8.148,297.873
1990.013699,8.1332,310.8,,1996.4481,8.0979,357.3695,,1985.0976,8.149,299.211
1990.126027,8.1229,317.2,,1996.5219,8.0977,357.1688,,1985.1168,8.149,299.024
1990.213699,8.134,310.1,,1996.7404,8.0794,374.8339,,1985.2017,8.14,305.941
1990.282192,8.1229,320.2,,1996.8306,8.0776,376.8813,,1985.2758,8.144,302.23
1990.353425,8.1167,324.3,,1996.9617,8.108,347.2502,,1985.3306,8.138,307.027
1990.449315,8.1232,318.9,,1997.0301,8.1157,340.1547,,1985.4814,8.061,376.281
1990.564384,8.1084,329.7,,1997.2027,8.1001,354.4622,,1985.5551,8.059,377.577
1990.70411,8.085,353.6,,1997.2849,8.103,352.5722,,1985.6483,8.056,379.365
1990.964384,8.1212,322.4,,1997.3671,8.0985,357.0641,,1985.7853,8.102,333.83
1991.093151,8.1256,317.4,,1997.4438,8.0756,379.8772,,1985.8509,8.102,334.496
1991.180822,8.1263,318,,1997.4493,8.0779,377.6578,,1985.9279,8.132,310.511
1991.273973,8.1231,319.2,,1997.5068,8.0729,381.6492,,1986.0921,8.146,300.437
1991.350685,8.1144,326.5,,1997.8466,8.0744,379.0713,,1986.2595,8.154,294.156
1991.427397,8.1139,327.3,,1997.9233,8.0837,370.942,,1986.3222,8.15,297.669
1991.523288,8.112,327.8,,1998.0575,8.1005,355.0427,,1986.4071,8.135,310.109
1991.608219,8.0992,339.7,,1998.1342,8.1121,343.87,,1986.514,8.073,363.177
1991.715068,8.0943,344.4,,1998.2301,8.1007,354.4199,,1986.651,8.06,374.178
1991.805479,8.0981,338.6,,1998.2658,8.1016,353.6248,,1986.7276,8.097,337.306
1991.934247,8.104,334.7,,1998.3151,8.1077,348.0005,,1986.8456,8.122,318.152
1992.013661,8.1177,324.1,,1998.3836,8.0967,358.619,,1986.8895,8.122,318.098
1992.125683,8.1256,317.8,,1998.4822,8.087,367.2647,,1987.0595,8.145,301.544
1992.180328,8.119,321.9,,1998.5014,8.084,370.4682,,1987.1797,8.147,300.903
1992.295082,8.1099,331.7,,1998.7425,8.0669,387.4393,,1987.2372,8.149,299.481
1992.439891,8.1152,325.5,,1998.7671,8.0646,389.6913,,1987.3058,8.142,305.293
1992.510929,8.0977,343,,1998.8822,8.09,363.6441,,1987.399,8.116,325.106
1992.595628,8.0956,342.4,,1998.9589,8.1088,346.1028,,1987.484,8.084,353.438
1992.729508,8.0933,346.2,,1999.0904,8.1224,333.7297,,1987.5443,8.056,379.998
1992.803279,8.087,351.6,,1999.0986,8.1329,324.0626,,1987.6539,8.085,351.335
1992.898907,8.1052,332.3,,1999.1315,8.1331,323.7588,,1987.7991,8.09,343.966
1992.959016,8.1161,324,,1999.2164,8.1223,333.2992,,1987.8621,8.108,329.825
1993.054795,8.1349,309.6,,1999.811,8.0678,386.4509,,1987.9224,8.137,306.591
1993.131507,8.1325,310.8,,1999.8411,8.0772,375.6484,,1988.067,8.148,298.881
1993.287671,8.1074,333.7,,2000.0656,8.1269,328.6619,,1988.185,8.146,302.053
1993.386301,8.1105,331,,2000.0847,8.1196,336.2406,,1988.36,8.11,330.327
1993.706849,8.0802,360.2,,2000.1967,8.1123,343.7966,,1988.4478,8.102,338.259
1993.830137,8.094,345.4,,2000.2568,8.1053,350.2729,,1988.5518,8.059,377.074
1994.054795,8.1508,298.3,,2000.5383,8.0815,372.961,,1988.6449,8.062,371.738
1994.131507,8.1357,309.5,,2000.653,8.0748,379.5525,,1988.7195,8.08,352.817
1994.186301,8.1204,323.4,,2000.7131,8.0721,382.4901,,1988.8069,8.126,313.947
1994.465753,8.1021,336.7,,2000.8852,8.0968,358.3191,,1988.8181,8.096,341.125
1994.564384,8.0858,351.4,,2000.9126,8.0898,365.4017,,1988.8992,8.143,298.698
1994.663014,8.0883,348.4,,2001.0685,8.0981,356.8848,,1988.9692,8.141,303.364
1994.728767,8.0875,349.2,,2001.137,8.0973,357.6541,,1989.0783,8.181,272.018
1994.789041,8.088,349.7,,2001.1425,8.1003,354.6521,,1989.1412,8.177,275.837
1994.884932,8.1048,335.1,,2001.2247,8.1006,354.5687,,1989.2315,8.154,293.406
1995.10137,8.1099,326.9,,2001.2384,8.1045,350.5347,,1989.295,8.133,310.89
1995.172603,8.1171,323.6,,2001.3096,8.1033,351.7244,,1989.3737,8.112,328.879
1995.263014,8.1038,333.9,,2001.3753,8.1017,352.8775,,1989.4754,8.069,369.479
1995.347945,8.1149,325.1,,2001.4904,8.0807,372.9672,,1989.55,8.068,366.841
1995.578082,8.0937,344.7,,2001.6658,8.057,397.9218,,1989.6255,8.101,336.829
1995.660274,8.0933,345.1,,2001.7397,8.0535,402.2744,,1989.8041,8.113,324.45
1995.736986,8.0886,349,,2001.7753,8.0597,394.1292,,1989.909,8.111,330.513
1995.821918,8.0997,339.5,,2002.1589,8.1076,347.3098,,1989.9697,8.123,320.876
1995.879452,8.1135,326.7,,2002.1753,8.1098,346.034,,1990.0456,8.134,310.976
1996.046448,8.1074,331.8,,2002.2877,8.1103,345.4762,,1990.1299,8.137,309.146
1996.237705,8.1122,328.5,,2002.3726,8.1145,340.7661,,1990.201,8.135,311.892
1996.314208,8.1066,332.8,,2002.4959,8.0875,366.8528,,1990.297,8.123,319.539
1996.39071,8.0946,344.3,,2002.7041,8.0687,384.7756,,1990.3547,8.134,311.483
1996.486339,8.0902,344.8,,2002.7945,8.0619,393.9321,,1990.4758,8.093,345.181
1996.571038,8.0889,346.8,,2002.8986,8.0721,382.7021,,1990.5434,8.05,386.612
1996.639344,8.0829,352.7,,2003.0849,8.0925,362.2842,,1990.6181,8.064,371.723
1996.754098,8.0836,352.7,,2003.1397,8.0987,356.2971,,1990.6948,8.056,378.606
1996.830601,8.0924,345.8,,2003.1479,8.105,350.0205,,1990.7876,8.101,336.677
1996.945355,8.1014,337.8,,2003.211,8.1072,347.6251,,1990.8455,8.116,324.431
1997.021918,8.1102,330.4,,2003.2658,8.1045,350.6318,,1990.925,8.136,308.284
1997.134247,8.0856,353,,2003.3699,8.1081,346.8474,,1991.045,8.14,305.702
1997.194521,8.1138,328,,2003.4521,8.0834,371.6667,,1991.117,8.133,312.719
1997.271233,8.1155,326.2,,2003.5425,8.0697,385.6165,,1991.1972,8.141,307.172
1997.347945,8.101,338.2,,2003.6986,8.0558,399.0883,,1991.292,8.13,315.623
1997.424658,8.1058,333.3,,2003.8301,8.053,402.5334,,1991.3664,8.129,316.456
1997.520548,8.0895,350,,2003.8438,8.0539,400.7921,,1991.4678,8.082,357.115
1997.586301,8.089,351,,2004.0656,8.0921,362.8408,,1991.5388,8.059,377.815
1997.734247,8.0805,359.2,,2004.0822,8.0823,373.4633,,1991.6155,8.04,397.842
1997.928767,8.1083,333.2,,2004.1491,8.0973,358.5007,,1991.6998,8.093,342.844
1998.030137,8.1097,332.5,,2004.3048,8.0866,369.3062,,1991.769,8.087,350.555
1998.136986,8.1135,330.1,,2004.3185,8.0957,360.0884,,1991.865,8.122,318.308
1998.210959,8.1044,337.2,,2004.8443,8.0511,406.0189,,1991.9415,8.14,305.597
1998.287671,8.1078,335.4,,2004.9523,8.085,370.6192,,1992.0257,8.14,306.699
1998.364384,8.105,338.1,,2005.0301,8.107,348.7244,,1992.1214,8.113,328.203
1998.460274,8.0937,348.7,,2005.1244,8.1014,353.6434,,1992.1925,8.144,303.035
1998.536986,8.0805,361.6,,2005.1941,8.0816,373.4802,,1992.3071,8.139,308.296
1998.608219,8.0818,358.5,,2005.2856,8.0975,357.1741274,,1992.3818,8.099,342.914
1998.742466,8.076,365.5,,2005.5342,8.0728,382.1555,,1992.4628,8.087,351.755
1998.8,8.0818,359,,2005.574,8.0673,387.0980002,,1992.5366,8.053,383.795
1998.863014,8.0825,359.6,,2005.6546,8.0529,403.2501788,,1992.6328,8.045,391.882
1998.939726,8.0948,347.8,,2005.6712,8.056,398.1445,,1992.7087,8.07,364.511
1999.035616,8.0895,352.7,,2005.7434,8.0516,404.9946,,1992.7852,8.098,338.204
1999.134247,8.0997,344.5,,2005.8267,8.0564,399.9962684,,1992.8642,8.111,329.129
1999.208219,8.135,311.8,,2005.8936,8.0745,380.2393183,,1992.9333,8.132,311.524
1999.284932,8.123,323.7,,2005.9331,8.0856,369.7826484,,1993.0325,8.15,297.288
1999.356164,8.1,345,,2005.9973,8.0937,360.1749,,1993.1078,8.148,299.643
1999.534247,8.0938,345.9,,2006.0329,8.1012,354.1613,,1993.1521,8.139,307.766
