"Figure 1. Precipitation in the Contiguous 48 States, 1901-2015",
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,
"Data source: NOAA, 2016",
Web update: August 2016,
Units: inches,
,
Year,Anomaly (inches)
1901,-2.31
1902,0.69
1903,-0.58
1904,-1.99
1905,2.66
1906,2.9
1907,1
1908,-0.14
1909,1.25
1910,-5.03
1911,-0.42
1912,0.54
1913,-0.1
1914,-1.13
1915,2.83
1916,-0.52
1917,-4.59
1918,-1.16
1919,1.82
1920,1.36
1921,-1.16
1922,-0.05
1923,1.74
1924,-3.42
1925,-2.98
1926,1
1927,2.12
1928,-0.44
1929,0.21
1930,-4.36
1931,-2.42
1932,0.5
1933,-2.44
1934,-4.15
1935,-0.46
1936,-2.66
1937,0.57
1938,-0.2
1939,-3.61
1940,0.47
1941,2.87
1942,1.39
1943,-3.13
1944,0.68
1945,3.09
1946,1.15
1947,-0.59
1948,0.75
1949,0.36
1950,0.93
1951,1.31
1952,-3.6
1953,-1.63
1954,-3.79
1955,-2.2
1956,-4.56
1957,3.93
1958,0.29
1959,0.66
1960,-1.19
1961,1.31
1962,-1.34
1963,-4.24
1964,0.32
1965,-0.14
1966,-2.48
1967,-0.34
1968,0.45
1969,0.69
1970,-0.24
1971,0.39
1972,1.76
1973,5.02
1974,0.68
1975,3.09
1976,-3.63
1977,0.5
1978,0.2
1979,2.81
1980,-1.67
1981,0.02
1982,3.92
1983,4.82
1984,1.46
1985,0.03
1986,1.44
1987,-0.93
1988,-4.04
1989,-0.89
1990,2.23
1991,2.5
1992,1.32
1993,2.68
1994,0.68
1995,2.75
1996,3.76
1997,1.92
1998,3.95
1999,-1.47
2000,-1.72
2001,-0.92
2002,-0.89
2003,0.57
2004,3.31
2005,0.14
2006,-0.12
2007,-0.76
2008,1.3
2009,2.36
2010,1.43
2011,0.16
2012,-2.41
2013,1.12
2014,0.91
2015,4.63
