"Figure 2. Precipitation Worldwide, 1901-2015",
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,
"Data source: Blunden and Arndt, 2014",
Web update: August 2016,
Units: inches,
,
Year,Anomaly (inches)
1901,-0.838933524
1902,-1.961768776
1903,-0.571216844
1904,-1.076335227
1905,-1.129484862
1906,-0.272397785
1907,-0.508618385
1908,-0.181059153
1909,0.080358311
1910,-0.004287404
1911,-1.196020331
1912,-0.907831199
1913,-1.094839174
1914,-1.205862856
1915,-0.432634092
1916,1.72169778
1917,0.56027983
1918,-0.435389999
1919,-1.387359017
1920,-0.13263393
1921,0.43429551
1922,0.718941333
1923,0.350043496
1924,0.41067345
1925,-0.377909653
1926,-0.646020034
1927,0.405161636
1928,0.068547281
1929,-0.208618223
1930,-1.202713248
1931,-0.567279834
1932,-0.553894
1933,0.141381966
1934,0.335082858
1935,-0.044838607
1936,0.267759987
1937,-0.251925333
1938,-0.105468561
1939,0.230752093
1940,-1.023185592
1941,-0.96728005
1942,-0.125941013
1943,-0.243263911
1944,-0.204287512
1945,-0.159011897
1946,-0.235783592
1947,0.760279938
1948,0.271303296
1949,0.002405513
1950,1.146500619
1951,-0.246019818
1952,0.026027573
1953,0.561854634
1954,1.526422084
1955,1.55240635
1956,1.901225436
1957,0.149255986
1958,0.597287724
1959,1.008705269
1960,0.919728843
1961,0.83980754
1962,0.521303431
1963,-0.064129956
1964,0.39492541
1965,-0.670429496
1966,0.331145848
1967,0.376421463
1968,-0.465704976
1969,0.126421328
1970,0.740988589
1971,-0.012161424
1972,-0.626334984
1973,1.509886642
1974,1.14689432
1975,1.110280127
1976,-0.257830848
1977,-0.447201029
1978,0.365397835
1979,0.888626464
1980,0.377208865
1981,0.533508162
1982,-0.712161802
1983,-1.086177752
1984,0.019334656
1985,-0.184602462
1986,-0.809012248
1987,-1.322398352
1988,0.84768156
1989,0.589020003
1990,0.117366205
1991,-0.662555476
1992,-1.575154394
1993,-0.997595027
1994,-0.161767804
1995,-0.604287728
1996,0.683901944
1997,-0.146019764
1998,0.407130141
1999,1.33980781
2000,1.890201808
2001,-0.125153611
2002,-0.477516006
2003,0.148074883
2004,0.614610568
2005,0.409886048
2006,1.449256688
2007,0.420515975
2008,1.30831173
2009,-0.17987805
2010,2.15476888
2011,1.959886885
2012,0.15870481
2013,0.134689049
2014,0.007129925
2015,-0.055468534
