"Figure 3. Change in Precipitation in the United States, 1901-2015",
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,
"Data source: NOAA, 2016",
Web update: August 2016,
Units: percent change,
,
Climate Division ID,Precipitation Change
101,0.127929695
102,0.076021224
103,0.069861156
104,0.03774086
105,0.04703608
106,0.035134631
107,0.041886369
108,0.04651415
201,-0.124327152
202,-0.109544436
203,-0.083446854
204,-0.130855274
205,-0.090427482
206,-0.102000965
207,-0.021935846
301,0.078938495
302,0.084297741
303,0.051408358
304,0.12734504
305,0.068171626
306,0.005009806
307,0.114914295
308,0.074888488
309,0.03485741
401,-0.009867859
402,0.001331595
403,-0.068840743
404,-0.013807872
405,-0.02836458
406,-0.147226514
407,-0.126526623
501,-0.015748601
502,-0.000357093
503,-0.030402066
504,0.058813951
505,-0.037083202
601,0.04979028
602,0.093567427
603,0.044959259
701,0.05419871
702,0.039417191
801,0.015611452
802,0.026483297
803,-0.019917694
804,-0.029121007
805,0.015568074
806,0.016997774
807,0.011753225
901,0.041544183
902,0.048612418
903,-0.019928837
904,0.010925686
905,-0.029956708
906,-0.010564777
907,-0.00061966
908,-0.003029045
909,0.010821094
1001,0.121086798
1002,0.006675002
1003,-0.021815221
1004,0.011937252
1005,0.02634412
1006,-0.00858155
1007,-0.023726075
1008,-0.053874385
1009,-0.008057604
1010,0.054264823
1101,0.142380611
1102,0.167136573
1103,0.168630316
1104,0.13269114
1105,0.134991007
1106,0.107360864
1107,0.138782411
1108,0.124118038
1109,0.126178009
1201,0.125002171
1202,0.118317603
1203,0.105528767
1204,0.151900176
1205,0.136998984
1206,0.089670106
1207,0.142802471
1208,0.149123283
1209,0.158972563
1301,0.069714503
1302,0.12347092
1303,0.145290192
1304,0.147238997
1305,0.160673814
1306,0.16010543
1307,0.156189995
1308,0.152751989
1309,0.16134595
1401,0.04138501
1402,0.1139684
1403,0.083104027
1404,0.084458499
1405,0.127031214
1406,0.097090765
1407,0.078486726
1408,0.145956616
1409,0.131630461
1501,0.126842115
1502,0.098365693
1503,0.102899124
1504,0.044327728
1601,0.089048301
1602,0.095181953
1603,0.099524053
1604,0.113474762
1605,0.095871899
1606,0.064456253
1607,0.085828004
1608,0.068163129
1609,0.056925266
1701,0.153240364
1702,0.138871201
1703,0.168239546
1801,0.067204839
1802,0.046464738
1803,0.049651736
1804,0.059158015
1805,0.040963671
1806,0.086661322
1807,0.051626238
1808,0.066318859
1901,0.127835033
1902,0.186080656
1903,0.183828658
2001,0.057080295
2002,0.11564135
2003,0.20633957
2004,0.141798473
2005,0.216710795
2006,0.191021194
2007,0.15035947
2008,0.152346521
2009,0.170676995
2010,0.161231264
2101,0.123728145
2102,0.117085367
2103,0.118796757
2104,0.142993423
2105,0.191835668
2106,0.161156778
2107,0.113447611
2108,0.12960897
2109,0.166465113
2201,0.07456682
2202,0.117388568
2203,0.160062653
2204,0.106617617
2205,0.157447987
2206,0.133497817
2207,0.099701602
2208,0.07648699
2209,0.028035377
2210,0.058349694
2301,0.086093797
2302,0.126544361
2303,0.082235376
2304,0.080351493
2305,0.09371145
2306,0.113661982
2401,0.013378844
2402,-0.067577453
2403,0.001770145
2404,-0.025047185
2405,0.044763032
2406,0.065533964
2407,0.072930472
2501,-0.010450722
2502,0.072286739
2503,0.059748636
2505,0.050344711
2506,0.060047517
2507,0.005178713
2508,0.087480009
2509,0.066614459
2601,0.03697019
2602,0.00534041
2603,-0.008002724
2604,-0.118469972
2701,0.177461302
2702,0.198824302
2801,0.077059014
2802,0.057254957
2803,0.043456804
2901,-0.068856984
2902,0.011114667
2903,-0.00782435
2904,-0.03695666
2905,0.023379058
2906,-0.000140459
2907,-0.007818295
2908,0.072324606
3001,0.087794618
3002,0.124641864
3003,0.105043396
3004,0.042920737
3005,0.135376197
3006,0.089340559
3007,0.196975437
3008,0.161560059
3009,0.14775584
3010,0.151246021
3101,0.01009994
3102,-0.009644931
3103,-0.006094628
3104,-0.04914092
3105,-0.059726762
3106,0.035950437
3107,0.007638328
3108,-0.000320261
3201,0.097220965
3202,0.16924703
3203,0.126966081
3204,0.075325859
3205,0.081568658
3206,0.105448392
3207,0.062228715
3208,0.108477195
3209,0.087390733
3301,0.087055068
3302,0.069594364
3303,0.156612736
3304,0.083835905
3305,0.02865503
3306,0.078839802
3307,0.06267355
3308,0.055101078
3309,0.030663229
3310,0.036810021
3401,0.016576262
3402,0.118220073
3403,0.131221004
3404,0.080508377
3405,0.143406741
3406,0.122718966
3407,0.067365705
3408,0.101264816
3409,0.124916062
3501,0.024540652
3502,0.062916506
3503,0.031666852
3504,0.074803269
3505,0.063505688
3506,0.059004713
3507,0.024501838
3508,0.017646683
3509,0.040372307
3601,0.100946943
3602,0.05687182
3603,0.078692647
3604,0.052501464
3605,0.037560217
3606,0.099017074
3607,0.044800246
3608,0.060108632
3609,0.051266586
3610,0.09020844
3701,0.134379301
3801,-0.017205693
3802,-0.053004327
3803,-0.047727624
3804,0.02765726
3805,0.012201799
3806,0.012099688
3807,0.065846575
3901,0.100141313
3902,0.088799773
3903,0.034904919
3904,0.012125564
3905,0.039953517
3906,0.198412592
3907,0.123041601
3908,0.142965708
3909,0.081575368
4001,0.053978939
4002,0.101707311
4003,0.101864975
4004,0.131938786
4101,-0.010400063
4102,0.063970636
4103,0.141830891
4104,0.106648113
4105,0.066605044
4106,0.029753723
4107,0.108751829
4108,0.164562901
4109,0.081430493
4110,0.11878159
4201,0.045817726
4202,-0.097114056
4203,0.074023221
4204,-0.020753528
4205,-0.017997097
4206,-0.017522031
4207,-0.048796935
4301,0.214559946
4302,0.226846382
4303,0.208044349
4401,0.066409159
4402,0.04934448
4403,0.05251128
4404,0.104854281
4405,0.048980715
4406,0.00498341
4501,0.039775337
4502,0.080293812
4503,0.1092699
4504,0.083474015
4505,0.082548968
4506,0.028450134
4507,0.040121097
4508,0.065055176
4509,0.120889956
4510,0.016763605
4601,0.037302302
4602,0.029762818
4603,0.026151925
4604,-0.004120004
4605,-0.045631706
4606,0.080743576
4701,0.117056726
4702,0.060375305
4703,0.065310861
4704,0.104076411
4705,0.051959638
4706,0.054133059
4707,0.129067586
4708,0.138257563
4709,0.130527894
4801,0.0520951
4802,0.077294358
4803,0.010408318
4804,0.005146841
4805,-0.017841759
4806,0.012680639
4807,-0.009725139
4808,-0.019283505
4809,-0.050469079
4810,-0.00824578
5001,-0.005166251
5002,0.082019255
5003,-0.054974962
5004,0.085071546
5005,-0.017007116
5006,-0.046657595
5007,0.008202464
5008,-0.015547834
5009,-0.081384335
50010,-0.076532636
50011,0.113372812
50012,0.054758864
50013,-0.03578786
