"Figure 1. Change in the Magnitude of River Flooding in the United States, 1965–2015",,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
"Data source: Slater and Villarini, 2016",,
Web update: August 2016,,
Units: tau value,,
,,
latitude,longitude,value
39.98500557,-100.560148,-0.456762284
39.76984922,-100.1007792,-0.314509809
37.87159374,-98.8761373,-0.312524766
35.47310419,-100.1209501,-0.298156142
37.75555042,-109.476511,-0.249468043
21.51627778,-157.9453056,-0.23793982
31.35537817,-110.5895264,-0.236394539
41.03244444,-98.74053333,-0.231931418
45.75552297,-87.2015238,-0.230675325
45.27445746,-84.60003148,-0.229289532
45.7635697,-88.4631785,-0.228594139
35.59068629,-81.56703706,-0.228235289
45.41539777,-122.1714746,-0.225274786
39.20153889,-114.6891611,-0.221656248
35.15888889,-83.39416667,-0.220912561
33.73644059,-110.1667671,-0.218823522
47.78723694,-102.7685256,-0.217487976
39.80054181,-106.0264066,-0.216949791
40.64986273,-123.4942046,-0.215774596
35.1681083,-99.5073128,-0.214117646
62.3464388,-150.019201,-0.213409945
46.49910267,-87.88652383,-0.211146057
41.79150263,-124.0761887,-0.20941177
38.911914,-111.530465,-0.206436485
33.8222723,-109.8145413,-0.206219316
29.46690801,-96.81275597,-0.20243232
46.03052857,-86.16124902,-0.201797441
39.70626687,-123.3252913,-0.201392561
37.47981018,-83.67519226,-0.199450493
35.39611111,-82.9375,-0.198035762
36.31138889,-80.80722222,-0.194524065
35.68444444,-81.40333333,-0.191598102
39.42822378,-123.7377917,-0.191188976
35.6675,-83.07361111,-0.188725546
44.82190984,-90.07957543,-0.188571423
44.38595381,-123.831778,-0.187033772
41.53461752,-117.4179047,-0.186198473
34.89037075,-83.53044102,-0.185754806
42.11049394,-110.7096212,-0.183601409
33.76002112,-116.5500155,-0.180173978
20.81769444,-156.1410278,-0.179034293
41.2992896,-124.0511825,-0.177603498
41.37762652,-123.4775582,-0.177463815
33.0998535,-83.72351041,-0.177142859
29.47273118,-100.2364633,-0.176609159
47.5860461,-115.355153,-0.171587065
35.42345364,-82.11149778,-0.171181917
40.35125028,-124.0039312,-0.170004219
27.96501329,-98.96696778,-0.168627456
36.175,-81.16888889,-0.167321488
42.73110419,-90.64040529,-0.166734904
39.87579282,-111.0373878,-0.165740818
30.06409747,-99.38699162,-0.164225623
33.80501929,-116.5591816,-0.1636834
41.01095903,-124.0817333,-0.163329527
34.72863146,-111.775708,-0.163201258
43.57414037,-90.64318611,-0.162581742
40.48041636,-123.8908761,-0.161632016
29.48856496,-99.70477562,-0.159340709
42.16583333,-113.9836111,-0.158771783
34.62425473,-86.30637373,-0.157171234
41.93323682,-115.6745268,-0.156462565
20.08533333,-155.6811667,-0.15632382
28.29195088,-97.27915932,-0.154509798
35.1275,-83.61861111,-0.154270932
37.80290223,-80.04700431,-0.153785795
19.763625,-155.1516748,-0.152617618
32.83477372,-116.6230747,-0.152336195
43.17690132,-109.2029109,-0.151489407
34.28537757,-87.39890838,-0.151360527
64.88568988,-147.2496477,-0.150842994
34.53863606,-111.6940356,-0.150265425
35.14333333,-82.82472222,-0.149195239
34.81398141,-83.30599301,-0.145939589
36.07138889,-81.40305556,-0.145484388
46.42667116,-102.5518303,-0.14521198
34.22222629,-118.1775727,-0.14521198
29.2152475,-97.44943529,-0.145098045
46.08638889,-115.9766667,-0.145098045
30.91156805,-98.0369676,-0.142801091
48.39577639,-93.54932667,-0.142408252
32.19555556,-83.90222222,-0.14207226
43.16666553,-101.6301489,-0.141455635
42.89149904,-124.0706521,-0.141454116
43.45215258,-110.7040913,-0.141159162
37.67219924,-113.0346702,-0.138201907
29.56967272,-99.24670636,-0.135686278
35.83150735,-82.18428691,-0.134328514
39.031109,-97.0402922,-0.134117648
37.72901408,-80.04228024,-0.132653043
37.50623973,-80.10671504,-0.132624373
35.46166667,-82.86972222,-0.131289676
39.13906876,-97.83695994,-0.131083235
42.72027114,-90.81929352,-0.130772471
42.80400356,-123.6109071,-0.130247161
33.9126719,-78.71501746,-0.129513383
28.57277286,-82.15536307,-0.129513383
41.74437546,-111.7843867,-0.129243627
34.42083115,-117.8395072,-0.129032269
47.02779158,-103.0532355,-0.126634032
44.04984478,-123.4262097,-0.126373664
43.34984202,-122.7289415,-0.126373664
20.8068611,-156.1142222,-0.126274511
45.94302355,-86.70569966,-0.125277951
42.09605297,-110.4165559,-0.124335639
48.32958017,-120.6917669,-0.124067627
32.73289717,-99.14062992,-0.123351768
36.64734972,-80.978969,-0.122497149
42.32158056,-96.48768333,-0.12183173
31.34294923,-85.61049115,-0.120831698
36.21467719,-120.4707116,-0.120094225
39.61563755,-79.70477427,-0.118561082
47.15445301,-102.0598921,-0.117599033
36.57097103,-80.12949277,-0.117323749
37.03920157,-98.47021478,-0.116862744
45.30802638,-90.95652506,-0.114644766
41.70001652,-91.48766843,-0.114644766
29.50467576,-99.78144517,-0.114554726
34.59665633,-119.9087519,-0.114554726
36.89678115,-81.74622934,-0.113814786
39.64581933,-106.3822512,-0.113701738
60.4769289,-151.0816675,-0.113069184
36.25027778,-81.04444444,-0.112019777
35.15,-83.37972222,-0.111679547
47.23612594,-102.7699074,-0.111162685
35.66169371,-106.743369,-0.111065753
43.14277778,-110.9766667,-0.109191015
47.27464004,-116.1890492,-0.108533643
42.70896944,-73.196773,-0.107887298
45.70399863,-123.755405,-0.107789673
21.36349907,-157.8442,-0.10687644
39.06265453,-96.15025179,-0.10513927
