"Figure 2. Change in the Frequency of River Flooding in the United States, 1965–2015",,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
"Data source: Slater and Villarini, 2016",,
Web update: August 2016,,
Units: slope value,,
,,
latitude,longitude,value
38.88743023,-117.2453673,-0.477550834
42.16583333,-113.9836111,-0.030381305
39.76984922,-100.1007792,-0.029986972
37.87159374,-98.8761373,-0.025624265
33.73644059,-110.1667671,-0.025141266
45.7635697,-88.4631785,-0.025004384
33.80501929,-116.5591816,-0.023222597
35.47310419,-100.1209501,-0.022744046
33.8222723,-109.8145413,-0.022739437
42.09605297,-110.4165559,-0.020429615
43.45215258,-110.7040913,-0.019834542
38.911914,-111.530465,-0.019616446
33.76002112,-116.5500155,-0.019402241
46.15417025,-102.4740467,-0.019256611
21.51627778,-157.9453056,-0.019137015
45.75552297,-87.2015238,-0.018912111
27.96501329,-98.96696778,-0.018878913
47.23612594,-102.7699074,-0.01883426
45.94302355,-86.70569966,-0.018586606
43.14277778,-110.9766667,-0.017977413
46.42667116,-102.5518303,-0.017945076
39.80054181,-106.0264066,-0.017859683
39.20153889,-114.6891611,-0.017797427
41.93323682,-115.6745268,-0.017744992
45.27445746,-84.60003148,-0.017340887
39.23833024,-95.88859924,-0.017256938
39.70626687,-123.3252913,-0.017254855
22.13570783,-159.5577568,-0.017197751
42.11049394,-110.7096212,-0.017016902
37.75555042,-109.476511,-0.016631298
33.74502178,-116.5355709,-0.01626167
22.08573716,-159.5688692,-0.016079981
22.13267463,-159.61998,-0.015880248
39.97939105,-112.3802297,-0.015517032
37.33938634,-118.9734513,-0.015457928
46.49910267,-87.88652383,-0.015443216
41.74437546,-111.7843867,-0.015441658
39.10740708,-120.1621352,-0.015426485
20.08533333,-155.6811667,-0.015423063
36.89678115,-81.74622934,-0.015171072
39.43157246,-120.2379793,-0.015116526
35.38722222,-79.83138889,-0.014555572
35.15888889,-83.39416667,-0.014422701
36.37225823,-104.9700026,-0.014290563
46.03052857,-86.16124902,-0.014153167
44.08527778,-115.6222222,-0.014148471
42.80400356,-123.6109071,-0.013868153
34.81398141,-83.30599301,-0.013782549
39.87579282,-111.0373878,-0.013709542
40.05460222,-122.0241542,-0.013681767
31.02527778,-89.01666667,-0.013635786
30.32578122,-82.73818263,-0.013447786
22.0687665,-159.4152575,-0.013235566
43.57773999,-107.1383995,-0.013215621
43.65944444,-115.7272222,-0.013182684
62.3464388,-150.019201,-0.013144467
31.35537817,-110.5895264,-0.013099315
30.33937764,-96.90470373,-0.01308765
47.15445301,-102.0598921,-0.012901231
33.69421054,-111.541802,-0.012626355
40.35125028,-124.0039312,-0.012509344
35.1681083,-99.5073128,-0.012404624
45.0069097,-107.6150953,-0.012360595
29.31430556,-99.4804722,-0.01235978
37.26817845,-80.70951247,-0.012148048
37.16509314,-83.30795645,-0.01209263
35.66169371,-106.743369,-0.011986219
55.3916038,-131.1955833,-0.011981629
30.6257499,-97.69112037,-0.01195099
40.64986273,-123.4942046,-0.011884004
36.64868056,-91.20081944,-0.011793607
36.37083333,-77.02555556,-0.011650854
36.21467719,-120.4707116,-0.011565206
48.39577639,-93.54932667,-0.011434951
20.8068611,-156.1142222,-0.01143391
44.50801953,-107.4036886,-0.011352163
35.68444444,-81.40333333,-0.011289725
41.53461752,-117.4179047,-0.011196963
35.23553035,-120.4723857,-0.011089308
35.42345364,-82.11149778,-0.011079761
19.763625,-155.1516748,-0.011036524
38.51907831,-120.2126928,-0.011008159
35.39611111,-82.9375,-0.010981493
32.64845613,-99.00451456,-0.010945166
36.62303333,-92.248125,-0.010867218
41.79150263,-124.0761887,-0.010808662
38.71462743,-119.7648985,-0.010636923
34.42083115,-117.8395072,-0.010519623
47.5860461,-115.355153,-0.010514655
40.48041636,-123.8908761,-0.010480353
22.17838209,-159.4185902,-0.010323158
46.37611111,-100.9344444,-0.010260598
35.59068629,-81.56703706,-0.010244122
48.49524417,-114.0101189,-0.010097683
39.64831927,-106.3230833,-0.01000188
46.15083333,-115.5872222,-0.00998118
46.57501478,-85.26955476,-0.009970148
28.29195088,-97.27915932,-0.009932344
44.91361111,-115.9972222,-0.009918988
39.031109,-97.0402922,-0.009887825
35.18277778,-79.1775,-0.009885949
43.17690132,-109.2029109,-0.009835865
37.41763318,-79.93531928,-0.009832495
34.22222629,-118.1775727,-0.009689574
40.69076057,-115.477003,-0.00961093
34.72863146,-111.775708,-0.009564905
29.56967272,-99.24670636,-0.009354838
36.99737383,-78.34971815,-0.009310391
64.88568988,-147.2496477,-0.009296989
33.9126719,-78.71501746,-0.009265078
47.02779158,-103.0532355,-0.009232356
38.71069034,-95.8360288,-0.009087323
35.49590598,-87.83280366,-0.009034099
41.90280739,-89.69622298,-0.008857474
29.50467576,-99.78144517,-0.00873706
33.47928058,-87.5972297,-0.008685725
36.26802087,-121.066303,-0.008607678
37.73159272,-119.5587736,-0.008495479
39.11632734,-95.01088111,-0.00843113
30.91156805,-98.0369676,-0.008377031
39.23220666,-107.2272726,-0.00831459
40.77994627,-111.806045,-0.008288324
30.99602322,-92.67375497,-0.008243976
37.47981018,-83.67519226,-0.008213979
37.56132196,-121.6838389,-0.008199633
39.72959972,-123.6439073,-0.008104859
21.56233333,-158.00025,-0.008077919
39.09938003,-95.72495226,-0.008061087
43.34984202,-122.7289415,-0.008031427
36.40217399,-120.4334917,-0.007949331
29.2152475,-97.44943529,-0.007927505
34.89037075,-83.53044102,-0.007831401
29.48856496,-99.70477562,-0.007828419
47.38649132,-121.8462217,-0.007814521
42.89149904,-124.0706521,-0.007575347
46.58410589,-88.57596973,-0.007546579
32.83477372,-116.6230747,-0.007538407
37.64202341,-84.66077678,-0.007402144
35.1275,-83.61861111,-0.007402144
37.40236944,-93.80202778,-0.007314227
29.46690801,-96.81275597,-0.007299806
35.92120028,-94.8385633,-0.007233141
37.15408056,-91.35816111,-0.007176293
33.06117891,-108.5372751,-0.007152209
34.59665633,-119.9087519,-0.007137736
39.12705242,-79.46838516,-0.007091335
32.19555556,-83.90222222,-0.006960506
30.33659809,-95.10409994,-0.00696006
39.13906876,-97.83695994,-0.00696006
44.09284191,-72.33565327,-0.00693146
43.03328014,-92.50354351,-0.006876939
34.53863606,-111.6940356,-0.006787989
35.6675,-83.07361111,-0.006779295
36.25548056,-94.43394167,-0.006768655
33.81287833,-98.08504064,-0.006689571
40.01404745,-121.9483181,-0.006684244
37.07931121,-78.76361777,-0.006517469
35.14333333,-82.82472222,-0.006497275
39.42822378,-123.7377917,-0.006436876
37.71687138,-119.6662788,-0.006429077
30.64351548,-99.09588478,-0.006429077
37.19855659,-119.2137328,-0.006420911
36.56819358,-79.98726539,-0.006362589
45.1118797,-110.7943814,-0.006315844
37.67219924,-113.0346702,-0.006308488
35.83150735,-82.18428691,-0.006265132
28.95998449,-96.6863668,-0.006243269
30.69875,-92.89319444,-0.006166671
38.15853056,-91.10845833,-0.006163979
46.08638889,-115.9766667,-0.006134247
