"Figure 1. Ice Breakup Dates for Two Alaskan Rivers, 1896-2016",,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
"Data source: Nenana Ice Classic, 2016; Yukon River Breakup, 2016",,
Web update: August 2016,,
Units: Days from January 1,,
,,
Year,Yukon River,Tanana River
1896,140,
1897,137,
1898,128,
1899,137,
1900,128,
1901,134,
1902,131,
1903,133,
1904,128,
1905,130,
1906,131,
1907,125,
1908,128,
1909,131,
1910,131,
1911,127,
1912,130,
1913,134,
1914,130,
1915,123,
1916,124,
1917,135,120
1918,131,131
1919,131,123
1920,139,132
1921,132,131
1922,134,132
1923,130,129
1924,129,132
1925,129,127
1926,123,116
1927,133,133
1928,130,127
1929,127,125
1930,130,128
1931,131,130
1932,123,122
1933,129,128
1934,122,120
1935,136,135
1936,126,121
1937,130,132
1938,132,126
1939,132,119
1940,119,111
1941,120,123
1942,126,120
1943,122,118
1944,126,125
1945,136,136
1946,129,125
1947,129,123
1948,133,134
1949,133,134
1950,130,126
1951,128,120
1952,133,133
1953,125,119
1954,132,126
1955,133,129
1956,128,122
1957,129,125
1958,124,119
1959,135,128
1960,125,123
1961,129,125
1962,136,132
1963,125,125
1964,149,141
1965,138,127
1966,131,128
1967,132,124
1968,130,129
1969,125,118
1970,131,124
1971,132,128
1972,132,131
1973,128,124
1974,130,126
1975,129,130
1976,126,123
1977,127,126
1978,126,120
1979,122,120
1980,127,120
1981,128,120
1982,133,130
1983,121,119
1984,129,130
1985,136,131
1986,132,128
1987,129,125
1988,122,118
1989,119,121
1990,120,114
1991,120,121
1992,129,135
1993,119,113
1994,121,119
1995,120,116
1996,128,126
1997,124,120
1998,124,110
1999,128,119
2000,126,122
2001,128,128
2002,132,127
2003,127,119
2004,125,115
2005,119,118
2006,131,122
2007,124,117
2008,125,127
2009,123,121
2010,120,119
2011,127,124
2012,122,114
2013,135,140
2014,122,115
2015,124,114
2016,114,114
