"Figure 1. Average August Temperatures in the Snake River, 1960–2015",
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,
"Data source: USGS, 2016",
Web update: August 2016,
Units: °F,
,
Year,meantemp_F
1960,70.83064516
1961,74.32647059
1962,71.93387097
1963,72.80483871
1964,69.64032258
1965,70.87678571
1966,71.255
1967,73.45806452
1968,69.59677419
1969,67.1
1970,71.89032258
1971,71.61451613
1972,73.88913043
1973,71.03387097
1974,68.60967742
1976,68.62419355
1977,70.64193548
1978,68.82741935
1979,71.62903226
1980,69.82903226
1981,72.05
1982,70.42419355
1983,71.80322581
1986,73.02258065
1987,70.74354839
1988,70.46774194
1989,71.36774194
1990,71.71612903
1991,71.9483871
1992,71.18103448
1993,69.35
1994,73.09516129
1995,70.52580645
1996,70.32258065
1997,72.23870968
1998,74.24193548
1999,71.68709677
2000,71.13548387
2001,72.176
2002,70.72903226
2003,72.96451613
2004,71.89032258
2005,71.86709677
2006,72.00064516
2007,71.63483871
2008,71.62322581
2009,72.06451613
2010,71.18774194
2011,71.71032258
2012,72.66258065
2013,72.95870968
2014,72.24451613
2015,72.62774194
