"Figure 2. Snow-Covered Area in North America by Season, 1972-2015",,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,
"Data source: Rutgers University Global Snow Lab, 2016",,,,
Web update: August 2016,,,,
Units: square miles,,,,
,,,,
Year,Winter,Spring,Summer,Fall
1972,5730436.609,4168021.841,1025775.624,2706970.988
1973,5736993.267,4034464.729,1063340.919,2537771.37
1974,5688949.417,4472876.008,838031.6473,2402507.686
1975,5676596.465,4604734.143,771889.6447,2479150.895
1976,5680888.762,4026058.77,1098074.411,2439384.56
1977,5571133.69,4127751.386,1028260.835,2253765.561
1978,6108546.453,4503514.63,1366254.922,2516117.216
1979,6266576.651,4569863.455,1085326.605,1950917.195
1980,5697502.481,4099744.694,924200.3827,2135493.332
1981,5158634.241,4026532.775,1080329.542,2290839.09
1982,6019423.393,4439744.582,584213.7508,2399690.169
1983,5677917.706,4264635.026,693573.0689,2395343.303
1984,6023364.209,4036586.489,501225.0814,2360224.48
1985,6094530.816,4513572.72,1053725.302,2590846.646
1986,6008334.024,4059610.661,887802.2748,2711785.168
1987,5565700.846,3859346.293,823074.0497,1926458.138
1988,5793931.881,3821040.454,537701.8255,2227143.817
1989,5587260.533,4093240.16,517009.5812,2402099.318
1990,5744354.82,3891033.311,489734.2951,2156157.134
1991,5694421.772,3829812.952,693926.2237,2625826.343
1992,5448024.887,3965067.37,701794.857,2598312.703
1993,6074657.495,3921591.881,453096.8038,2530450.615
1994,5725284.333,3913648.987,574966.3467,2268372.578
1995,5652359.159,4147032.298,650257.9408,2523791.254
1996,5700385.506,4347992.166,663044.486,2783095.405
1997,5789218.603,4497529.789,798452.1863,2515140.12
1998,5650321.183,3909904.183,538506.0763,2129050.96
1999,5573696.636,4017820.766,570186.7881,2165114.446
2000,5523691.387,3912960.696,667887.7515,2642978.159
2001,6079873.091,4119033.071,714566.4729,2287747.699
2002,5705757.731,4326227.072,720216.5632,2721166.163
2003,5724627.831,4115174.108,673539.901,2606385.456
2004,6010103.402,4043421.398,683623.7311,2520924.574
2005,5659503.593,3838657.266,625984.8564,2313857.472
2006,5663000.907,3901827.44,583189.8079,2389104.793
2007,5838877.647,3918661.88,583999.078,2344351.82
2008,6103243.211,4272877.278,418111.4437,2438825.613
2009,5971448.655,4191448.204,453630.5257,2421844.197
2010,6288348.823,3530648.258,363146.7125,2499141.849
2011,6152596.462,4293724.864,380269.185,2460892.381
2012,5557369.405,3743478.579,287326.9307,2527687.54
2013,5990554.277,4377074.024,484249.8426,2651532.51
2014,6015911.794,4155280.213,443942.9651,2905396.867
2015,5758485.901,3770635.332,335259.5832,2591977.539
