"Figure 3. Snow Cover Season in the United States, 1972–2013",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: NOAA, 2015",,,
Web update: August 2016,,,
Units: Julian days (start and end); days (duration),,,
,,,
Year,First Snow,Duration,Last Snow
1972,324,167,491
1973,318,153,471
1974,334,154,488
1975,315,153,468
1976,332,138,470
1977,321,159,480
1978,317,162,479
1979,328,146,474
1980,333,130,463
1981,315,162,477
1982,317,167,484
1983,317,162,479
1984,319,161,480
1985,305,163,468
1986,316,154,470
1987,327,139,466
1988,327,142,469
1989,319,140,459
1990,324,138,462
1991,310,140,450
1992,317,153,470
1993,313,148,461
1994,318,155,473
1995,316,157,473
1996,310,170,480
1997,306,164,470
1998,316,150,466
1999,337,120,457
2000,313,153,466
2001,326,137,463
2002,323,138,461
2003,313,142,455
2004,326,130,456
2005,324,137,461
2006,328,130,458
2007,325,144,469
2008,317,147,464
2009,304,154,458
2010,318,151,469
2011,320,136,456
2012,320,153,473
2013,313,149,462
