"Figure 2. Change in Snow-to-Precipitation Ratio in the Contiguous 48 States, 1949-2016",,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,
"Data source: NOAA, 2016",,,,
Web update: August 2016,,,,
Units: percent change,,,,
,,,,
State,Lat,Long,"Percent change, 1949-2015","Significant (1 = sig, 0 = non-sig)"
CA,41.5306,-120.1803,-42.8666,1
CA,39.0911,-120.9481,1.3869,0
CA,41.3089,-123.5317,-0.7303,0
CA,39.1678,-120.1428,-1.1256,0
CA,41.7036,-122.6408,-15.7584,1
CO,39.9919,-105.2667,-0.2613,0
CO,38.8219,-102.3508,10.1773,0
CO,37.6908,-106.3083,-1.4673,0
CO,39.6261,-106.0353,-1.34,1
CO,40.5764,-105.0858,-1.4807,0
CO,38.5253,-106.9672,-2.68,0
CO,37.7717,-107.1097,-0.0201,0
CO,38.0517,-102.1317,-17.0917,0
CO,38.0936,-102.6306,-14.07,0
CO,38.0636,-103.2153,-9.3532,0
CO,38.0392,-103.6933,5.8357,0
CO,37.9492,-107.8736,2.077,0
DE,39.7739,-75.5414,-4.5359,0
ID,42.1231,-111.3133,-5.5744,0
ID,46.7281,-116.9558,-8.2477,0
ID,42.2342,-113.8981,-14.7333,1
ID,48.3511,-116.8353,-15.6043,1
IL,41.7806,-88.3092,-14.9008,1
IL,39.7347,-90.1978,-12.7032,1
IL,40.5839,-90.9686,20.8437,1
IL,42.0981,-89.9842,-4.958,0
IL,41.3283,-88.9106,-9.581,1
IL,39.0028,-87.6225,-10.1371,1
IL,40.8778,-88.6364,-4.355,0
IL,40.0839,-88.2403,-8.2343,0
IN,39.6439,-86.8767,-9.1589,1
IN,40.58,-85.6586,1.4137,0
IN,39.7594,-87.2269,-5.7888,0
IN,38.5528,-86.7944,1.9564,0
IA,41.0656,-92.7867,3.0619,0
IA,41.8814,-92.2764,-12.06,0
IA,43.0603,-92.6717,-7.6313,0
IA,40.7244,-95.0192,-6.1573,0
IA,41.7947,-90.2639,8.911,0
IA,41.0211,-91.9553,-0.7906,0
IA,42.8503,-91.8158,-10.0165,0
IA,41.6381,-95.7883,-17.0716,1
IA,43.0453,-92.3122,-10.1036,0
IA,42.0356,-92.5806,-7.8457,0
IA,41.2825,-91.7078,-7.4035,0
KS,37.1942,-99.7633,4.6699,0
KS,37.2733,-99.3289,-9.1857,0
KS,37.1764,-94.8397,-11.2627,1
KS,37.8428,-94.7086,-17.0381,1
KS,38.8586,-99.3358,-22.8805,1
KS,37.2364,-95.7003,-4.9982,0
KS,37.9411,-101.2492,-21.3194,1
KS,37.0222,-100.9294,-14.271,0
KS,39.1972,-96.5814,-17.621,1
KS,38.3772,-97.6097,-19.6511,1
KS,39.1247,-97.7047,-2.2512,0
KS,39.7411,-99.8361,-18.4585,1
KS,39.8189,-100.5342,-25.6945,1
KS,38.6133,-95.2808,-21.6544,1
KS,39.7675,-101.8067,-36.7495,1
KS,38.4747,-100.9175,-34.1231,1
KS,39.7772,-98.7783,-15.2492,1
ME,45.6603,-69.812,1.005,0
ME,44.9197,-69.2417,-5.3198,0
ME,44.6889,-70.1567,11.2292,1
ME,46.6539,-68.0089,-13.0181,1
MD,39.0303,-76.9314,5.2461,0
MD,39.2167,-76.0519,-5.4404,0
MD,39.4133,-79.4,3.8391,0
MD,38.7153,-76.1908,-2.6398,0
MA,42.3861,-72.5375,-6.03,0
MA,42.2122,-71.1136,-0.5963,0
