"Figure 1. Trends in April Snowpack in the Western United States, 1955-2016",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: Mote and Sharp, 2016",,,
Web update: August 2016,,,
Units: percent change,,,
,,,
State,Lat,Long,Trend (%)
AZ,33.98,-109.5,-69.9016
AZ,34,-109.52,-26.5991
AZ,34.31,-110.75,-86.6423
AZ,33.92,-109.46,-66.494
AZ,34.94,-111.52,-47.3064
CA,41.237,-120.793,-10.9267
CA,41.23,-120.79,-25.8194
CA,41.24,-120.79,-31.3542
CA,37.724,-119.143,-15.9529
CA,38.503,-120.467,-8.09297
CA,39.842,-122.95,-24.0088
CA,41.4,-122.05,-2.97898
CA,36.122,-118.293,16.3443
CA,40.967,-122.867,-19.4858
CA,37.113,-118.837,-10.2171
CA,38.618,-120.228,-11.9683
CA,37.995,-119.78,-15.153
CA,38.167,-119.942,-16.6781
CA,41.077,-122.938,-45.2155
CA,36.615,-118.377,-13.9178
CA,36.715,-118.842,-0.640498
CA,37.127,-118.47,-40.6576
CA,37.128,-118.475,-15.8464
CA,36.44,-118.255,-20.8928
CA,37.123,-118.545,-4.09447
CA,37.1,-118.557,-8.62398
CA,37.067,-118.77,-10.6033
CA,40.762,-121.195,-7.86115
CA,41.15,-120.25,-32.7504
CA,38.613,-119.931,-12.9462
CA,38.61,-119.92,-26.9125
CA,38.178,-119.623,-10.7119
CA,36.038,-118.328,24.645
CA,39.458,-120.6,-10.4144
CA,41.435,-122.1,-28.2972
CA,39.9,-121.257,-36.6111
CA,36.77,-118.398,-9.0112
CA,38.71,-120.042,-17.117
CA,38.72,-120.05,-17.117
CA,36.198,-118.272,7.79925
CA,39.353,-120.353,-33.2977
CA,39.35,-120.35,-33.2977
CA,41.583,-120.303,-25.9837
CA,41.58,-120.3,-24.7389
CA,41.58,-120.3,-14.9782
CA,36.77,-118.415,-5.17199
CA,40.283,-121.25,-70.8262
CA,37.408,-119.48,-8.40354
CA,37.41,-119.49,1.7682
CA,37.498,-119.408,-4.03357
CA,39.682,-120.623,-32.0807
CA,39.303,-120.543,-17.7929
CA,37.528,-119.275,-8.54693
CA,37.178,-118.72,-15.4049
CA,37.598,-119.267,1.26851
CA,38.625,-120.218,-16.2138
CA,36.483,-118.177,-19.33
CA,36.45,-118.217,-3.99732
CA,37.208,-119.073,-16.7849
CA,36.564,-118.348,-11.6506
CA,39.33,-120.37,-0.836311
CA,37.897,-119.257,-4.19529
CA,41.318,-122.503,-14.1464
CA,41.208,-121.775,32.9209
CA,39.31,-120.338,-28.817
CA,39.32,-120.33,-28.817
CA,37.258,-118.997,-16.2892
CA,38.288,-119.832,0.987998
CA,37.235,-118.687,19.5556
CA,38.828,-120.037,-37.0389
CA,38.83,-120.03,-37.0389
CA,37.938,-119.248,4.30905
CA,37.183,-118.762,-22.9662
CA,39.436,-120.525,-12.3139
CA,41.4,-123.001,-56.9491
CA,39.755,-120.72,-26.2665
CA,39.762,-120.713,-38.3368
CA,36.415,-118.579,18.7134
CA,40.355,-121.422,-25.9159
CA,39.47,-120.572,-6.71082
CA,37.277,-118.962,-19.0017
CA,37.023,-119.08,-7.47802
CA,38.85,-119.95,-25.08
CA,38.87,-119.96,-34.0143
CA,39.355,-120.503,-19.6177
CA,39.35,-120.5,-19.6177
CA,37.752,-119.162,-24.6584
CA,37.78,-119.17,-10.0222
CA,36.57,-118.768,-19.9573
CA,39.725,-120.932,-34.2597
