"Figure 1. Average Temperatures in the Southwestern United States, 2000-2015 Versus Long-Term Average",,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
"Data source: NOAA, 2016",,
Web update: August 2016,,
Units: °F,,
,,
Climate Division ID,State,T Anomaly
201,AZ,1.602087638
202,AZ,1.480707645
203,AZ,1.78030303
204,AZ,1.806344697
205,AZ,1.889656508
206,AZ,1.90334022
207,AZ,1.503546832
401,CA,1.232179752
402,CA,1.138502927
403,CA,1.349018595
404,CA,1.525912534
405,CA,1.457046315
406,CA,1.98350551
407,CA,1.781590048
501,CO,1.280255682
502,CO,1.808518423
503,CO,1.571410124
504,CO,1.454614325
505,CO,1.338985021
2601,NV,1.297301136
2602,NV,1.306822486
2603,NV,1.885235882
2604,NV,1.724225207
2901,NM,1.386311983
2902,NM,1.341059745
2903,NM,1.480242769
2904,NM,1.38277376
2905,NM,1.668900654
2906,NM,1.725641357
2907,NM,1.70802772
2908,NM,1.513524449
4201,UT,1.385726584
4202,UT,1.570402893
4203,UT,1.461621901
4204,UT,1.547443182
4205,UT,1.578305785
4206,UT,1.98931646
4207,UT,1.901579718
