"Figure 2. Southwestern U.S. Lands Under Drought Conditions, 2000-2015",,,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,,
"Data source: National Drought Mitigation Center, 2016",,,,,,,
Web update: August 2016,,,,,,,
Units: percent of land area,,,,,,,
,,,,,,,
Month,Day,Year,D0 Abnormally dry,D1 Moderate drought,D2 Severe drought,D3 Extreme drought,D4 Exceptional drought
12,29,2015,19.58504319,15.09210355,12.59217706,9.215869744,11.9826512
12,22,2015,19.87197303,14.37064793,13.30660551,9.220554521,11.9826512
12,15,2015,19.69714804,14.34440169,13.44631739,9.220554521,11.9826512
12,8,2015,20.25464963,13.96259239,13.79413977,9.25219905,11.9826512
12,1,2015,20.25464963,13.96259239,13.45215107,9.59653014,11.9826512
11,24,2015,17.99405181,16.24622821,13.97978975,9.59653014,11.9826512
11,17,2015,18.10427701,16.24622821,13.97978975,9.59653014,11.9826512
11,10,2015,17.76248925,15.90248168,15.00193344,9.59653014,11.9826512
11,3,2015,19.040961,15.93189104,15.14542452,9.504761003,12.07283811
10,27,2015,18.05085396,17.38510022,14.50623226,8.926824929,13.29547329
10,20,2015,22.9682416,18.29893247,14.69218179,8.926824929,13.29547329
10,13,2015,19.87671125,19.3668936,14.85588375,9.290737023,13.29547329
10,6,2015,19.20147996,19.3668936,14.85588375,9.290737023,13.29547329
9,29,2015,19.25356041,19.57604034,14.88119938,9.290737023,13.29547329
9,22,2015,20.19678222,20.11714443,14.96601846,9.290737023,13.29547329
9,15,2015,16.15875274,21.43880281,15.25472958,9.290737023,13.29547329
9,8,2015,16.13833723,21.45149598,15.25472958,9.290737023,13.29547329
9,1,2015,15.02714802,21.45149598,15.25472958,9.290737023,13.29547329
8,25,2015,14.8856427,21.45149598,15.25472958,9.290737023,13.29547329
8,18,2015,14.8856427,21.45149598,15.25472958,9.290737023,13.29547329
8,11,2015,13.11944237,22.51815607,15.95416106,9.290737023,13.29547329
8,4,2015,12.8888992,22.22783617,16.10393028,10.42835787,12.52809344
7,28,2015,12.8888992,22.22783617,16.10393028,10.42835787,12.52809344
7,21,2015,12.58466912,22.53057671,14.89194479,11.63876114,12.52809344
7,14,2015,12.01172775,19.98869662,18.006875,11.63876114,12.52809344
7,7,2015,15.73781736,20.06351182,18.006875,11.46776679,12.69908779
6,30,2015,15.73781736,20.0579177,18.0148115,11.46776679,12.69908779
6,23,2015,15.73781736,20.0579177,18.0148115,11.46776679,12.69908779
6,16,2015,13.51641569,21.80683118,18.48893083,11.46776679,12.69908779
6,9,2015,14.73704017,21.83409825,20.50235013,10.89658303,13.57722349
6,2,2015,9.723201801,25.03163012,21.52913418,11.4075847,13.85411313
5,26,2015,9.990077987,25.0658893,22.23185069,10.70252581,13.85411313
5,19,2015,10.70096931,28.19116903,23.49699488,10.69315625,13.86348268
5,12,2015,7.029880645,29.21883509,27.07861912,10.73499426,13.86348268
5,5,2015,6.929156443,27.70199308,28.80300649,10.73499426,13.86348268
4,28,2015,7.02713181,26.6889959,29.73656428,10.89321448,13.86348268
4,21,2015,7.714473941,25.75868098,31.2863939,10.80661065,13.86348268
4,14,2015,9.20791491,26.5317653,31.42652374,11.18950987,13.28959753
4,7,2015,9.207247416,26.51475767,31.42652374,11.18950987,13.28959753
3,31,2015,8.204793886,27.66496699,30.27351737,11.87348727,12.60796252
3,24,2015,8.222668244,34.40668975,23.51969637,11.87348727,12.60796252
3,17,2015,7.394327412,38.87318859,21.11195683,11.51777196,12.25894665
3,10,2015,8.194789579,39.40471481,19.68908279,11.51777196,12.25894665
3,3,2015,8.208703705,40.16040052,18.92315721,11.51777196,12.25894665
2,24,2015,7.781345004,38.08150062,19.95728931,12.80909169,12.25894665
2,17,2015,8.383901133,37.69233883,19.43949748,12.28087777,12.55877236
2,10,2015,17.48929629,28.53485577,19.79345405,12.36224394,12.12503185
2,3,2015,17.67261876,28.03277048,17.47604916,14.69912546,12.12503185
1,27,2015,15.24371909,26.36432459,20.55843859,15.04702958,12.12503185
1,20,2015,11.7707768,25.70367487,20.82425265,15.80940523,11.09760232
1,13,2015,11.81523857,26.39346783,20.08942396,15.80940523,11.09760232
1,6,2015,11.81523857,26.39346783,19.98870126,17.58086986,9.426100226
12,30,2014,11.62163899,26.45712836,19.94505008,17.75540144,9.426100226
12,23,2014,11.55370973,26.50397613,19.96613158,17.75540144,9.426100226
12,16,2014,11.55370973,26.50397613,19.96613158,17.75540144,9.426100226
12,9,2014,11.0091136,27.04857226,19.55621361,12.80827721,14.78314242
12,2,2014,11.0091136,27.04857226,19.55621361,12.80827721,14.78314242
11,25,2014,10.52368479,26.86066433,19.72052423,12.41604124,14.78314242
