"Figure 3. Drought Severity in the Southwestern United States, 1895-2015",,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
"Data source: NOAA, 2016",,
Web update: August 2016,,
Units: Palmer Drought Severity Index,,
,,
Year,Annual avg,9-yr avg
1895,1.848995099,1.454951452
1896,0.706144719,1.087925759
1897,1.19086868,0.615834513
1898,-0.175927327,0.068373516
1899,-0.399638035,-0.482213556
1900,-1.443256786,-0.919728583
1901,-1.076245664,-1.131126564
1902,-1.882235735,-1.018264986
1903,-0.447409084,-0.478065992
1904,-0.798310803,0.520747973
1905,2.316732956,1.735412926
1906,4.008391289,2.620768615
1907,4.189265804,2.719703206
1908,1.51784068,2.087993749
1909,1.549312876,1.22964838
1910,-1.086386651,0.653794058
1911,0.802129559,0.531846281
1912,0.948426989,0.73842455
1913,0.446309104,1.117622699
1914,1.589082643,1.534835839
1915,2.807252146,1.734333873
1916,2.288381708,1.491980241
1917,0.541273124,0.970447249
1918,-0.808718463,0.621241387
1919,0.771717573,0.651928755
1920,1.699969613,0.83526967
1921,0.714356199,0.870111747
1922,0.684822135,0.662021079
1923,1.212962811,0.275172971
1924,-1.242140553,-0.120262832
1925,-0.510116219,-0.323452151
1926,-0.493323907,-0.317557747
1927,0.603112551,-0.293462344
1928,-0.798525463,-0.375616385
1929,-0.56444524,-0.47146272
1930,-0.704218621,-0.454208788
1931,-0.555042608,-0.412528824
1932,0.868220316,-0.601220399
1933,-0.864634374,-1.04960968
1934,-3.656784145,-1.380583752
1935,-0.884897784,-1.246237199
1936,-0.684586261,-0.770767914
1937,-0.022882178,-0.342495167
1938,0.705113735,-0.081774552
1939,-1.158301645,0.320586972
1940,-0.597830425,1.101636893
1941,4.884586032,1.866131693
1942,3.420992583,1.973789007
1943,0.009453928,1.407030041
1944,0.456283929,0.699087767
1945,0.611047147,0.199895676
1946,-0.609508645,-0.075086359
1947,-0.650283986,-0.186424453
1948,0.280396903,-0.262146764
1949,0.428116627,-0.440258484
1950,-1.907860128,-0.645926224
1951,-1.2679534,-0.748985003
1952,0.989308967,-0.895208786
1953,-1.475198179,-1.275600721
1954,-2.714443643,-1.684887391
1955,-2.103616416,-1.68704594
1956,-2.26048141,-1.177397127
1957,0.640200216,-0.591292914
1958,1.616214217,-0.460443307
1959,-2.231097605,-0.782213264
1960,-1.817177379,-1.075759422
1961,-1.005879357,-1.062871838
1962,-0.153371934,-0.885823666
1963,-1.162367048,-0.670938898
1964,-1.443053333,-0.369143084
1965,1.658649133,-0.035041518
1966,-0.363190896,0.16812774
1967,0.401640516,0.23356359
1968,-0.163845448,0.275305142
1969,0.917570118,0.304662248
1970,0.192756963,0.270733836
1971,0.222077061,0.222477627
1972,-0.759103803,0.224568442
1973,2.00019866,0.180967931
1974,-1.014311021,-0.076362102
1975,0.450386803,-0.516916658
1976,-1.596949208,-0.793704177
1977,-2.887906169,-0.518879355
1978,1.323647758,0.200336444
1979,2.490213807,0.760708932
1980,1.273635128,0.89595445
1981,-1.786410365,1.083925161
1982,1.656852662,1.71941287
1983,4.929926902,2.409944173
1984,2.603659005,2.546757943
1985,2.13176259,2.075109519
1986,1.289387494,1.315022792
1987,0.597914631,0.452330151
1988,-0.001102085,-0.442095328
1989,-2.245105616,-1.125354846
1990,-2.480230933,-1.246561027
1991,-0.945235068,-0.750736788
1992,0.391174197,-0.033766712
1993,2.169917598,0.449606848
1994,-1.198443646,0.612132048
1995,2.06872993,0.665357308
1996,-0.193697866,0.784788063
1997,0.590890376,0.892471802
1998,3.01824911,0.679467983
1999,-0.152474292,-0.056278827
2000,-1.959416128,-1.107327344
2001,-1.626612031,-2.012442616
2002,-3.936242464,-2.350266401
2003,-3.057827097,-1.930527775
2004,-1.054831451,-1.063861978
2005,2.424620865,-0.494005077
2006,-0.599124436,-0.662385424
2007,-2.390523027,-1.206433306
2008,-1.964146003,-1.453818988
2009,-2.183707479,-1.24048992
2010,0.858450734,-1.051248394
2011,-0.083871822,-1.381841072
2012,-3.462829588,-2.105454625
2013,-3.432893829,-2.64908584
2014,-3.084923597,-2.694389945
2015,-1.98715449,-2.424099371
