"Figure 1. Seven-Day Low Streamflows in the United States, 1940-2014",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: USGS, 2016",,,
Web update: August 2016,,,
Units: percent change,,,
,,,
Lat,Long,Station Name,Seven-Day Low Streamflow
47.23739,-68.58264,"Fish River near Fort Kent, Maine",62.27284386
45.50098,-68.30596,"Mattawamkeag River near Mattawamkeag, Maine",2.786612969
45.17501,-69.3147,"Piscataquis River near Dover-Foxcroft, Maine",-7.70242361
44.8692,-69.9551,"Carrabassett River near North Anson, Maine",51.56037231
44.87739,-71.05749,"Diamond River near Wentworth Location, NH",56.81738211
44.64275,-70.58878,"Swift River near Roxbury, Maine",124.226069
44.30399,-70.53968,"Little Androscoggin River near South Paris, Maine",28.83027266
43.1487,-70.96506,"OYSTER RIVER NEAR DURHAM, NH",8.310224591
43.56646,-71.74786,"SMITH RIVER NEAR BRISTOL, NH",52.24313276
41.84371,-72.16897,"MOUNT HOPE RIVER NEAR WARRENVILLE, CT.",17.88491396
44.26867,-71.63036,"AMMONOOSUC RIVER AT BETHLEHEM JUNCTION, NH",47.01005891
44.15034,-72.06509,"WELLS RIVER AT WELLS RIVER, VT",38.86967774
43.93451,-72.65788,"AYERS BROOK AT RANDOLPH, VT",307.1415652
43.71424,-72.41815,"WHITE RIVER AT WEST HARTFORD, VT",90.49113783
42.68259,-72.11508,"PRIEST BROOK NEAR WINCHENDON, MA",41.74404284
42.63842,-72.72509,"NORTH RIVER AT SHATTUCKVILLE, MA",67.99901909
42.23731,-72.89565,"WEST BRANCH WESTFIELD RIVER AT HUNTINGTON, MA",71.15958538
42.03732,-72.93899,"HUBBARD RIVER NR. WEST HARTLAND, CT.",16.26832557
42.31953,-74.43654,SCHOHARIE CREEK AT PRATTSVILLE NY,119.3807924
41.86648,-74.4871,RONDOUT CREEK NEAR LOWES CORNERS NY,45.57986315
42.14481,-74.65349,EAST BR DELAWARE R AT MARGARETVILLE NY,61.52581036
42.1062,-74.73043,MILL BROOK NEAR DUNRAVEN NY,54.88034187
42.12009,-74.81849,TREMPER KILL NEAR ANDES NY,41.74305511
41.89009,-74.58988,NEVERSINK RIVER NEAR CLARYVILLE NY,54.92169547
41.08815,-75.03767,"Bush Kill at Shoemakers, PA",67.61820995
41.10667,-74.95222,FLAT BROOK NEAR FLATBROOKVILLE NJ,17.65673225
41.70702,-76.48467,"Towanda Creek near Monroeton, PA",10.88043093
41.07814,-76.43106,"Fishing Creek near Bloomsburg, PA",24.68860301
41.4134,-78.19695,"Driftwood Br Sinnemahoning Cr at Sterling Run, PA",131.513267
41.4759,-77.82583,"Kettle Creek at Cross Fork, PA",44.53713562
41.52174,-77.44748,"Pine Creek at Cedar Run, PA",61.5878868
41.47368,-77.23081,"Blockhouse Creek near English Center, PA",19.60324992
41.41841,-77.03275,"Lycoming Creek near Trout Run, PA",18.88533631
41.32508,-76.91246,"Loyalsock Creek at Loyalsockville, PA",37.66769294
41.35702,-76.53467,"Muncy Creek near Sonestown, PA",37.4000949
40.21258,-77.92528,"Aughwick Creek near Three Springs, PA",5.206568182
40.32342,-77.16887,"Sherman Creek at Shermans Dale, PA",28.11872118
39.62997,-76.40331,"DEER CREEK AT ROCKS, MD",-5.292826904
38.99122,-79.17587,"SO. BRANCH POTOMAC RIVER NR PETERSBURG, WV",2.034706747
38.63706,-78.8528,"N F SHENANDOAH RIVER AT COOTES STORE, VA",25.7459879
39.08122,-78.32945,"CEDAR CREEK NEAR WINCHESTER, VA",21.18793204
39.01955,-77.57749,"GOOSE CREEK NEAR LEESBURG, VA",-18.43435089
38.35041,-77.975,"RAPIDAN RIVER NEAR CULPEPER, VA",-17.54371519
37.8029,-80.047,"DUNLAP CREEK NEAR COVINGTON, VA",-5.870191891
37.7918,-79.75949,"COWPASTURE RIVER NEAR CLIFTON FORGE, VA",17.81917226
37.66596,-79.91144,"CRAIG CREEK AT PARR, VA",2.252053222
37.71542,-78.98169,"TYE RIVER NEAR LOVINGSTON, VA",-13.90324648
36.71681,-77.83166,"MEHERRIN RIVER NEAR LAWRENCEVILLE, VA",-57.98150157
37.1732,-79.52031,"GOOSE CREEK NEAR HUDDLESTON, VA",-39.36175198
37.12681,-78.95974,"FALLING RIVER NEAR NARUNA, VA",-54.04646679
36.56819,-79.98727,"NORTH MAYO RIVER NEAR SPENCER, VA",-8.262764097
36.61958,-79.50419,"SANDY RIVER NEAR DANVILLE, VA",-19.39685046
36.19417,-78.58306,"TAR RIVER NEAR TAR RIVER, NC",-68.91463766
34.82889,-77.83222,"NORTHEAST CAPE FEAR RIVER NEAR CHINQUAPIN, NC",-26.70826637
36.175,-81.16889,"REDDIES RIVER AT NORTH WILKESBORO, NC",-22.58095955
34.81398,-83.30599,"CHATTOOGA RIVER NEAR CLAYTON, GA",-12.54551285
30.35885,-82.0815,"ST. MARYS RIVER NR MACCLENNY, FLA.",-18.02835827
29.97941,-81.85204,"SOUTH FORK BLACK CREEK NR PENNEY FARMS, FLA.",-52.07845858
30.1133,-81.90649,"NORTH FORK BLACK CREEK NR MIDDLEBURG, FLA.",8.294583404
30.32578,-82.73818,"SUWANNEE RIVER AT WHITE SPRINGS, FLA.",-52.92595822
31.34295,-85.61049,"CHOCTAWHATCHEE RIVER NEAR NEWTON, AL.",-50.33336978
31.57349,-86.25162,CONECUH RIVER AT BRANTLEY AL,-59.86523977
31.4185,-86.98664,MURDER CREEK NEAR EVERGREEN AL,-16.56139981
31.70694,-89.40694,"LEAF RIVER NR COLLINS, MS",3.791782234
31.42583,-89.41472,"BOUIE CREEK NR HATTIESBURG, MS",-13.60690452
41.85256,-79.31727,"Brokenstraw Creek at Youngsville, PA",43.07599576
40.7159,-79.69949,"Buffalo Creek near Freeport, PA",252.7233963
39.12705,-79.46839,"BLACKWATER R AT DAVIS, WV",67.01250461
39.12288,-79.68117,"CHEAT RIVER NEAR PARSONS, WV",63.73014096
39.61564,-79.70477,"BIG SANDY CREEK AT ROCKVILLE, WV",127.3774374
40.36285,-81.86236,Mill Creek near Coshocton OH,198.4438942
40.13257,-82.14792,Wakatomika Creek near Frazeysburg OH,23.71815464
36.39333,-81.40694,"SOUTH FORK NEW RIVER NEAR JEFFERSON, NC",-1.4573038
36.64735,-80.97897,"NEW RIVER NEAR GALAX, VA",-7.150176294
37.03763,-80.55672,"LITTLE RIVER AT GRAYSONTOWN, VA",-6.848217773
37.26818,-80.70951,"WALKER CREEK AT BANE, VA",-5.016972667
38.18595,-80.13062,"GREENBRIER RIVER AT BUCKEYE, WV",14.28278153
38.379,-80.48397,"WILLIAMS RIVER AT DYER, WV",41.98434671
38.80368,-83.42102,Ohio Brush Creek near West Union OH,29.26693154
38.85812,-83.92854,White Oak Creek near Georgetown OH,0
37.47981,-83.67519,"SOUTH FORK KENTUCKY RIVER AT BOONEVILLE, KY",230.1571321
