"Figure 1. Temperatures in the Contiguous 48 States, 1901-2015",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: NOAA, 2016",,,
Web update: August 2016,,,
Units: °F,,,
,,,
Year,Earth's surface,Lower troposphere (measured by satellite) (UAH),Lower troposphere (measured by satellite) (RSS)
1901,-0.15,null,null
1902,-0.43,null,null
1903,-1.4,null,null
1904,-0.86,null,null
1905,-1.02,null,null
1906,-0.29,null,null
1907,-0.54,null,null
1908,0.06,null,null
1909,-0.59,null,null
1910,0.4,null,null
1911,0.01,null,null
1912,-1.79,null,null
1913,-0.48,null,null
1914,-0.18,null,null
1915,-0.57,null,null
1916,-1.17,null,null
1917,-1.96,null,null
1918,-0.15,null,null
1919,-0.47,null,null
1920,-0.95,null,null
1921,1.78,null,null
1922,0.01,null,null
1923,-0.38,null,null
1924,-1.43,null,null
1925,0.5,null,null
1926,-0.07,null,null
1927,0.13,null,null
1928,-0.1,null,null
1929,-1.17,null,null
1930,-0.04,null,null
1931,1.52,null,null
1932,-0.29,null,null
1933,0.97,null,null
1934,2.08,null,null
1935,-0.12,null,null
1936,0.13,null,null
1937,-0.47,null,null
1938,1.16,null,null
1939,1.24,null,null
1940,-0.13,null,null
1941,0.64,null,null
1942,-0.18,null,null
1943,0.05,null,null
1944,-0.19,null,null
1945,-0.27,null,null
1946,0.93,null,null
1947,-0.1,null,null
1948,-0.41,null,null
1949,0,null,null
1950,-0.63,null,null
1951,-0.9,null,null
1952,0.25,null,null
1953,1.35,null,null
1954,1.31,null,null
1955,-0.33,null,null
1956,0.32,null,null
1957,0.02,null,null
1958,-0.09,null,null
1959,0.09,null,null
1960,-0.58,null,null
1961,-0.15,null,null
1962,-0.12,null,null
1963,0.24,null,null
1964,-0.35,null,null
1965,-0.33,null,null
1966,-0.53,null,null
1967,-0.26,null,null
1968,-0.7,null,null
1969,-0.52,null,null
1970,-0.41,null,null
1971,-0.36,null,null
1972,-0.65,null,null
1973,0.27,null,null
1974,0.24,null,null
1975,-0.52,null,null
1976,-0.55,null,null
1977,0.53,null,null
1978,-0.97,null,null
1979,-1.14,-0.427364865,-0.299277027
1980,0.37,0.300135135,0.564122973
1981,1.1,0.885135135,1.020572973
1982,-0.67,-0.451364865,-0.251727027
1983,-0.14,-0.331364865,-0.090477027
1984,-0.04,-0.305864865,-0.140427027
1985,-0.72,-0.160364865,-0.198177027
1986,1.3,0.975135135,1.072172973
1987,1.31,1.015635135,1.259372973
1988,0.61,0.568635135,0.711272973
1989,-0.18,0.624135135,0.391022973
1990,1.49,1.492635135,1.399922973
1991,1.14,1.158135135,1.107422973
1992,0.58,0.529635135,0.554372973
1993,-0.76,-0.367364865,-0.427527027
1994,0.85,0.882135135,1.100222973
1995,0.63,0.649635135,0.837572973
1996,-0.13,0.400635135,0.319172973
1997,0.18,0.307635135,0.417572973
1998,2.21,1.662135135,1.868672973
1999,1.86,1.882635135,1.869422973
2000,1.25,1.366635135,1.395572973
2001,1.68,1.219635135,1.414322973
2002,1.19,0.864135135,0.941372973
2003,1.24,1.132635135,1.323272973
2004,1.08,0.702135135,0.829022973
2005,1.62,1.338135135,1.394072973
2006,2.23,1.791135135,1.528622973
2007,1.63,1.696635135,1.638272973
2008,0.27,0.547635135,0.259772973
2009,0.37,0.736635135,0.415172973
2010,0.96,1.090635135,0.828572973
2011,1.16,1.213635135,0.946472973
2012,3.26,2.506635135,2.375522973
2013,0.41,0.715635135,0.334472973
2014,0.52,0.714135135,0.333122973
2015,2.38,2.173635135,2.057072973
