"Figure 2. Temperatures Worldwide, 1901-2015",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: NOAA, 2016",,,
Web update: August 2016,,,
Units: °F,,,
,,,
Year,Earth's surface (land and ocean),Lower troposphere (measured by satellite) (UAH),Lower troposphere (measured by satellite) (RSS)
1901,-0.27,null,null
1902,-0.45,null,null
1903,-0.612,null,null
1904,-0.756,null,null
1905,-0.522,null,null
1906,-0.378,null,null
1907,-0.666,null,null
1908,-0.792,null,null
1909,-0.774,null,null
1910,-0.684,null,null
1911,-0.774,null,null
1912,-0.594,null,null
1913,-0.576,null,null
1914,-0.252,null,null
1915,-0.126,null,null
1916,-0.522,null,null
1917,-0.558,null,null
1918,-0.36,null,null
1919,-0.36,null,null
1920,-0.378,null,null
1921,-0.27,null,null
1922,-0.414,null,null
1923,-0.378,null,null
1924,-0.45,null,null
1925,-0.252,null,null
1926,-0.108,null,null
1927,-0.27,null,null
1928,-0.306,null,null
1929,-0.522,null,null
1930,-0.162,null,null
1931,-0.126,null,null
1932,-0.198,null,null
1933,-0.432,null,null
1934,-0.18,null,null
1935,-0.234,null,null
1936,-0.198,null,null
1937,-0.018,null,null
1938,-0.036,null,null
1939,-0.018,null,null
1940,0.18,null,null
1941,0.36,null,null
1942,0.27,null,null
1943,0.288,null,null
1944,0.522,null,null
1945,0.306,null,null
1946,0,null,null
1947,-0.09,null,null
1948,-0.09,null,null
1949,-0.108,null,null
1950,-0.288,null,null
1951,-0.018,null,null
1952,0.054,null,null
1953,0.18,null,null
1954,-0.216,null,null
1955,-0.234,null,null
1956,-0.36,null,null
1957,0.09,null,null
1958,0.198,null,null
1959,0.108,null,null
1960,0.036,null,null
1961,0.126,null,null
1962,0.162,null,null
1963,0.18,null,null
1964,-0.27,null,null
1965,-0.144,null,null
1966,-0.054,null,null
1967,-0.036,null,null
1968,-0.054,null,null
1969,0.162,null,null
1970,0.054,null,null
1971,-0.144,null,null
1972,0.036,null,null
1973,0.288,null,null
1974,-0.126,null,null
1975,0,null,null
1976,-0.144,null,null
1977,0.342,null,null
1978,0.198,null,null
1979,0.396,0.465851351,0.456806757
1980,0.468,0.759851351,0.653906757
1981,0.54,0.695351351,0.666056757
1982,0.324,0.323351351,0.316556757
1983,0.612,0.660851351,0.744956757
1984,0.27,0.137351351,0.223256757
1985,0.234,0.216851351,0.158156757
1986,0.414,0.330851351,0.375956757
1987,0.666,0.794351351,0.804806757
1988,0.666,0.794351351,0.746456757
1989,0.522,0.399851351,0.411506757
1990,0.774,0.729851351,0.760406757
1991,0.72,0.807851351,0.772256757
1992,0.45,0.254351351,0.304256757
1993,0.504,0.332351351,0.414806757
1994,0.612,0.576851351,0.677906757
1995,0.81,0.797351351,0.912656757
1996,0.576,0.636851351,0.710606757
1997,0.918,0.681851351,0.810356757
1998,1.134,1.527851351,1.617056757
1999,0.792,0.674351351,0.814706757
2000,0.756,0.665351351,0.793406757
2001,0.972,0.965351351,1.071056757
2002,1.08,1.167851351,1.194356757
2003,1.098,1.109351351,1.202906757
2004,1.026,0.969851351,0.990506757
2005,1.17,1.242851351,1.223306757
2006,1.098,1.109351351,1.044956757
2007,1.098,1.146851351,1.081256757
2008,0.972,0.755351351,0.703106757
2009,1.134,1.154351351,1.019456757
2010,1.26,1.491851351,1.468556757
2011,1.026,1.011851351,0.876956757
2012,1.116,1.082351351,0.956456757
2013,1.188,1.197851351,1.013756757
2014,1.332,1.266851351,1.083656757
2015,1.62,1.412351351,1.270856757
