"Figure 1. U.S. Greenhouse Gas Emissions by Gas, 1990-2014",,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,
"Data source: U.S. EPA, 2016",,,,
Web update: August 2016,,,,
Units: million metric tons of CO2e,,,,
,,,,
Year,Carbon dioxide,Methane,Nitrous oxide,"HFCs, PFCs, SF6, and NF3"
1990,5115.095047,773.8548964,406.2285266,101.9660191
1991,5064.87975,777.0342209,396.1136569,92.91025738
1992,5170.27435,776.8697898,404.0521071,97.48090671
1993,5284.75862,764.0896713,420.5031909,97.06437398
1994,5377.492217,770.4504261,402.4789305,99.87502103
1995,5441.59923,767.9434057,420.5857486,118.4005415
1996,5630.113715,762.2038462,428.923512,128.5969305
1997,5704.996869,747.1771101,412.3179833,135.5071383
1998,5744.672196,737.8214206,433.8726492,150.4218972
1999,5818.972385,723.4548736,401.1474076,146.8679448
2000,5992.43804,717.4739352,401.400224,147.660918
2001,5894.462942,712.676765,399.3244245,134.4350104
2002,5935.738784,706.3302419,400.9179017,142.341211
2003,5982.289167,708.554517,401.7753062,132.3550422
2004,6096.978363,704.8867766,428.5541716,139.5507233
2005,6122.746612,717.3562047,397.5517201,141.1209609
2006,6042.393615,719.5806921,410.0661909,144.1039581
2007,6121.653863,725.9746404,418.9851625,155.594297
2008,5923.201376,738.8895409,396.7770898,157.5470644
2009,5488.32028,735.3586952,399.5004873,153.050311
2010,5688.756005,722.4105661,410.3142395,163.9762428
2011,5559.507664,717.4236902,416.5217792,171.9447692
2012,5349.220947,714.4011725,409.2855838,170.102875
2013,5502.550714,721.4750556,403.358087,172.6037866
2014,5556.006578,730.8286595,403.5097975,180.1093972
