"Figure 2. U.S. Greenhouse Gas Emissions and Sinks by Economic Sector, 1990-2014",,,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,,
"Data source: U.S. EPA, 2016",,,,,,,
Web update: August 2016,,,,,,,
Units: million metric tons of CO2e,,,,,,,
,,,,,,,
Year,Electricity generation,Transportation,Industry,Agriculture,Commercial,Residential,"Land use, land-use change, and forestry (sinks)"
1990,1864.786073,1551.255056,1620.945283,563.4498881,418.0864758,344.8995935,-737.9527762
1991,1860.724015,1505.556921,1590.286928,554.3114806,426.5418141,354.230667,-739.2972672
1992,1875.618063,1559.101869,1626.073531,565.425594,424.1258251,360.791331,-745.5366289
1993,1950.6209,1600.611941,1597.543753,583.8474552,421.9980461,372.4035234,-729.2461723
1994,1975.063664,1654.442389,1623.740272,567.2780114,425.0816853,363.0797356,-743.1336236
1995,1991.42705,1695.241852,1639.97173,589.3769913,424.5036993,367.3441746,-702.4107386
1996,2063.882834,1748.629807,1672.587844,594.1466003,431.1102445,398.756508,-704.8846387
1997,2129.661991,1774.454306,1668.581473,582.3935524,422.3732237,380.3259897,-697.5325307
1998,2215.56997,1817.590691,1636.179345,612.7335332,396.3200493,345.9135735,-682.3248566
1999,2229.812251,1874.709133,1598.918084,582.8927629,394.6070286,365.6717256,-685.7345453
2000,2334.760071,1923.243779,1578.954941,584.2788477,405.1774029,386.4987333,-683.0186246
2001,2296.26938,1907.628929,1520.961975,590.2193279,395.8654356,376.696173,-682.4399441
2002,2312.575905,1947.881784,1502.474062,597.9371876,398.3380766,373.8756386,-662.826304
2003,2344.013607,1936.81806,1477.720228,598.5204201,417.2481022,392.4374274,-677.4198137
2004,2377.826807,1981.411018,1525.364587,625.8293876,419.4721961,380.4065624,-679.7069184
2005,2443.925146,1999.603055,1486.153589,600.174343,420.2929735,370.4450929,-698.46495
2006,2387.815466,1993.493925,1517.743892,616.2516226,406.2835995,335.3244744,-719.4202384
2007,2454.09836,1994.15951,1509.758396,631.6038581,422.3609625,357.7827369,-691.0587271
2008,2400.607357,1897.250327,1452.576774,615.9068742,433.2818929,367.1163215,-686.7476734
2009,2185.662408,1819.018992,1304.87174,623.1155441,437.3756253,358.5767535,-733.5819196
2010,2300.473299,1827.394664,1394.524389,631.0921273,425.4978271,361.1990353,-766.4242331
2011,2198.060146,1799.571737,1399.012008,633.6573631,432.0540868,357.622786,-762.0200524
2012,2060.671381,1780.362356,1392.105841,635.3540408,408.5447672,318.3909431,-749.6847331
2013,2077.999255,1789.862894,1448.182966,626.2635676,437.5456767,372.6376666,-759.5841044
2014,2080.71218,1810.315771,1461.706736,625.4195687,453.9342834,393.6710166,-762.4703366
