"Figure 1. Wildfire Frequency in the United States, 1983-2015",,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
"Data source: NIFC, 2016; USDA Forest Service, 2014",,
Web update: April 2016,,
Units: number of fires,,
,,
Year,National Interagency Fire Center,Forest Service Wildfire Statistics
1983,18229,95169
1984,20493,118178
1985,82591,133802
1986,85907,140545
1987,71300,143877
1988,72750,154573
1989,48949,120095
1990,66481,122043
1991,75754,116953
1992,87394,103830
1993,58810,97031
1994,79107,114049
1995,82234,130019
1996,96363,115025
1997,66196,89393
1998,81043,
1999,92487,
2000,92250,
2001,84079,
2002,73457,
2003,63629,
2004,65461,
2005,66753,
2006,96385,
2007,85705,
2008,78979,
2009,78792,
2010,71971,
2011,74126,
2012,67774,
2013,47579,
2014,63312,
2015,68151,
