"Figure 2. Wildfire Extent in the United States, 1983-2015",,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
"Data source: NIFC, 2016; Short, 2015",,
Web update: August 2016,,
Units: acres,,
,,
Year,National Interagency Fire Center,Forest Service Wildfire Statistics
1983,1323666,95169
1984,1148409,118178
1985,2896147,133802
1986,2719162,140545
1987,2447296,143877
1988,5009290,154573
1989,1827310,120095
1990,4621621,122043
1991,2953578,116953
1992,2069929,103830
1993,1797574,97031
1994,4073579,114049
1995,1840546,130019
1996,6065998,115025
1997,2856959,89393
1998,1329704,
1999,5626093,
2000,7393493,
2001,3570911,
2002,7184712,
2003,3960842,
2004,8097880,
2005,8689389,
2006,9873745,
2007,9328045,
2008,5292468,
2009,5921786,
2010,3422724,
2011,8711367,
2012,9326238,
2013,4319546,
2014,3595613,
2015,10125149,
