"Figure 3. Damage Caused by Wildfires in the United States, 1984-2014",,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,
"Data source: MTBS, 2016",,,,,
Web update: August 2016,,,,,
Units: acres,,,,,
,,,,,
Year,High,Moderate,Low,Unburned to Low,Increased Greenness
1984,63005.8,152266.5,498607.2,261625.9,11684
1985,251901,742073.6,1447060.8,547754.5,24463
1986,107872.5,418209.4,922446.7,281135.1,6184
1987,204284.9,425011,1044330.8,536576.2,19947.3
1988,724342.6,656067.8,1212327.3,850341.6,36547.6
1989,149728.6,229219.3,773019.3,225421.6,7532.3
1990,456150.3,564996.5,844074,348107.8,10827.4
1991,152072.9,400896.5,764811.6,320841.5,6451.7
1992,110998.5,205372.1,620950.2,321793.8,13309.1
1993,108588.5,329808.6,580851.1,219122.7,14263.1
1994,381015.8,720506.8,1210477.3,709433.9,27838.4
1995,69666.8,315804.7,596420.6,201014.5,3886.6
1996,323317.2,1057623,2262604.4,839766.9,17319.7
1997,28991.3,90780.7,206686.1,96408.1,21500.2
1998,126789.3,239890.7,805981.5,282501.1,5584
1999,451535.7,1076156.6,2370036.1,903366.4,31071.7
2000,843862.7,1248395.2,2353650.9,1474751.5,29170.1
2001,229587.8,531337.2,1139837.1,539654.3,6096.5
2002,1123627.9,1581822.6,1868032.5,1014792.8,23347.1
2003,639311.7,783532,1066750.5,741588.7,25710.4
2004,763521.2,2129137.1,2005557.3,1396291.1,91247.4
2005,1514468.2,2049137.6,2663771.6,1478616.6,63966.2
2006,661308,1792177.1,3375331.7,1441288.2,37529.2
2007,1188925.3,1701354.1,2582708.6,1668353.6,63702.8
2008,296475.2,793974.1,1689338.4,738303.9,14640.3
2009,579607.7,920306.5,1373339.4,510617.4,14652.1
2010,175018.3,346194.6,1056015.3,259275.2,3110.8
2011,411300.9,1474548.6,4586361.5,1078722.1,28800.4
2012,679869.7,1529560,3796459.9,1248710.5,25253.7
2013,669568.3,948713,1362953,472680.4,12168.4
2014,366602.4,574449.7,1456901.9,375940.7,5060.1
