Figure 5. Change in Annual Burned Acreage by State Between 1984-1999 and 2000-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: MTBS, 2016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Web update: August 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units: acres per square mile (trend); acres (annual data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year/Trend,AL,AK,AZ,AR,CA,CO,DE,FL,GA,HI,ID,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NJ,NM,NY,NC,ND,OH,OK,OR,PA,SC,SD,TN,TX,UT,VA,WA,WV,WI,WY
Trend,0.06296608,1.590116358,1.751573448,0.137153333,1.374246257,0.627080374,0.041987344,-0.058302318,1.102216019,0.544526551,3.583847755,0.005233114,0.005011756,0.008601393,0.090779441,0.260162002,-0.001575108,0.162782758,0.006515404,0.03636997,-0.105994196,0.112822029,0.078539466,1.365122337,0.212479287,1.173737938,-0.248508975,1.43164439,-0.024163395,-0.072502297,-0.00726568,0.007018617,1.278588436,2.564867896,0.015969661,0.05213524,0.320950709,0.09930209,1.14472126,0.994240017,0.145152506,1.896756999,-1.71553672,0.013330286,0.484031532
1984,0,85073.9,10683.8,0,168028.3,0,0,11754.6,0,0,25348.7,0,0,0,0,0,901,0,0,1689.5,0,0,611.3,213961,0,199562,0,0,0,0,0,0,1046.4,136001.3,0,0,3958.2,0,0,11324.4,0,127955.2,0,0,0
1985,2656.7,333498.9,6467.4,0,549742.8,2262.2,0,224092.8,9463.6,0,407083.8,0,0,0,0,2780.5,1201.9,0,0,1409.5,10347.6,0,0,25390.4,5692.4,787356.1,736.3,17170.7,22994.1,134594.9,0,0,0,358422.3,0,5910.8,96363.1,0,0,33996.5,0,75366.4,0,0,15220.8
1986,0,308865.7,41947,0,88332.8,44970.5,0,28516.9,753.3,0,483067.9,863.8,0,0,25.1,0,0,0,0,7665.9,2859.3,0,1163.5,1197.9,0,99704.6,1484.2,1578.2,0,88755.8,0,0,0,363518.8,0,0,0,544.1,19098.1,145381.1,6735.2,19357,0,0,4081
1987,5019,97993.2,54756,2903.8,785212.6,15654,0,9682.5,1339.6,0,264974.9,0,0,0,17132,2155.4,0,0,0,6882,221547.1,7318.3,1239,4146.5,3441.8,72699.7,0,32283.5,0,0,0,0,0,242240.7,0,0,39258.9,9332.5,3719.5,56031,5319.6,22826.2,263500.3,748.9,2695.6
1988,0,810550.1,49402.7,0,228406.4,41748.6,0,20015.2,2923.6,0,340285.8,0,0,24026.3,500.8,0,0,0,0,2622.3,116024,1895.5,6410.1,713820.1,8139.5,77055.9,0,74919.7,830.5,0,33773.4,0,0,102221,0,2077,49888.1,3603,226922.1,59014.7,639.6,78376.3,4916.6,810.5,615159
1989,0,48815.2,57929.8,618.3,135496.8,22723,0,469937.9,8425.2,0,203111.1,0,0,12256.9,0,0,0,0,0,0,67513.8,0,1914.5,7762,72447.2,36115.2,3987.5,219152.9,0,3013,4369.4,0,1017.5,74785.5,0,0,0,0,9974.3,48697.1,0,10142,0,0,3298
1990,0,1414355.5,44321,0,305639.7,4943.2,0,32099.3,25915.4,0,120046.8,0,0,1819.4,0,1913.6,0,0,0,7647.4,87488.1,5544.8,1525.8,54928.9,8426.3,13198.7,0,50651.1,0,0,0,0,0,139257.3,0,1334.7,16382.9,0,58495.9,16656,0,31534.1,0,0,0
1991,0,760591,14980.2,0,18541.1,0,0,15184,0,0,87775.6,0,0,3174.7,11972.1,0,0,0,0,0,28391.5,3771.2,2489.2,195827.5,1969,25669.8,0,18736.6,0,1401.2,0,0,30324.1,16857.5,0,7332.2,31608.2,1849.3,27162.2,6536.3,1483.7,12873.3,371350.7,0,22299.2
1992,0,27408.1,9178.2,0,199306.7,0,0,20994.4,0,1565.6,651831.3,0,0,0,0,2286.4,0,0,0,0,7855.7,582.2,2008.7,14322,0,76721.8,18088.8,50687,0,3539,2445.8,0,0,94715.2,0,2648.4,14331.1,0,7403.9,22942.3,0,45719.7,0,0,1727.3
