"Figure 1. March and September Monthly Average Arctic Sea Ice Extent, 1979-2016",,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,
"Data source: NSIDC, 2016",,
Web update: November 2016,,
Units: Square miles,,
,,
Year,September,March
1979,2.787657588,6.378407667
1980,3.03476297,6.258715997
1981,2.799240653,6.061803896
1982,2.876461085,6.266438041
1983,2.911210279,6.247132933
1984,2.74518635,6.065664918
1985,2.675687962,6.231688846
1986,2.9150713,6.239410889
1987,2.899627214,6.185356587
1988,2.907349257,6.266438041
1989,2.733603286,6.030915724
1990,2.420860537,6.173773522
1991,2.544413228,6.02319368
1992,2.930515387,6.030915724
1993,2.52510812,6.169912501
1994,2.795379631,6.065664918
1995,2.386111343,5.961417335
1996,3.054068078,5.888057925
1997,2.617772638,6.057942875
1998,2.555996293,6.088831047
1999,2.42858258,5.992305508
2000,2.455609731,5.938251205
2001,2.617772638,6.069525939
2002,2.308890911,6.000027551
2003,2.386111343,6.027054702
2004,2.347501127,5.849447709
2005,2.158311069,5.733617061
2006,2.297307846,5.613925392
2007,1.667961327,5.698867867
2008,1.826263212,5.918946097
2009,2.081090637,5.872613838
2010,1.903483644,5.864891795
2011,1.787652996,5.664118673
2012,1.401550837,5.911224054
2013,2.065646551,5.85330873
2014,2.042480421,5.741339104
2015,1.806958104,5.594620284
2016,1.82240219,5.61006437
