"Figure 4. Timing of Winter-Spring Runoff in the United States, 1940-2014",,,
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,,,
"Data source: USGS, 2016",,,
Web update: August 2016,,,
Units: days change,,,
,,,
Lat,Long,Station Name,Change in flow timing
47.23739,-68.58264,"Fish River near Fort Kent, Maine",-9.859463406
45.50098,-68.30596,"Mattawamkeag River near Mattawamkeag, Maine",-11.01357255
45.17501,-69.3147,"Piscataquis River near Dover-Foxcroft, Maine",-11.37742207
44.8692,-69.9551,"Carrabassett River near North Anson, Maine",-9.440754981
44.87739,-71.05749,"Diamond River near Wentworth Location, NH",-10.0193612
44.64275,-70.58878,"Swift River near Roxbury, Maine",-8.699573235
44.30399,-70.53968,"Little Androscoggin River near South Paris, Maine",-7.156230681
43.1487,-70.96506,"OYSTER RIVER NEAR DURHAM, NH",0
43.56646,-71.74786,"SMITH RIVER NEAR BRISTOL, NH",-4.822927207
44.26867,-71.63036,"AMMONOOSUC RIVER AT BETHLEHEM JUNCTION, NH",-9.101554273
44.15034,-72.06509,"WELLS RIVER AT WELLS RIVER, VT",-8.214720195
43.93451,-72.65788,"AYERS BROOK AT RANDOLPH, VT",-4.930181619
43.71424,-72.41815,"WHITE RIVER AT WEST HARTFORD, VT",-6.879337791
42.68259,-72.11508,"PRIEST BROOK NEAR WINCHENDON, MA",-9.645280324
42.63842,-72.72509,"NORTH RIVER AT SHATTUCKVILLE, MA",-5.916109955
42.23731,-72.89565,"WEST BRANCH WESTFIELD RIVER AT HUNTINGTON, MA",-6.878899784
42.03732,-72.93899,"HUBBARD RIVER NR. WEST HARTLAND, CT.",-9.491197944
42.31953,-74.43654,SCHOHARIE CREEK AT PRATTSVILLE NY,-7.584415584
41.86648,-74.4871,RONDOUT CREEK NEAR LOWES CORNERS NY,-7.394934976
42.14481,-74.65349,EAST BR DELAWARE R AT MARGARETVILLE NY,-5.687513161
42.1062,-74.73043,MILL BROOK NEAR DUNRAVEN NY,-7.156230681
41.89009,-74.58988,NEVERSINK RIVER NEAR CLARYVILLE NY,-8.216282
46.03053,-86.16125,"MANISTIQUE RIVER NEAR MANISTIQUE, MI",-5.838316882
45.11188,-110.79438,Yellowstone River at Corwin Springs MT,-7.72597254
45.00691,-107.6151,Little Bighorn River at State Line nr Wyola MT,-3.215284804
36.54169,-105.5564,"RIO HONDO NEAR VALDEZ, NM",-1.012976298
35.70837,-105.68252,"PECOS RIVER NEAR PECOS, NM",-3.961572309
41.74438,-111.78439,COM F LOGAN R AB ST D AND LO HP AND SM C N LO UT,0
38.28053,-112.56827,"BEAVER RIVER NEAR BEAVER, UT",0
37.6722,-113.03467,"COAL CREEK NEAR CEDAR CITY, UT",-2.054148604
41.53462,-117.4179,"MARTIN C NR PARADISE VALLEY, NV",-2.174893309
42.79083,-118.8675,DONNER UND BLITZEN RIVER NR FRENCHGLEN OR,-3.311131089
37.33939,-118.97345,BEAR C NR LAKE THOMAS A EDISON CA,-12.32489163
37.19856,-119.21373,PITMAN C BL TAMARACK C CA,-11.67663376
37.73159,-119.55877,MERCED R A HAPPY ISLES BRIDGE NR YOSEMITE CA,-10.56398623
38.51908,-120.21269,COLE C NR SALT SPRINGS DAM CA,-13.27272727
40.01405,-121.94832,DEER C NR VINA CA,-4.108609674
48.01426,-123.13268,"DUNGENESS RIVER NEAR SEQUIM, WA",-9.01836394
47.68398,-123.01155,"DUCKABUSH RIVER NEAR BRINNON, WA",-11.01357255
47.51426,-123.32989,"NF SKOKOMISH R BL STAIRCASE RPDS NR HOODSPORT, WA",-9.933393266
48.26149,-122.04764,"NF STILLAGUAMISH RIVER NEAR ARLINGTON, WA",-7.584948048
48.67263,-121.0729,"THUNDER CREEK NEAR NEWHALEM, WA",-1.643343879
48.16872,-121.47067,"SAUK RIVER AB WHITECHUCK RIVER NEAR DARRINGTON, WA",-8.038212011
48.42456,-121.56846,"SAUK RIVER NEAR SAUK, WA",-8.214720195
48.49524,-114.01012,Middle Fork Flathead River nr West Glacier MT,0
47.56889,-116.25333,NF COEUR D ALENE RIVER AT ENAVILLE ID,-7.156546699
47.27464,-116.18905,ST JOE RIVER AT CALDER ID,-2.240749959
48.32958,-120.69177,"STEHEKIN RIVER AT STEHEKIN, WA",0
46.97762,-121.1687,"AMERICAN RIVER NEAR NILE, WA",-6.162445813
42.16583,-113.98361,TRAPPER CREEK NR OAKLEY ID,-4.822640162
43.65944,-115.72722,BOISE RIVER NR TWIN SPRINGS ID,-5.77729295
44.08528,-115.62222,SF PAYETTE RIVER AT LOWMAN ID,-6.430760995
44.96167,-115.5,JOHNSON CREEK AT YELLOW PINE ID,-5.282096411
46.15083,-115.58722,LOCHSA RIVER NR LOWELL ID,-1.232489163
45.71958,-118.32329,"UMATILLA RIVER ABOVE MEACHAM CREEK, NR GIBBON, OR",-6.430952381
45.39956,-122.13731,"SANDY RIVER NEAR MARMOT, OR",-10.56315995
