





EPA

Moderator:	Lou Witt
August 24, 2011
2:00 p.m. ET


Operator:	Good afternoon.  My name is (Misty) and I'll be your conference operator today.  At this time I would like to welcome everyone to the Radon in Schools, What You Need to Know conference call.  All lines have been placed on mute to prevent any background noise.  If you should need assistance during the call please press star then zero and an operator will come back online to assist you.  Thank you.  Mr. Lou Witt you may begin your conference.

Lou Witt:	Thank you, (Misty).  Good afternoon, ladies and gentlemen, my name is Lou Witt, I'm with the EPA's indoor environments division and I'm the co-host of our indoor air quality and large buildings webinar.  And today we're going to focus on radon in schools and share with you what you need to know about radon in schools.  But before we get started with the full content of the webinar I'm going to turn it over to my colleague (Andrew) who’s going to share with you the technology associated with the webinar and how you might be able to use it.  (Andrew)?

(Andrew):	Hi Lou.  Great.  Thanks.  In the upper right hand side of your screen you'll see the webinar (console).  Use the buttons on the console side bar that look like the fast forward and rewind buttons to maximize and minimize the console.  By touching the button with the square inside you can also maximize or minimize the webinar presentation on your computer screen.  At the bottom of the maximize console you will notice the question feature.  Use this to type in any questions you may have during the presentation.

	If you have a question or problem during the webinar please use the questions pane.  You can also maximize or minimize the questions pane by pressing the plus or minus sign and you can pop it out of the console into its own pane by pressing the triangle button.  To use the polling technology simply click on your selection and click submit.  Your results will be shown in real time during the webinar.  As an attendee your line will be muted to minimize background noise; to access the operator please dial star zero; to ask a question please use the questions pane.  If you need assistance please contact me using the questions pane.  

	Finally you may notice a mouse moving during the webinar.  We apologize if this is distracting and we'll do our best to minimize it.  Go ahead, Lou.

Lou Witt:	Thank you, (Andrew).  As I said earlier I'm Lou Witt with the EPA's indoor environments division and like all good government offices we have a mission statement.  What our mission statement boils down to, basically, is healthier buildings, healthier people.  The way the indoor environments division goes about that is we look at three general building types, homes, schools and commercial indoor spaces.  Within those spaces, within those different building types we look at a wide range of environmental pollutants that are found in the indoor environment.  Some of them are common, some of them are a little more specific but they are all very important and we address them in many different ways.

	The way we're addressing radon in schools today is through a webinar where we hope to provide you with very practical information, information that you need to know.  And the way the webinar is structured what we're going to cover today is first the health risk associated with radon.  Radon's the number one cause of lung cancer for non-smokers in America and my colleague (Janie Palmer) will share information on that.  

	Then we're going to look at how to approach radon in schools using the (IAQ) Tools for Schools key drivers approach.  This is a proven approach to address many, many different indoor environment issues within schools and we're going to look at how to apply the key drivers as we address radon in the school setting.

	We're then going to turn over to two very knowledgeable, practical gentlemen in the Colorado springs school district number 11 who have hands on experience with radon testing and mitigating the schools in their school district.  We're going to hear their successes and they'll be available for questions time permitting.

	And last but not least we're going to wrap up then with what resources are available.  Many of the resources we have to offer are available online; some of the resources are people resources, maybe more important than the material resources.  We're going to show you how to get in touch with some of these people and how you may be able to work together.  So that's what we're going to cover today in an hour; any one of these things that we could look at in great, great depth but we don't have the time and that's not the purpose.  I can say in the future we'll probably look at many of these issues in greater depth and greater detail but today is just a general overview of the practical approach; the Tools for Schools program offers as you address radon in schools.

	So thank you for that.  At this time I'm going to turn it over to my colleague (Janie Palmer).  (Janie) is an environmental scientist here at EPA and has been associated with the schools and radon for probably longer than she'd like me to admit but she's a well-versed and well-grounded and I'll turn it over to you (Janie).

(Janie Palmer):	Thanks, Lou.  Great.  I get to do the really fun stuff.  Since I can't see you and you can't see me I've inserted here illustrations to help simulate a face to face meeting.  And it's not happening because we're not face to face.  That's me in the middle, I'm (Janie), I'm a scientist for EPA indoor environments division, as Lou said.  In my former life I was an (IAQ) district in Florida.  So I can probably relate to many of you because when it comes to (IAQ) in schools I've probably been there, done that.

	So let's talk about what we know about radon in your schools or even homes right now.  Using the (pulley) mechanism we're going to ask you a question.  Are we ready?  OK let's see what our results are here.  That's really good; that's really great.  OK.  

	So whether radon is at home, school or other buildings or any combination really it gets there by the decay of natural occurring uranium that's found in soil, rocks and even water.  Mainly radon comes from the soil under a building and moves up through small, small cracks in foundation and flooding because of pressure differences between indoors and underneath the buildings, or the subsurface, for you technical people.

	(Neal) and (Dan) from Colorado Springs are going to go through a typical scenario of how radon entered their school and how they mitigated it.  So we're going to ask another question what else do you know about radon?  

	And the poll is now open.  Radon is – and I love B; it's got to be B, right?  I think I was drinking a caramel latte when I wrote this.

